Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,11.53,11.64,11.66,11.46,16370000.000000002,0.0,SBUX
2010-01-05,11.79,11.48,12.0,11.45,30060000.0,0.0225,SBUX
2010-01-06,11.71,11.74,11.81,11.63,14210000.0,-0.0068000000000000005,SBUX
2010-01-07,11.68,11.64,11.77,11.6,10260000.0,-0.0026,SBUX
2010-01-08,11.64,11.6,11.8,11.6,10280000.0,-0.0034000000000000002,SBUX
2010-01-11,11.61,11.69,11.69,11.44,11390000.0,-0.0026,SBUX
2010-01-12,11.41,11.45,11.6,11.25,15430000.0,-0.0172,SBUX
2010-01-13,11.69,11.45,11.75,11.38,15100000.0,0.0245,SBUX
2010-01-14,11.78,11.62,11.8,11.61,15520000.0,0.0077,SBUX
2010-01-15,11.63,11.87,11.88,11.46,21860000.0,-0.0127,SBUX
2010-01-19,11.79,11.7,11.9,11.58,18920000.0,0.0138,SBUX
2010-01-20,11.64,11.87,11.9,11.43,33950000.0,-0.0127,SBUX
2010-01-21,11.84,12.06,12.22,11.66,53670000.0,0.0172,SBUX
2010-01-22,11.46,11.81,11.91,11.43,24560000.0,-0.0321,SBUX
2010-01-25,11.2,11.5,11.53,11.13,24670000.0,-0.0227,SBUX
2010-01-26,11.27,11.11,11.37,11.09,22490000.0,0.0063,SBUX
2010-01-27,11.21,11.27,11.28,11.06,21200000.0,-0.0053,SBUX
2010-01-28,11.04,11.25,11.31,10.93,28730000.0,-0.0152,SBUX
2010-01-29,10.89,11.06,11.27,10.88,18740000.0,-0.013600000000000001,SBUX
2010-02-01,11.12,10.99,11.13,10.88,13500000.0,0.021099999999999997,SBUX
2010-02-02,11.22,10.99,11.24,10.96,15340000.0,0.009000000000000001,SBUX
2010-02-03,11.21,11.2,11.24,11.05,14940000.0,-0.0009,SBUX
2010-02-04,10.9,11.13,11.2,10.89,19540000.0,-0.0277,SBUX
2010-02-05,10.85,10.89,11.02,10.63,22080000.0,-0.0046,SBUX
2010-02-08,10.96,10.83,11.07,10.71,15990000.0,0.0101,SBUX
2010-02-09,11.1,11.07,11.15,10.83,20820000.0,0.0128,SBUX
2010-02-10,11.19,11.02,11.27,11.02,20030000.0,0.008100000000000001,SBUX
2010-02-11,11.28,11.13,11.34,10.96,18520000.0,0.008,SBUX
2010-02-12,11.3,11.04,11.34,11.03,15750000.0,0.0018,SBUX
2010-02-16,11.44,11.35,11.44,11.23,16820000.0,0.0124,SBUX
2010-02-17,11.57,11.54,11.65,11.48,12950000.0,0.011399999999999999,SBUX
2010-02-18,11.63,11.61,11.66,11.51,9300000.0,0.0052,SBUX
2010-02-19,11.68,11.59,11.73,11.59,9730000.0,0.0043,SBUX
2010-02-22,11.45,11.66,11.68,11.41,16980000.0,-0.0197,SBUX
2010-02-23,11.34,11.38,11.46,11.23,16510000.000000002,-0.0096,SBUX
2010-02-24,11.54,11.38,11.54,11.36,12920000.0,0.0176,SBUX
2010-02-25,11.45,11.32,11.49,11.21,18620000.0,-0.0078000000000000005,SBUX
