Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,33.25,33.43,33.56,33.17,5120000.0,-0.0021,SO
2010-01-05,32.58,33.35,33.35,32.5,4950000.0,-0.0202,SO
2010-01-06,33.04,32.68,33.21,32.56,5060000.0,0.0141,SO
2010-01-07,32.9,33.09,33.09,32.63,3480000.0,-0.0042,SO
2010-01-08,32.83,32.92,32.92,32.6,3510000.0,-0.0021,SO
2010-01-11,33.26,33.03,33.32,32.86,3610000.0,0.0131,SO
2010-01-12,33.05,33.22,33.43,33.0,4350000.0,-0.0063,SO
2010-01-13,33.52,33.21,33.61,33.11,4960000.0,0.014199999999999999,SO
2010-01-14,33.44,33.49,33.51,33.27,2650000.0,-0.0024,SO
2010-01-15,33.34,33.15,33.36,32.93,7410000.0,-0.003,SO
2010-01-19,33.65,33.39,33.65,33.1,4690000.0,0.009300000000000001,SO
2010-01-20,33.43,33.51,33.54,33.14,8750000.0,-0.006500000000000001,SO
2010-01-21,33.15,33.49,33.73,33.01,4380000.0,-0.0084,SO
2010-01-22,32.54,33.13,33.35,32.52,5910000.0,-0.0184,SO
2010-01-25,32.8,32.79,32.92,32.43,4480000.0,0.008,SO
2010-01-26,32.97,32.78,33.11,32.6,5360000.0,0.0052,SO
2010-01-27,32.91,32.92,33.23,32.11,9760000.0,-0.0018,SO
2010-01-28,31.95,32.42,32.58,31.94,5070000.0,-0.0292,SO
2010-01-29,32.0,32.06,32.2,31.85,5420000.0,0.0016,SO
2010-02-01,32.0,32.09,32.14,31.75,3770000.0,0.0,SO
2010-02-02,32.15,31.98,32.17,31.71,4710000.0,0.004699999999999999,SO
2010-02-03,32.0,32.0,32.14,31.85,3140000.0,-0.004699999999999999,SO
2010-02-04,31.58,31.89,32.03,31.58,4890000.0,-0.0131,SO
2010-02-05,31.7,31.57,31.74,31.31,7400000.0,0.0038,SO
2010-02-08,31.13,31.69,31.71,31.1,3800000.0,-0.018000000000000002,SO
2010-02-09,31.29,31.28,31.6,31.16,4220000.0,0.0051,SO
2010-02-10,31.28,31.29,31.36,31.01,3170000.0,-0.0003,SO
2010-02-11,31.32,31.19,31.38,30.85,3610000.0,0.0013,SO
2010-02-12,31.17,31.09,31.27,30.99,6220000.0,-0.0048,SO
2010-02-16,31.88,31.53,31.92,31.01,3800000.0,0.022799999999999997,SO
