Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,55.9,56.4,56.61,55.8,2080000.0,-0.0014000000000000002,SRE
2010-01-05,54.71,55.82,55.84,54.37,3410000.0,-0.0213,SRE
2010-01-06,53.96,54.59,54.85,53.91,2960000.0,-0.0137,SRE
2010-01-07,53.84,53.79,54.22,52.91,2220000.0,-0.0022,SRE
2010-01-08,53.81,53.71,53.97,53.06,1360000.0,-0.0006,SRE
2010-01-11,54.59,54.03,54.8,53.95,1230000.0,0.014499999999999999,SRE
2010-01-12,54.4,54.43,54.91,53.93,1240000.0,-0.0034999999999999996,SRE
2010-01-13,53.87,53.62,53.91,52.86,2640000.0,-0.0097,SRE
2010-01-14,53.6,53.77,54.02,53.51,1410000.0,-0.005,SRE
2010-01-15,52.42,53.58,53.6,51.93,3160000.0,-0.022000000000000002,SRE
2010-01-19,52.53,52.5,52.99,52.31,3580000.0,0.0021,SRE
2010-01-20,51.88,52.2,52.27,51.68,2450000.0,-0.0124,SRE
2010-01-21,52.2,51.78,52.6,51.52,3040000.0,0.0062,SRE
2010-01-22,51.55,52.21,52.6,51.5,3160000.0,-0.0125,SRE
2010-01-25,51.59,51.85,52.21,51.56,1600000.0,0.0008,SRE
2010-01-26,51.45,51.44,51.71,50.68,1750000.0,-0.0027,SRE
2010-01-27,51.08,51.25,51.36,50.42,1670000.0,-0.0072,SRE
2010-01-28,50.8,51.14,51.31,50.2,1580000.0,-0.0055000000000000005,SRE
2010-01-29,50.75,50.88,51.13,50.34,2360000.0,-0.001,SRE
2010-02-01,51.22,50.93,51.3,50.38,1960000.0,0.009300000000000001,SRE
2010-02-02,51.49,51.34,51.56,50.76,1520000.0,0.0053,SRE
2010-02-03,50.83,51.34,51.34,50.71,757000.0,-0.0128,SRE
2010-02-04,49.57,50.59,50.64,49.56,1900000.0,-0.0248,SRE
2010-02-05,49.68,49.67,49.78,48.73,3610000.0,0.0022,SRE
2010-02-08,49.01,49.57,49.7,49.01,1140000.0,-0.013500000000000002,SRE
2010-02-09,49.59,49.5,50.18,49.23,1170000.0,0.0118,SRE
2010-02-10,49.26,49.61,49.61,48.72,1090000.0,-0.0067,SRE
2010-02-11,49.77,49.12,49.88,48.56,1350000.0,0.0104,SRE
2010-02-12,49.48,49.49,49.59,48.98,2110000.0,-0.0058,SRE
2010-02-16,49.0,49.89,50.7,48.94,4830000.0,-0.0097,SRE
2010-02-17,48.19,49.1,49.1,47.94,4000000.0,-0.0165,SRE
2010-02-18,48.13,48.06,48.29,47.55,2690000.0,-0.0012,SRE
2010-02-19,48.95,48.19,49.35,47.96,2890000.0,0.017,SRE
2010-02-22,48.63,49.17,49.28,48.59,2570000.0,-0.006500000000000001,SRE
2010-02-23,48.24,48.6,48.99,48.21,2180000.0,-0.008,SRE
2010-02-24,48.53,48.39,49.08,48.12,2500000.0,0.006,SRE
2010-02-25,50.32,47.9,50.94,47.55,4570000.0,0.0369,SRE
2010-02-26,49.17,50.27,50.27,49.15,3380000.0,-0.0229,SRE
2010-03-01,49.3,49.2,49.58,49.12,2560000.0,0.0026,SRE
2010-03-02,48.79,49.36,49.5,48.62,3510000.0,-0.0103,SRE
2010-03-03,48.94,48.78,49.06,48.62,2220000.0,0.0031,SRE
2010-03-04,48.81,48.68,49.07,48.38,1960000.0,-0.0027,SRE
2010-03-05,49.73,49.01,49.83,48.86,2280000.0,0.018799999999999997,SRE
2010-03-08,51.0,51.36,51.74,50.91,3450000.0,0.0255,SRE
2010-03-09,50.65,50.98,50.98,50.48,3350000.0,-0.0069,SRE
2010-03-10,50.68,50.57,50.73,50.25,2200000.0,0.0006,SRE
2010-03-11,50.59,50.46,50.67,50.19,1170000.0,-0.0018,SRE
2010-03-12,50.27,50.84,51.03,50.22,1560000.0,-0.0063,SRE
2010-03-15,50.25,50.28,50.48,50.1,1410000.0,-0.0004,SRE
2010-03-16,50.33,49.86,50.38,49.75,1620000.0,0.0016,SRE
2010-03-17,50.31,50.21,50.43,50.0,1980000.0,-0.0004,SRE
2010-03-18,50.75,50.16,50.84,50.16,1250000.0,0.0087,SRE
2010-03-19,50.5,50.81,51.09,50.17,2330000.0,-0.0049,SRE
2010-03-22,50.31,50.09,50.5,50.0,1330000.0,-0.0038,SRE
2010-03-23,50.06,50.24,50.24,49.84,2029999.9999999998,-0.005,SRE
2010-03-24,49.57,49.94,49.94,49.27,2600000.0,-0.0098,SRE
2010-03-25,48.74,49.79,50.25,48.66,2720000.0,-0.0167,SRE
2010-03-26,49.15,48.9,49.43,48.72,2500000.0,0.0084,SRE
2010-03-29,50.44,49.25,50.5,49.15,2100000.0,0.0262,SRE
2010-03-30,50.26,50.43,50.87,50.19,1900000.0,-0.0036,SRE
2010-03-31,49.9,50.09,50.31,49.76,1690000.0,-0.0072,SRE
2010-04-01,50.7,50.02,50.76,50.02,1390000.0,0.016,SRE
2010-04-05,51.25,50.74,51.26,50.72,1570000.0,0.0108,SRE
2010-04-06,51.36,50.99,51.43,50.86,1640000.0,0.0021,SRE
2010-04-07,50.85,51.38,51.42,50.78,2310000.0,-0.009899999999999999,SRE
2010-04-08,50.31,50.73,50.73,50.09,1250000.0,-0.0106,SRE
2010-04-09,50.49,50.23,50.54,49.85,1610000.0,0.0036,SRE
2010-04-12,50.48,50.62,50.74,50.44,1310000.0,-0.0002,SRE
2010-04-13,50.15,50.35,50.71,49.93,1470000.0,-0.006500000000000001,SRE
2010-04-14,49.79,50.02,50.2,49.59,1540000.0,-0.0072,SRE
2010-04-15,49.66,49.75,49.93,49.56,1630000.0,-0.0026,SRE
2010-04-16,49.1,49.59,49.82,49.06,1420000.0,-0.0113,SRE
2010-04-19,49.5,49.01,49.55,48.85,1250000.0,0.008100000000000001,SRE
2010-04-20,49.96,49.75,49.99,49.44,1790000.0,0.009300000000000001,SRE
2010-04-21,50.15,49.99,50.33,49.94,1210000.0,0.0038,SRE
2010-04-22,50.13,50.07,50.24,49.58,1220000.0,-0.0004,SRE
2010-04-23,50.49,50.02,50.49,49.75,955730.0,0.0072,SRE
2010-04-26,50.2,50.47,50.5,50.15,781200.0,-0.005699999999999999,SRE
2010-04-27,49.02,50.0,50.08,49.0,1390000.0,-0.0235,SRE
2010-04-28,49.5,48.84,49.87,47.16,6490000.0,0.0098,SRE
2010-04-29,49.43,49.53,50.11,48.86,2550000.0,-0.0014000000000000002,SRE
2010-04-30,49.18,49.41,49.64,49.04,2140000.0,-0.0051,SRE
2010-05-03,50.37,49.29,50.78,49.04,2940000.0,0.0242,SRE
2010-05-04,48.95,49.83,50.21,48.62,3030000.0,-0.0282,SRE
2010-05-05,48.13,48.81,49.13,47.98,4410000.0,-0.0168,SRE
2010-05-06,47.04,47.86,48.15,45.02,4120000.0,-0.0226,SRE
2010-05-07,46.44,47.0,47.62,46.1,3620000.0,-0.0128,SRE
2010-05-10,47.48,47.22,47.97,46.88,2060000.0,0.022400000000000003,SRE
2010-05-11,47.3,47.1,47.75,46.94,1570000.0,-0.0038,SRE
2010-05-12,47.17,47.33,47.61,46.99,2630000.0,-0.0027,SRE
2010-05-13,47.41,47.18,48.22,46.91,1650000.0,0.0051,SRE
2010-05-14,47.21,47.37,47.58,46.92,2000000.0,-0.0042,SRE
2010-05-17,47.16,47.25,47.45,46.3,2020000.0,-0.0011,SRE
2010-05-18,47.3,47.4,48.07,47.23,2830000.0,0.003,SRE
2010-05-19,47.34,47.2,48.05,47.05,4130000.0,0.0008,SRE
2010-05-20,45.8,46.55,46.73,45.74,3830000.0,-0.0325,SRE
2010-05-21,46.1,45.44,46.24,45.12,3600000.0,0.0066,SRE
2010-05-24,45.48,46.03,46.56,45.44,2510000.0,-0.0134,SRE
2010-05-25,45.07,44.74,45.1,43.91,2140000.0,-0.009000000000000001,SRE
2010-05-26,44.96,45.41,45.7,44.79,2089999.9999999998,-0.0024,SRE
2010-05-27,45.69,45.51,45.82,45.15,1200000.0,0.016200000000000003,SRE
2010-05-28,46.0,45.66,46.49,45.64,1850000.0,0.0068000000000000005,SRE
2010-06-01,44.85,45.77,45.85,44.85,2210000.0,-0.025,SRE
2010-06-02,45.78,45.12,45.8,44.74,2110000.0,0.0207,SRE
2010-06-03,46.07,45.68,46.18,45.64,1180000.0,0.0063,SRE
2010-06-04,44.51,45.32,45.58,44.4,1820000.0,-0.0339,SRE
2010-06-07,44.97,44.67,45.53,44.52,2320000.0,0.0103,SRE
2010-06-08,46.4,44.93,46.5,44.74,4650000.0,0.0318,SRE
2010-06-09,46.23,46.63,46.64,46.0,4160000.0,-0.0037,SRE
2010-06-10,47.61,46.68,47.66,46.68,1640000.0,0.029900000000000003,SRE
2010-06-11,48.11,47.35,48.17,47.04,2690000.0,0.0105,SRE
2010-06-14,48.22,48.58,49.0,48.14,1860000.0,0.0023,SRE
2010-06-15,49.15,48.5,49.2,48.46,1680000.0,0.019299999999999998,SRE
2010-06-16,49.23,48.24,49.53,48.24,1920000.0,0.0016,SRE
2010-06-17,49.97,49.41,50.06,49.08,2280000.0,0.015,SRE
2010-06-18,50.1,49.91,50.17,49.63,1720000.0,0.0026,SRE
2010-06-21,49.33,50.36,50.98,49.0,2290000.0,-0.0154,SRE
2010-06-22,47.82,49.2,49.43,47.75,2360000.0,-0.030600000000000002,SRE
2010-06-23,47.77,47.89,48.23,47.67,1700000.0,-0.001,SRE
2010-06-24,47.95,47.7,48.86,47.49,2960000.0,0.0038,SRE
