Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,37.87,37.2,37.9,36.98,31660000.0,0.0,T
2018-01-23,37.19,37.95,38.22,37.03,33040000.0,-0.018000000000000002,T
2018-01-24,37.02,37.29,37.38,36.98,28570000.0,-0.0046,T
2018-01-25,37.45,37.09,37.45,36.84,23400000.0,0.0116,T
2018-01-26,37.82,37.46,37.82,37.36,21610000.0,0.009899999999999999,T
2018-01-29,37.26,37.13,37.68,36.98,30880000.0,-0.0148,T
2018-01-30,37.44,37.36,37.8,37.3,29880000.0,0.0048,T
2018-01-31,37.45,37.42,37.92,37.33,41420000.0,0.0003,T
2018-02-01,39.16,38.51,39.29,38.4,59960000.0,0.045700000000000005,T
2018-02-02,38.07,39.03,39.04,37.81,46100000.0,-0.0278,T
2018-02-05,36.63,37.81,38.31,36.63,45600000.0,-0.0378,T
2018-02-06,36.83,36.08,37.07,35.5,62910000.0,0.0055000000000000005,T
2018-02-07,36.93,36.81,37.45,36.74,35630000.0,0.0027,T
2018-02-08,35.57,36.89,36.95,35.57,45740000.0,-0.0368,T
2018-02-09,36.05,35.83,36.35,35.03,50220000.0,0.013500000000000002,T
2018-02-12,36.37,36.33,36.6,35.97,27750000.0,0.0089,T
2018-02-13,36.6,36.29,36.71,35.97,22880000.0,0.0063,T
2018-02-14,36.41,36.4,36.77,36.11,24830000.0,-0.0052,T
2018-02-15,37.0,36.47,37.0,36.23,27510000.0,0.016200000000000003,T
2018-02-16,37.14,36.98,37.39,36.86,19900000.0,0.0038,T
2018-02-20,36.77,36.88,37.09,36.67,22070000.0,-0.01,T
2018-02-21,36.31,36.77,37.04,36.28,20790000.0,-0.0125,T
2018-02-22,36.47,36.47,36.99,36.41,18540000.0,0.0044,T
2018-02-23,36.72,36.55,36.75,36.29,17450000.0,0.0069,T
2018-02-26,37.46,36.93,37.51,36.81,19870000.0,0.0202,T
2018-02-27,36.87,37.42,37.64,36.87,21420000.0,-0.0158,T
2018-02-28,36.3,37.18,37.18,36.3,29280000.0,-0.0155,T
2018-03-01,36.0,36.31,36.75,35.87,28550000.0,-0.0083,T
2018-03-02,36.35,36.0,36.4,35.95,21360000.0,0.0097,T
2018-03-05,36.7,36.2,36.82,36.1,19300000.0,0.0096,T
2018-03-06,36.87,36.83,36.9,36.5,17460000.0,0.0046,T
2018-03-07,36.91,36.59,37.02,36.56,18490000.0,0.0011,T
2018-03-08,37.11,36.91,37.11,36.56,19770000.0,0.0054,T
2018-03-09,37.05,37.17,37.22,36.82,18820000.0,-0.0016,T
2018-03-12,37.36,37.05,37.56,37.04,22310000.0,0.0084,T
2018-03-13,37.39,37.55,37.81,37.26,19180000.0,0.0008,T
2018-03-14,37.03,37.59,37.59,36.96,18610000.0,-0.0096,T
2018-03-15,37.04,37.09,37.29,37.01,21880000.0,0.0003,T
2018-03-16,37.0,37.09,37.34,36.9,37100000.0,-0.0011,T
2018-03-19,36.58,36.98,37.09,36.47,19640000.0,-0.011399999999999999,T
2018-03-20,36.34,36.68,36.82,36.18,20170000.0,-0.0066,T
2018-03-21,36.0,36.34,36.5,36.0,17440000.0,-0.009399999999999999,T
2018-03-22,35.37,35.95,36.04,35.36,28200000.0,-0.0175,T
2018-03-23,34.7,35.37,35.99,34.55,35030000.0,-0.0189,T
2018-03-26,34.69,35.06,35.29,34.44,31490000.0,-0.0003,T
2018-03-27,34.9,34.85,35.2,34.69,33860000.0,0.0060999999999999995,T
2018-03-28,35.56,35.29,35.85,35.24,30750000.0,0.0189,T
2018-03-29,35.65,35.68,35.89,35.02,27560000.0,0.0025,T
2018-04-02,35.1,35.58,35.66,34.83,29230000.0,-0.0154,T
2018-04-03,35.37,35.16,35.42,34.85,21880000.0,0.0077,T
2018-04-04,35.88,35.04,35.94,34.98,20560000.0,0.0144,T
2018-04-05,36.14,35.93,36.21,35.68,17100000.0,0.0072,T
2018-04-06,35.63,36.01,36.2,35.42,25120000.0,-0.0141,T
2018-04-09,35.17,35.24,35.7,35.06,21880000.0,-0.0129,T
2018-04-10,35.81,35.32,36.39,35.05,40260000.0,0.0182,T
2018-04-11,35.25,35.66,35.73,35.18,21050000.0,-0.015600000000000001,T
2018-04-12,35.16,35.42,35.47,35.06,21950000.0,-0.0026,T
2018-04-13,35.14,35.21,35.37,35.02,14370000.0,-0.0006,T
2018-04-16,35.64,35.37,35.82,35.22,24900000.0,0.014199999999999999,T
2018-04-17,35.36,35.69,35.77,35.31,20590000.0,-0.0079,T
2018-04-18,35.21,35.48,35.54,35.16,21600000.0,-0.0042,T
2018-04-19,34.82,35.24,35.27,34.81,23540000.0,-0.0111,T
2018-04-20,34.67,34.86,35.06,34.15,32450000.000000004,-0.0043,T
2018-04-23,34.89,34.71,34.89,34.59,21210000.0,0.0063,T
2018-04-24,35.0,35.15,35.33,34.76,21570000.0,0.0032,T
2018-04-25,35.2,34.87,35.24,34.73,25290000.0,0.005699999999999999,T
2018-04-26,33.1,33.44,33.7,32.47,132229999.99999999,-0.059699999999999996,T
2018-04-27,33.04,33.14,33.56,33.02,54210000.0,-0.0018,T
2018-04-30,32.7,33.27,33.41,32.67,46150000.0,-0.0103,T
2018-05-01,32.54,32.75,32.91,32.36,35820000.0,-0.0049,T
2018-05-02,32.06,32.63,32.63,31.9,40180000.0,-0.0148,T
2018-05-03,31.94,32.04,32.15,31.61,40300000.0,-0.0037,T
2018-05-04,32.14,31.94,32.27,31.82,25540000.0,0.0063,T
2018-05-07,32.04,32.22,32.25,31.85,26270000.0,-0.0031,T
2018-05-08,31.7,31.97,32.0,31.58,33509999.999999996,-0.0106,T
2018-05-09,31.4,31.63,31.71,31.17,37490000.0,-0.0095,T
2018-05-10,31.88,31.58,32.03,31.5,29910000.0,0.015300000000000001,T
2018-05-11,32.29,32.0,32.31,31.99,27510000.0,0.0129,T
2018-05-14,32.19,32.39,32.48,32.1,26890000.0,-0.0031,T
2018-05-15,32.09,32.14,32.24,31.81,26510000.0,-0.0031,T
2018-05-16,32.3,32.09,32.41,32.05,19060000.0,0.006500000000000001,T
2018-05-17,31.93,32.38,32.41,31.9,25420000.0,-0.0115,T
2018-05-18,32.05,31.94,32.1,31.78,21880000.0,0.0038,T
2018-05-21,32.59,32.16,32.65,31.89,28690000.0,0.0168,T
2018-05-22,32.43,32.63,32.81,32.4,29390000.0,-0.0049,T
2018-05-23,32.33,32.42,32.52,32.05,25970000.0,-0.0031,T
2018-05-24,32.78,32.39,32.81,32.21,35250000.0,0.0139,T
2018-05-25,32.51,32.7,32.72,32.39,21820000.0,-0.008199999999999999,T
2018-05-29,32.33,32.46,32.49,32.14,26960000.0,-0.0055000000000000005,T
2018-05-30,32.57,32.36,32.64,32.28,24140000.0,0.0074,T
2018-05-31,32.32,32.52,32.55,32.16,29420000.0,-0.0077,T
2018-06-01,32.47,32.48,32.61,32.36,23760000.0,0.0046,T
2018-06-04,32.41,32.58,32.68,32.37,18380000.0,-0.0018,T
2018-06-05,32.68,32.41,32.71,32.3,23410000.0,0.0083,T
2018-06-06,33.38,32.77,33.56,32.6,34140000.0,0.021400000000000002,T
2018-06-07,33.81,33.07,33.97,32.9,42560000.0,0.0129,T
2018-06-08,33.83,33.66,34.03,33.58,33180000.0,0.0006,T
2018-06-11,34.18,33.97,34.48,33.81,37160000.0,0.0103,T
2018-06-12,34.35,34.51,34.53,34.08,59400000.0,0.005,T
2018-06-13,32.22,33.0,33.14,32.21,195080000.0,-0.062,T
2018-06-14,32.52,32.6,32.98,32.1,88700000.0,0.009300000000000001,T
2018-06-15,33.15,32.62,33.27,32.15,113980000.0,0.0194,T
2018-06-18,32.19,33.02,33.04,32.1,78650000.0,-0.028999999999999998,T
2018-06-19,32.39,32.0,32.6,31.96,87340000.0,0.0062,T
2018-06-20,32.0,32.5,32.58,31.95,55810000.0,-0.012,T
2018-06-21,31.6,32.1,32.3,31.51,51430000.0,-0.0125,T
2018-06-22,31.69,31.73,31.89,31.51,63900000.0,0.0028000000000000004,T
2018-06-25,31.71,31.65,31.95,31.58,48620000.0,0.0006,T
2018-06-26,31.62,31.73,31.81,31.4,44640000.0,-0.0028000000000000004,T
2018-06-27,31.65,31.98,32.05,31.64,46430000.0,0.0009,T
2018-06-28,32.19,31.75,32.32,31.66,42240000.0,0.0171,T
2018-06-29,32.11,32.25,32.49,32.05,42030000.0,-0.0025,T
2018-07-02,32.21,32.16,32.31,32.0,37770000.0,0.0031,T
2018-07-03,32.71,32.25,32.79,32.18,33880000.0,0.0155,T
2018-07-05,32.6,32.75,32.8,32.46,35420000.0,-0.0034000000000000002,T
2018-07-06,32.68,32.66,32.74,32.45,41220000.0,0.0025,T
2018-07-09,32.15,32.24,32.37,32.11,43460000.0,-0.016200000000000003,T
2018-07-10,32.5,32.24,32.5,32.13,38850000.0,0.0109,T
2018-07-11,31.87,32.28,32.35,31.86,39230000.0,-0.0194,T
2018-07-12,32.23,32.06,32.31,31.9,44450000.0,0.0113,T
2018-07-13,31.67,31.88,31.92,31.5,53380000.0,-0.0174,T
2018-07-16,31.9,31.71,31.98,31.65,33220000.0,0.0073,T
2018-07-17,31.76,31.87,32.11,31.71,36440000.0,-0.0044,T
2018-07-18,31.71,31.82,31.95,31.7,44570000.0,-0.0016,T
2018-07-19,31.27,31.73,31.78,31.25,51680000.0,-0.0139,T
2018-07-20,31.1,31.33,31.38,31.04,36690000.0,-0.0054,T
2018-07-23,31.0,31.14,31.2,30.8,37290000.0,-0.0032,T
2018-07-24,31.68,31.25,31.68,31.01,50970000.0,0.0219,T
2018-07-25,30.25,31.1,31.18,30.13,96320000.0,-0.0451,T
2018-07-26,30.35,30.36,30.56,30.3,44340000.0,0.0033,T
2018-07-27,31.08,30.45,31.21,30.35,46040000.0,0.0241,T
2018-07-30,32.0,31.56,32.13,31.45,64040000.00000001,0.0296,T
2018-07-31,31.97,32.14,32.34,31.94,47550000.0,-0.0009,T
2018-08-01,31.9,32.2,32.27,31.8,31360000.0,-0.0022,T
2018-08-02,31.85,31.85,32.1,31.77,31200000.0,-0.0016,T
2018-08-03,32.27,31.9,32.28,31.76,26580000.0,0.0132,T
2018-08-06,32.11,32.21,32.32,32.0,30090000.0,-0.005,T
2018-08-07,32.4,32.09,32.44,31.97,27340000.0,0.009000000000000001,T
2018-08-08,32.36,32.48,32.53,32.3,21950000.0,-0.0012,T
2018-08-09,32.49,32.4,32.5,32.24,16910000.0,0.004,T
2018-08-10,32.26,32.39,32.41,32.16,21480000.0,-0.0070999999999999995,T
