Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,43.07,41.99,43.07,41.85,791390.0,0.0401,TDG
2010-01-05,43.48,43.07,43.74,42.96,235660.0,0.0095,TDG
2010-01-06,43.79,43.3,43.96,43.3,337030.0,0.0070999999999999995,TDG
2010-01-07,44.36,43.79,44.48,43.53,346100.0,0.013000000000000001,TDG
2010-01-08,44.86,44.47,45.24,44.31,238540.0,0.0113,TDG
2010-01-11,44.87,45.25,45.25,44.34,193330.0,0.0002,TDG
2010-01-12,43.84,44.64,44.64,43.69,270880.0,-0.023,TDG
2010-01-13,43.99,44.01,44.28,43.67,378420.0,0.0034000000000000002,TDG
2010-01-14,44.26,43.73,44.32,43.6,340430.0,0.0060999999999999995,TDG
2010-01-15,43.93,44.1,44.21,43.78,335960.0,-0.0075,TDG
2010-01-19,43.96,44.11,44.21,43.85,325760.0,0.0007000000000000001,TDG
2010-01-20,44.25,44.35,44.55,43.61,454930.0,0.0066,TDG
2010-01-21,43.66,44.32,44.58,43.26,355650.0,-0.013300000000000001,TDG
2010-01-22,42.77,43.41,43.55,42.53,445920.0,-0.0204,TDG
2010-01-25,42.51,43.07,43.35,42.42,345220.0,-0.0060999999999999995,TDG
2010-01-26,42.53,42.51,42.8,42.3,233000.0,0.0005,TDG
2010-01-27,42.72,42.59,42.73,41.9,338220.0,0.0045000000000000005,TDG
2010-01-28,42.54,42.69,42.87,42.21,244150.0,-0.0042,TDG
2010-01-29,42.09,42.74,42.87,42.06,317760.0,-0.0106,TDG
2010-02-01,42.24,42.29,42.32,41.85,230830.0,0.0036,TDG
2010-02-02,43.17,42.19,43.2,42.07,285510.0,0.022000000000000002,TDG
2010-02-03,43.28,43.13,43.41,42.73,253160.0,0.0025,TDG
2010-02-04,41.59,43.09,43.21,41.58,177850.0,-0.039,TDG
2010-02-05,41.5,41.71,41.81,40.58,209620.0,-0.0022,TDG
2010-02-08,41.42,41.65,41.91,41.29,200950.0,-0.0019,TDG
2010-02-09,42.16,41.84,42.4,41.39,297320.0,0.0179,TDG
2010-02-10,41.78,41.42,42.08,41.29,333110.0,-0.009000000000000001,TDG
2010-02-11,41.81,41.88,41.92,41.16,419210.0,0.0007000000000000001,TDG
2010-02-12,41.88,41.23,41.9,41.16,317650.0,0.0017000000000000001,TDG
2010-02-16,42.35,42.08,42.41,41.71,182440.0,0.011200000000000002,TDG
2010-02-17,42.17,42.35,42.42,41.95,192870.0,-0.0043,TDG
2010-02-18,42.89,41.94,42.98,41.91,193880.0,0.0171,TDG
2010-02-19,42.99,42.89,43.24,42.76,194160.0,0.0023,TDG
2010-02-22,43.07,42.97,43.24,42.34,250950.0,0.0019,TDG
2010-02-23,42.73,43.1,43.32,42.67,208370.0,-0.0079,TDG
2010-02-24,43.07,42.74,43.11,42.52,146180.0,0.008,TDG
2010-02-25,43.24,42.56,43.28,42.29,270110.0,0.0039000000000000003,TDG
2010-02-26,43.79,43.34,43.82,43.21,528520.0,0.0127,TDG
2010-03-01,45.86,44.3,45.95,44.17,397120.0,0.0473,TDG
2010-03-02,46.1,46.2,46.67,46.03,220410.0,0.0052,TDG
2010-03-03,45.96,46.04,46.4,45.91,167790.0,-0.003,TDG
2010-03-04,45.92,46.01,46.02,45.68,137740.0,-0.0009,TDG
2010-03-05,46.08,46.01,46.36,45.93,390450.0,0.0034999999999999996,TDG
2010-03-08,45.27,46.27,46.27,45.19,368640.0,-0.0176,TDG
2010-03-09,45.79,45.33,46.2,45.27,263140.0,0.0115,TDG
2010-03-10,45.87,45.66,46.15,45.66,212180.0,0.0017000000000000001,TDG
2010-03-11,46.07,45.67,46.22,45.6,280220.0,0.0044,TDG
2010-03-12,45.86,46.09,46.17,45.49,323140.0,-0.0046,TDG
2010-03-15,45.73,45.66,45.78,45.05,188790.0,-0.0028000000000000004,TDG
2010-03-16,45.56,45.8,45.8,45.3,170500.0,-0.0037,TDG
2010-03-17,45.66,45.56,45.84,45.48,70740.0,0.0022,TDG
2010-03-18,45.53,45.77,45.77,45.34,102310.0,-0.0028000000000000004,TDG
2010-03-19,45.7,45.66,45.81,45.53,191140.0,0.0037,TDG
2010-03-22,45.58,45.37,45.69,45.34,77430.0,-0.0026,TDG
2010-03-23,45.46,45.49,45.78,45.29,181460.0,-0.0026,TDG
2010-03-24,45.45,45.49,45.56,45.21,187100.0,-0.0002,TDG
