Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,13.34,13.3,13.61,13.25,1320000.0,0.0076,TSCO
2010-01-05,13.2,13.36,13.42,12.88,2730000.0,-0.0105,TSCO
2010-01-06,13.17,13.14,13.27,13.02,1480000.0,-0.0023,TSCO
2010-01-07,13.35,13.07,13.38,13.07,918840.0,0.0137,TSCO
2010-01-08,13.34,13.38,13.48,13.19,547980.0,-0.0007000000000000001,TSCO
2010-01-11,13.23,13.35,13.35,13.11,983710.0,-0.008199999999999999,TSCO
2010-01-12,13.24,13.19,13.29,13.11,1350000.0,0.0008,TSCO
2010-01-13,13.32,13.32,13.38,13.15,1320000.0,0.006,TSCO
2010-01-14,13.21,13.31,13.35,13.13,1090000.0,-0.0083,TSCO
2010-01-15,13.11,13.28,13.28,13.03,1420000.0,-0.0076,TSCO
2010-01-19,13.22,13.06,13.28,13.0,2830000.0,0.0084,TSCO
2010-01-20,12.78,12.74,12.87,12.53,2540000.0,-0.0333,TSCO
2010-01-21,12.69,12.84,13.05,12.51,1840000.0,-0.006999999999999999,TSCO
2010-01-22,12.53,12.72,12.87,12.5,1510000.0,-0.0126,TSCO
2010-01-25,12.81,12.59,12.83,12.41,1590000.0,0.0223,TSCO
2010-01-26,12.65,12.38,12.75,12.28,2920000.0,-0.0125,TSCO
2010-01-27,13.05,12.57,13.12,12.46,3320000.0,0.0316,TSCO
2010-01-28,12.88,13.28,13.38,12.8,5420000.0,-0.013000000000000001,TSCO
2010-01-29,12.62,12.88,13.08,12.6,2590000.0,-0.0202,TSCO
2010-02-01,13.04,12.72,13.06,12.65,1880000.0,0.0333,TSCO
2010-02-02,13.23,13.01,13.27,12.94,1110000.0,0.0146,TSCO
2010-02-03,13.04,13.15,13.28,12.91,1360000.0,-0.0144,TSCO
2010-02-04,12.7,12.99,13.03,12.67,1210000.0,-0.026099999999999998,TSCO
2010-02-05,12.65,12.75,12.84,12.45,1220000.0,-0.0039000000000000003,TSCO
2010-02-08,12.54,13.03,13.03,12.51,1020000.0,-0.0087,TSCO
2010-02-09,12.84,12.68,12.86,12.53,1180000.0,0.0239,TSCO
2010-02-10,12.74,12.76,12.85,12.63,882870.0,-0.0078000000000000005,TSCO
2010-02-11,12.97,12.68,12.99,12.53,983370.0,0.0181,TSCO
2010-02-12,12.94,12.89,12.96,12.75,937160.0,-0.0023,TSCO
2010-02-16,13.11,13.0,13.13,12.95,685620.0,0.0131,TSCO
2010-02-17,13.43,13.2,13.46,13.16,998650.0,0.024399999999999998,TSCO
2010-02-18,13.31,13.4,13.4,13.17,940160.0,-0.0089,TSCO
2010-02-19,13.36,13.32,13.43,13.21,917070.0,0.0038,TSCO
2010-02-22,13.34,13.4,13.5,13.32,960820.0,-0.0015,TSCO
2010-02-23,13.36,13.36,13.53,13.24,1640000.0,0.0015,TSCO
2010-02-24,13.69,13.44,13.71,13.25,926910.0,0.024700000000000003,TSCO
2010-02-25,13.72,13.65,13.88,13.57,1650000.0,0.0022,TSCO
2010-02-26,13.68,13.75,13.8,13.61,1740000.0,-0.0029,TSCO
2010-03-01,14.33,13.95,14.37,13.82,3810000.0,0.0475,TSCO
2010-03-02,14.23,14.31,14.4,14.12,2250000.0,-0.006999999999999999,TSCO
2010-03-03,14.19,14.3,14.36,14.11,1470000.0,-0.0028000000000000004,TSCO
2010-03-04,14.14,14.26,14.36,14.1,1480000.0,-0.0034999999999999996,TSCO
