Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,17.21,17.32,17.38,16.57,1800000.0,-0.0034999999999999996,TSS
2010-01-05,17.21,17.19,17.32,17.09,1050000.0,0.0,TSS
2010-01-06,16.89,17.16,17.24,16.89,1190000.0,-0.018600000000000002,TSS
2010-01-07,16.78,16.77,16.91,16.63,1280000.0,-0.006500000000000001,TSS
2010-01-08,17.02,16.78,17.04,16.62,1410000.0,0.0143,TSS
2010-01-11,17.0,17.13,17.24,16.95,1380000.0,-0.0012,TSS
2010-01-12,16.94,16.88,17.0,16.86,1180000.0,-0.0034999999999999996,TSS
2010-01-13,17.07,16.94,17.1,16.91,908620.0,0.0077,TSS
2010-01-14,16.98,17.06,17.16,16.97,921860.0,-0.0053,TSS
2010-01-15,16.51,16.84,16.9,16.5,1870000.0,-0.0277,TSS
2010-01-19,17.08,16.54,17.11,16.51,2390000.0,0.0345,TSS
2010-01-20,17.01,16.96,17.18,16.76,2460000.0,-0.0040999999999999995,TSS
2010-01-21,14.98,14.9,15.13,14.3,14300000.0,-0.1193,TSS
2010-01-22,14.69,14.84,15.09,14.67,3390000.0,-0.0194,TSS
2010-01-25,14.54,14.44,14.56,14.19,3740000.0,-0.0102,TSS
2010-01-26,14.93,14.57,15.1,14.31,3070000.0,0.0268,TSS
2010-01-27,14.82,14.83,15.05,14.65,2160000.0,-0.0074,TSS
2010-01-28,14.67,14.86,17.75,14.65,1780000.0,-0.0101,TSS
2010-01-29,14.31,14.77,14.77,14.27,2900000.0,-0.0245,TSS
2010-02-01,14.54,14.34,14.55,14.26,2130000.0,0.0161,TSS
2010-02-02,14.59,14.58,14.66,14.44,2040000.0,0.0034000000000000002,TSS
2010-02-03,14.48,14.57,14.68,14.4,2009999.9999999998,-0.0075,TSS
2010-02-04,14.51,14.63,14.99,14.5,2990000.0,0.0021,TSS
2010-02-05,14.56,14.49,14.63,14.3,1750000.0,0.0034000000000000002,TSS
2010-02-08,14.41,14.26,14.59,14.21,3490000.0,-0.0103,TSS
2010-02-09,14.56,14.57,14.65,14.39,2640000.0,0.0104,TSS
2010-02-10,14.34,14.56,14.57,14.26,1730000.0,-0.0151,TSS
2010-02-11,14.34,14.35,14.39,14.11,1610000.0,0.0,TSS
2010-02-12,14.23,14.26,14.26,14.12,1040000.0,-0.0077,TSS
2010-02-16,14.37,14.27,14.41,14.17,1250000.0,0.0098,TSS
2010-02-17,14.36,14.44,14.44,14.28,989060.0,-0.0007000000000000001,TSS
2010-02-18,14.37,14.33,14.43,14.29,764600.0,0.0007000000000000001,TSS
2010-02-19,14.38,14.33,14.48,14.2,1430000.0,0.0007000000000000001,TSS
2010-02-22,14.4,14.44,14.52,14.37,1250000.0,0.0014000000000000002,TSS
2010-02-23,14.47,14.41,14.56,14.3,1900000.0,0.0049,TSS
2010-02-24,14.5,14.53,14.61,14.43,1000000.0,0.0021,TSS
2010-02-25,14.45,14.35,14.48,14.15,1140000.0,-0.0034000000000000002,TSS
2010-02-26,14.24,14.48,14.48,14.21,2120000.0,-0.014499999999999999,TSS
2010-03-01,14.5,14.56,14.68,14.29,2049999.9999999998,0.0183,TSS
2010-03-02,14.4,14.64,14.64,14.38,2020000.0,-0.0069,TSS
2010-03-03,14.54,14.46,14.6,14.46,1060000.0,0.0097,TSS
2010-03-04,14.55,14.55,14.64,14.5,917080.0,0.0007000000000000001,TSS
2010-03-05,14.89,14.65,14.89,14.57,1040000.0,0.023399999999999997,TSS
2010-03-08,14.96,14.89,15.02,14.87,1080000.0,0.004699999999999999,TSS
2010-03-09,15.04,14.92,15.1,14.87,1050000.0,0.0053,TSS
2010-03-10,15.04,15.02,15.07,14.94,958710.0,0.0,TSS
2010-03-11,15.09,15.02,15.09,14.92,791950.0,0.0033,TSS
