Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,19.94,19.73,20.05,19.55,3110000.0,0.0215,UNM
2010-01-05,20.23,19.85,20.29,19.8,1990000.0,0.014499999999999999,UNM
2010-01-06,20.41,20.25,20.51,20.19,2440000.0,0.0089,UNM
2010-01-07,20.86,20.24,20.92,20.07,3770000.0,0.022000000000000002,UNM
2010-01-08,20.58,20.8,20.8,20.41,2049999.9999999998,-0.0134,UNM
2010-01-11,20.96,20.58,20.99,20.58,2170000.0,0.018500000000000003,UNM
2010-01-12,20.91,20.79,21.24,20.79,5050000.0,-0.0024,UNM
2010-01-13,21.05,21.01,21.15,20.77,2690000.0,0.0067,UNM
2010-01-14,21.45,20.95,21.69,20.95,5750000.0,0.019,UNM
2010-01-15,21.39,21.41,21.79,21.3,6100000.0,-0.0028000000000000004,UNM
2010-01-19,21.64,21.29,21.92,21.26,3620000.0,0.011699999999999999,UNM
2010-01-20,21.53,21.5,21.61,21.17,3950000.0,-0.0051,UNM
2010-01-21,20.98,21.53,21.56,20.93,5030000.0,-0.0255,UNM
2010-01-22,20.19,20.99,21.09,20.15,3670000.0,-0.0377,UNM
2010-01-25,20.33,20.48,20.61,20.23,2500000.0,0.0069,UNM
2010-01-26,19.8,20.13,20.41,19.76,2910000.0,-0.026099999999999998,UNM
2010-01-27,19.99,19.81,20.01,19.45,3470000.0,0.0096,UNM
2010-01-28,19.61,19.92,20.03,19.59,4040000.0,-0.019,UNM
2010-01-29,19.57,19.69,20.11,19.52,3340000.0,-0.002,UNM
2010-02-01,20.1,19.71,20.14,19.59,3180000.0,0.0271,UNM
2010-02-02,20.67,20.17,20.8,20.0,3610000.0,0.028399999999999998,UNM
2010-02-03,19.95,20.45,20.62,19.75,3710000.0,-0.0348,UNM
2010-02-04,18.9,19.74,19.74,18.86,4130000.0,-0.0526,UNM
2010-02-05,19.22,18.9,19.23,18.56,4820000.0,0.0169,UNM
2010-02-08,18.73,19.18,19.22,18.73,2750000.0,-0.0255,UNM
2010-02-09,19.01,19.04,19.38,18.78,3390000.0,0.0149,UNM
2010-02-10,19.14,19.04,19.33,18.9,3110000.0,0.0068000000000000005,UNM
2010-02-11,19.42,19.14,19.5,18.97,2860000.0,0.0146,UNM
2010-02-12,19.52,19.11,19.55,18.78,3630000.0,0.0051,UNM
2010-02-16,20.08,19.74,20.08,19.62,3080000.0,0.0287,UNM
