Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,32.7,32.29,32.71,32.23,5890000.0,0.0235,UNP
2010-01-05,33.15,32.78,33.4,32.67,6740000.0,0.0138,UNP
2010-01-06,33.2,33.13,33.64,33.06,5360000.0,0.0015,UNP
2010-01-07,32.91,33.03,33.22,32.55,5040000.0,-0.0087,UNP
2010-01-08,34.02,32.88,34.17,32.8,7690000.0,0.0337,UNP
2010-01-11,33.8,34.25,34.33,33.59,6120000.0,-0.006500000000000001,UNP
2010-01-12,33.7,33.5,33.77,33.38,6650000.0,-0.003,UNP
2010-01-13,33.73,33.85,33.94,33.27,7350000.0,0.0009,UNP
2010-01-14,33.19,33.56,33.81,32.98,6150000.0,-0.016,UNP
2010-01-15,32.78,33.14,33.2,32.55,8680000.0,-0.0124,UNP
2010-01-19,32.76,32.86,32.89,32.38,5980000.0,-0.0006,UNP
2010-01-20,31.86,32.01,32.02,30.96,16680000.0,-0.0275,UNP
2010-01-21,32.73,31.88,33.74,31.57,17480000.0,0.0273,UNP
2010-01-22,31.93,32.78,33.12,31.75,11650000.0,-0.024399999999999998,UNP
2010-01-25,31.88,32.29,32.36,31.72,7200000.0,-0.0016,UNP
2010-01-26,32.1,31.73,32.25,31.45,6630000.0,0.0069,UNP
2010-01-27,31.91,32.02,32.02,31.5,7970000.0,-0.0059,UNP
2010-01-28,30.77,31.95,32.07,30.72,11030000.0,-0.035699999999999996,UNP
2010-01-29,30.25,31.0,31.3,30.2,9830000.0,-0.0169,UNP
2010-02-01,31.16,30.41,31.2,30.41,8130000.000000001,0.0301,UNP
2010-02-02,31.46,31.25,31.62,31.02,4800000.0,0.0096,UNP
2010-02-03,31.49,31.59,31.95,31.36,4780000.0,0.001,UNP
2010-02-04,30.49,31.13,31.38,30.45,7020000.0,-0.0318,UNP
2010-02-05,31.05,30.57,31.07,30.38,9670000.0,0.0184,UNP
2010-02-08,30.48,31.09,31.23,30.48,6750000.0,-0.0184,UNP
2010-02-09,30.87,30.92,31.27,30.69,4510000.0,0.0128,UNP
2010-02-10,30.86,30.88,31.16,30.32,6940000.0,-0.0003,UNP
2010-02-11,31.8,30.71,31.93,30.7,10370000.0,0.0305,UNP
2010-02-12,31.7,31.5,31.73,31.22,6830000.0,-0.0031,UNP
2010-02-16,32.58,32.0,32.63,31.74,7540000.0,0.0278,UNP
2010-02-17,32.49,32.78,32.83,32.03,5590000.0,-0.0028000000000000004,UNP
