Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,71.63,70.21,71.86,69.86,6100000.0,0.032,UTX
2010-01-05,70.56,71.64,71.64,70.28,5000000.0,-0.0149,UTX
2010-01-06,70.19,70.56,70.83,70.03,4730000.0,-0.0052,UTX
2010-01-07,70.49,70.01,70.62,69.57,4260000.0,0.0043,UTX
2010-01-08,70.63,70.26,70.7,70.25,4650000.0,0.002,UTX
2010-01-11,72.16,70.73,72.26,70.73,5530000.0,0.0217,UTX
2010-01-12,71.74,71.8,71.95,71.06,4670000.0,-0.0058,UTX
2010-01-13,72.56,71.82,72.66,71.79,4880000.0,0.011399999999999999,UTX
2010-01-14,72.81,72.24,72.85,72.12,3550000.0,0.0034000000000000002,UTX
2010-01-15,71.99,72.83,72.93,71.68,5340000.0,-0.0113,UTX
2010-01-19,72.29,71.99,72.94,71.64,3680000.0,0.0042,UTX
2010-01-20,71.43,72.01,72.24,70.63,3670000.0,-0.011899999999999999,UTX
2010-01-21,70.13,71.45,71.85,69.75,5110000.0,-0.0182,UTX
2010-01-22,69.08,69.87,70.29,69.0,5810000.0,-0.015,UTX
2010-01-25,68.59,69.51,69.51,68.56,5000000.0,-0.0070999999999999995,UTX
2010-01-26,68.47,68.0,68.86,67.8,5000000.0,-0.0017000000000000001,UTX
2010-01-27,67.61,67.26,67.85,66.5,7690000.0,-0.0126,UTX
2010-01-28,67.37,67.69,67.83,66.55,5580000.0,-0.0034999999999999996,UTX
2010-01-29,67.48,67.39,68.49,66.64,7230000.0,0.0016,UTX
2010-02-01,67.55,67.76,67.97,67.2,4920000.0,0.001,UTX
2010-02-02,68.03,67.89,68.43,67.69,6130000.0,0.0070999999999999995,UTX
2010-02-03,68.24,67.82,68.43,67.7,4150000.0000000005,0.0031,UTX
2010-02-04,66.38,67.87,67.95,66.34,5980000.0,-0.0273,UTX
2010-02-05,66.5,66.38,67.0,65.05,7830000.0,0.0018,UTX
2010-02-08,65.4,66.28,66.33,65.31,5260000.0,-0.0165,UTX
2010-02-09,66.52,66.2,67.11,65.71,5280000.0,0.0171,UTX
