Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,18.34,18.5,18.5,18.27,2040000.0,0.0016,VFC
2010-01-05,18.7,18.37,18.8,18.11,4120000.0,0.0196,VFC
2010-01-06,18.62,18.7,18.72,18.47,2900000.0,-0.0043,VFC
2010-01-07,18.98,18.54,19.02,18.54,2640000.0,0.019299999999999998,VFC
2010-01-08,18.88,18.96,19.01,18.8,2940000.0,-0.0053,VFC
2010-01-11,18.82,18.98,19.04,18.59,2250000.0,-0.0032,VFC
2010-01-12,18.62,18.77,18.93,18.46,2590000.0,-0.0106,VFC
2010-01-13,18.79,18.64,18.8,18.54,2350000.0,0.0091,VFC
2010-01-14,18.76,18.82,18.89,18.61,3290000.0,-0.0016,VFC
2010-01-15,18.66,18.77,18.8,18.49,2810000.0,-0.0053,VFC
2010-01-19,18.79,18.64,18.81,18.64,1960000.0,0.006999999999999999,VFC
2010-01-20,18.72,18.68,18.76,18.54,2410000.0,-0.0037,VFC
2010-01-21,18.61,18.76,18.83,18.6,4490000.0,-0.0059,VFC
2010-01-22,18.11,18.63,18.7,18.1,3700000.0,-0.0269,VFC
2010-01-25,18.04,18.23,18.25,17.96,2820000.0,-0.0039000000000000003,VFC
2010-01-26,18.09,18.05,18.16,17.94,2150000.0,0.0028000000000000004,VFC
2010-01-27,18.3,18.09,18.34,18.05,2350000.0,0.0116,VFC
2010-01-28,18.13,18.37,18.4,18.11,3000000.0,-0.009300000000000001,VFC
2010-01-29,18.01,18.16,18.37,17.97,1790000.0,-0.0066,VFC
2010-02-01,18.24,18.07,18.26,18.0,1430000.0,0.0128,VFC
2010-02-02,18.55,18.28,18.56,18.21,2490000.0,0.017,VFC
2010-02-03,18.18,18.35,18.38,18.07,2820000.0,-0.0199,VFC
2010-02-04,17.89,18.04,18.08,17.78,4640000.0,-0.016,VFC
2010-02-05,17.88,17.82,17.93,17.56,5180000.0,-0.0006,VFC
2010-02-08,17.85,17.84,18.15,17.8,2160000.0,-0.0017000000000000001,VFC
2010-02-09,18.13,17.94,18.18,17.94,2340000.0,0.015700000000000002,VFC
2010-02-10,18.11,18.09,18.29,18.02,3740000.0,-0.0011,VFC
2010-02-11,18.59,18.54,18.68,18.35,7640000.0,0.0265,VFC
2010-02-12,18.48,18.38,18.6,18.38,4560000.0,-0.0059,VFC
2010-02-16,18.87,18.59,18.88,18.54,3240000.0,0.021099999999999997,VFC
2010-02-17,19.14,18.94,19.16,18.93,4350000.0,0.0143,VFC
2010-02-18,19.1,19.11,19.18,18.95,3050000.0,-0.0021,VFC
2010-02-19,19.16,19.11,19.19,18.98,2910000.0,0.0031,VFC
2010-02-22,19.18,19.2,19.27,19.14,1800000.0,0.001,VFC
2010-02-23,18.94,19.09,19.13,18.84,2970000.0,-0.0125,VFC
2010-02-24,19.17,19.0,19.18,18.89,1890000.0,0.0121,VFC
2010-02-25,19.32,18.94,19.32,18.94,2420000.0,0.0078000000000000005,VFC
2010-02-26,19.34,19.25,19.43,19.17,3000000.0,0.001,VFC
2010-03-01,19.49,19.36,19.5,19.27,2770000.0,0.0078000000000000005,VFC
2010-03-02,19.52,19.5,19.56,19.45,3040000.0,0.0015,VFC
2010-03-03,19.46,19.52,19.53,19.37,3290000.0,-0.0031,VFC
2010-03-04,19.49,19.6,19.6,19.36,2360000.0,0.0015,VFC
2010-03-05,19.7,19.44,19.74,19.37,2690000.0,0.0108,VFC
2010-03-08,20.0,19.72,20.0,19.71,3080000.0,0.0152,VFC
2010-03-09,19.94,19.95,20.0,19.88,2870000.0,-0.003,VFC
2010-03-10,19.99,19.9,20.0,19.83,2570000.0,0.0025,VFC
2010-03-11,19.95,19.9,19.95,19.72,2390000.0,-0.002,VFC
2010-03-12,19.91,19.99,20.0,19.76,1920000.0,-0.002,VFC
2010-03-15,19.93,19.84,19.96,19.73,3500000.0,0.001,VFC
2010-03-16,19.97,19.97,20.0,19.85,2130000.0,0.002,VFC
2010-03-17,20.1,19.99,20.16,19.98,3420000.0,0.006500000000000001,VFC
2010-03-18,19.96,20.09,20.24,19.82,3680000.0,-0.006999999999999999,VFC
2010-03-19,19.93,20.02,20.06,19.88,4280000.0,-0.0015,VFC
2010-03-22,20.05,19.82,20.2,19.75,3410000.0,0.006,VFC
2010-03-23,20.25,20.07,20.25,20.0,3070000.0,0.01,VFC
2010-03-24,19.98,20.14,20.22,19.95,3100000.0,-0.013300000000000001,VFC
2010-03-25,19.86,20.14,20.23,19.86,4210000.0,-0.006,VFC
2010-03-26,20.13,19.95,20.23,19.9,4980000.0,0.013600000000000001,VFC
2010-03-29,20.1,20.22,20.22,19.93,2720000.0,-0.0015,VFC
2010-03-30,19.98,20.13,20.2,19.97,2430000.0,-0.006,VFC
2010-03-31,20.04,19.93,20.14,19.91,2480000.0,0.003,VFC
2010-04-01,20.25,20.15,20.3,20.13,1950000.0,0.0105,VFC
2010-04-05,20.5,20.3,20.63,20.27,2660000.0,0.0123,VFC
2010-04-06,20.63,20.44,20.7,20.41,2400000.0,0.0063,VFC
2010-04-07,20.53,20.59,20.72,20.48,2980000.0,-0.0048,VFC
2010-04-08,20.52,20.52,20.55,20.35,2380000.0,-0.0005,VFC
2010-04-09,20.91,20.89,20.93,20.51,4440000.0,0.019,VFC
2010-04-12,20.98,21.02,21.08,20.89,2740000.0,0.0033,VFC
2010-04-13,21.06,20.95,21.11,20.76,2150000.0,0.0038,VFC
2010-04-14,20.93,21.12,21.12,20.72,5210000.0,-0.0062,VFC
2010-04-15,20.93,20.86,20.97,20.75,2029999.9999999998,0.0,VFC
2010-04-16,20.63,20.83,21.02,20.58,2610000.0,-0.0143,VFC
2010-04-19,20.66,20.57,20.79,20.48,2790000.0,0.0015,VFC
2010-04-20,20.89,20.7,20.9,20.66,1920000.0,0.0111,VFC
2010-04-21,21.08,20.92,21.11,20.87,2110000.0,0.0091,VFC
2010-04-22,21.71,20.99,21.74,20.93,5350000.0,0.029900000000000003,VFC
2010-04-23,21.66,21.65,21.75,21.48,4059999.9999999995,-0.0023,VFC
2010-04-26,21.82,21.63,21.94,21.58,2940000.0,0.0074,VFC
2010-04-27,21.37,21.73,21.75,21.32,4120000.0,-0.0206,VFC
2010-04-28,21.41,21.45,21.72,21.27,2640000.0,0.0019,VFC
2010-04-29,21.78,21.58,21.82,21.45,2000000.0,0.0173,VFC
2010-04-30,21.61,22.2,22.31,21.6,5770000.0,-0.0078000000000000005,VFC
2010-05-03,21.52,21.65,21.91,21.47,4510000.0,-0.0042,VFC
2010-05-04,21.0,21.22,21.34,20.94,3700000.0,-0.0242,VFC
2010-05-05,20.82,20.85,21.08,20.69,5020000.0,-0.0086,VFC
2010-05-06,20.12,20.75,20.88,18.89,5500000.0,-0.0336,VFC
2010-05-07,19.72,20.01,20.27,19.48,5400000.0,-0.0199,VFC
2010-05-10,20.78,20.63,20.86,20.41,4230000.0,0.0538,VFC
2010-05-11,20.84,20.49,21.18,20.43,3990000.0,0.0029,VFC
2010-05-12,21.13,20.86,21.22,20.82,3170000.0,0.0139,VFC
2010-05-13,20.84,21.18,21.22,20.79,3030000.0,-0.0137,VFC
2010-05-14,20.45,20.7,20.79,20.3,3730000.0,-0.0187,VFC
2010-05-17,20.38,20.48,20.5,19.93,3290000.0,-0.0034000000000000002,VFC
2010-05-18,20.19,20.59,20.77,20.18,3950000.0,-0.009300000000000001,VFC
2010-05-19,19.99,20.07,20.21,19.7,4470000.0,-0.009899999999999999,VFC
2010-05-20,19.22,19.56,19.63,19.07,4890000.0,-0.0385,VFC
2010-05-21,19.47,18.91,19.71,18.75,4099999.9999999995,0.013000000000000001,VFC
2010-05-24,19.34,19.48,19.61,19.31,2200000.0,-0.0067,VFC
2010-05-25,19.26,18.98,19.31,18.73,8530000.0,-0.0040999999999999995,VFC
2010-05-26,19.02,19.43,19.5,18.98,6730000.0,-0.0125,VFC
2010-05-27,19.46,19.36,19.47,19.2,7560000.0,0.0231,VFC
2010-05-28,19.34,19.47,19.62,19.21,3900000.0,-0.0062,VFC
2010-06-01,18.96,19.2,19.46,18.94,3270000.0,-0.0196,VFC
2010-06-02,19.5,19.0,19.5,18.82,4430000.0,0.0285,VFC
2010-06-03,19.53,19.5,19.65,19.37,2840000.0,0.0015,VFC
2010-06-04,18.61,19.14,19.14,18.51,3790000.0,-0.0471,VFC
2010-06-07,18.32,18.67,18.73,18.3,3970000.0,-0.015600000000000001,VFC
2010-06-08,18.48,18.32,18.5,18.04,4050000.0,0.0087,VFC
2010-06-09,18.66,18.58,18.97,18.58,4240000.0,0.0097,VFC
2010-06-10,19.38,19.04,19.41,18.95,2750000.0,0.038599999999999995,VFC
2010-06-11,19.44,19.25,19.57,19.22,3880000.0,0.0031,VFC
2010-06-14,19.52,19.57,19.77,19.45,2860000.0,0.0040999999999999995,VFC
2010-06-15,20.01,19.62,20.04,19.52,3240000.0,0.025099999999999997,VFC
2010-06-16,19.81,19.93,20.0,19.65,4390000.0,-0.01,VFC
2010-06-17,19.65,19.86,19.89,19.5,5620000.0,-0.008100000000000001,VFC
2010-06-18,19.79,19.68,19.93,19.6,3880000.0,0.0070999999999999995,VFC
2010-06-21,19.64,20.02,20.04,19.53,3870000.0,-0.0076,VFC
2010-06-22,19.09,19.73,19.89,19.07,3460000.0,-0.027999999999999997,VFC
2010-06-23,19.01,19.08,19.15,18.79,4390000.0,-0.0042,VFC
2010-06-24,18.68,18.94,18.95,18.57,4650000.0,-0.0174,VFC
2010-06-25,18.83,18.68,18.86,18.52,5860000.0,0.008,VFC
2010-06-28,18.8,18.81,19.03,18.69,2760000.0,-0.0016,VFC
2010-06-29,18.06,18.5,18.51,17.93,6200000.0,-0.0394,VFC
2010-06-30,17.8,18.0,18.17,17.76,5010000.0,-0.0144,VFC
2010-07-01,17.88,17.76,18.04,17.46,4270000.0,0.0045000000000000005,VFC
2010-07-02,17.66,17.9,18.02,17.57,2990000.0,-0.0123,VFC
2010-07-06,17.48,17.82,17.97,17.31,3290000.0,-0.0102,VFC
2010-07-07,18.14,17.49,18.17,17.44,3750000.0,0.0378,VFC
2010-07-08,18.57,18.22,18.61,18.22,4390000.0,0.023700000000000002,VFC
2010-07-09,18.73,18.77,18.77,18.46,3180000.0,0.0086,VFC
2010-07-12,18.59,18.63,18.84,18.48,3630000.0,-0.0075,VFC
2010-07-13,19.05,18.88,19.14,18.77,2750000.0,0.024700000000000003,VFC
2010-07-14,19.04,18.95,19.06,18.73,4010000.0,-0.0005,VFC
2010-07-15,19.02,19.02,19.11,18.73,4410000.0,-0.0011,VFC
2010-07-16,18.22,18.93,18.96,18.17,4270000.0,-0.0421,VFC
2010-07-19,18.2,18.31,18.46,18.02,2700000.0,-0.0011,VFC
2010-07-20,18.75,17.91,18.76,17.89,3430000.0,0.0302,VFC
2010-07-21,18.49,18.86,18.91,18.44,4310000.0,-0.0139,VFC
2010-07-22,19.6,19.55,19.87,19.03,6550000.0,0.06,VFC
2010-07-23,19.95,19.75,20.19,19.75,6980000.0,0.0179,VFC
2010-07-26,20.47,20.0,20.53,19.91,4970000.0,0.026099999999999998,VFC
2010-07-27,20.09,20.5,20.53,19.88,4620000.0,-0.018600000000000002,VFC
2010-07-28,19.89,20.0,20.17,19.73,3260000.0,-0.01,VFC
2010-07-29,19.81,19.96,20.05,19.53,3170000.0,-0.004,VFC
2010-07-30,19.83,19.56,19.87,19.45,4350000.0,0.001,VFC
2010-08-02,20.23,20.12,20.36,20.09,3510000.0,0.0202,VFC
2010-08-03,19.87,20.07,20.14,19.84,2220000.0,-0.0178,VFC
2010-08-04,20.27,19.95,20.31,19.93,2210000.0,0.020099999999999996,VFC
2010-08-05,20.2,20.09,20.25,19.93,2060000.0,-0.0034999999999999996,VFC
2010-08-06,20.14,20.02,20.25,19.88,3000000.0,-0.003,VFC
2010-08-09,20.12,20.29,20.31,20.08,2680000.0,-0.001,VFC
2010-08-10,20.07,19.99,20.14,19.74,3320000.0,-0.0025,VFC
2010-08-11,19.46,19.75,19.77,19.33,3330000.0,-0.0304,VFC
2010-08-12,19.28,19.25,19.32,19.06,3320000.0,-0.0092,VFC
2010-08-13,19.13,19.21,19.33,19.12,1950000.0,-0.0078000000000000005,VFC
2010-08-16,19.15,19.06,19.24,18.81,1850000.0,0.001,VFC
2010-08-17,19.45,19.34,19.61,19.21,1750000.0,0.015700000000000002,VFC
2010-08-18,19.41,19.41,19.56,19.22,3720000.0,-0.0021,VFC
2010-08-19,18.98,19.36,19.36,18.91,3560000.0,-0.0222,VFC
2010-08-20,18.89,18.86,18.93,18.67,3830000.0,-0.004699999999999999,VFC
2010-08-23,18.82,18.92,19.17,18.82,5130000.0,-0.0037,VFC
2010-08-24,18.62,18.59,18.73,18.32,4740000.0,-0.0106,VFC
2010-08-25,18.68,18.5,18.69,18.24,3070000.0,0.0032,VFC
2010-08-26,18.3,18.73,18.75,18.27,3290000.0,-0.0203,VFC
2010-08-27,18.47,18.41,18.52,18.12,4000000.0,0.009300000000000001,VFC
2010-08-30,18.2,18.47,18.67,18.2,3120000.0,-0.0146,VFC
2010-08-31,17.64,17.73,17.96,17.52,7530000.0,-0.0308,VFC
2010-09-01,18.31,17.91,18.45,17.91,4510000.0,0.038,VFC
2010-09-02,18.57,18.32,18.63,18.32,2790000.0,0.014199999999999999,VFC
2010-09-03,18.89,18.82,18.91,18.62,3950000.0,0.0172,VFC
2010-09-07,18.71,18.84,18.91,18.69,3060000.0,-0.0095,VFC
2010-09-08,18.77,18.67,18.96,18.6,3590000.0,0.0032,VFC
2010-09-09,18.77,18.99,19.09,18.71,1800000.0,0.0,VFC
2010-09-10,18.88,18.86,18.95,18.73,2009999.9999999998,0.0059,VFC
2010-09-13,19.05,19.02,19.16,18.95,2280000.0,0.009000000000000001,VFC
2010-09-14,19.3,19.03,19.36,19.0,2600000.0,0.0131,VFC
2010-09-15,19.51,19.22,19.54,19.19,2550000.0,0.0109,VFC
2010-09-16,19.4,19.37,19.44,19.25,2430000.0,-0.005600000000000001,VFC
2010-09-17,19.37,19.52,19.55,19.3,3210000.0,-0.0015,VFC
2010-09-20,19.73,19.46,19.75,19.45,2410000.0,0.018600000000000002,VFC
2010-09-21,19.61,19.75,19.77,19.52,3390000.0,-0.0060999999999999995,VFC
2010-09-22,19.48,19.68,19.76,19.38,3080000.0,-0.0066,VFC
2010-09-23,19.33,19.34,19.48,19.25,2280000.0,-0.0077,VFC
2010-09-24,19.75,19.58,19.75,19.57,3180000.0,0.0217,VFC
2010-09-27,19.92,19.81,20.0,19.69,2940000.0,0.0086,VFC
2010-09-28,20.18,19.92,20.22,19.63,2470000.0,0.0131,VFC
2010-09-29,20.21,20.08,20.33,20.01,2690000.0,0.0015,VFC
2010-09-30,20.25,20.38,20.48,20.08,3080000.0,0.002,VFC
2010-10-01,20.2,20.38,20.46,20.09,3050000.0,-0.0025,VFC
2010-10-04,20.2,20.2,20.39,20.11,3510000.0,0.0,VFC
2010-10-05,20.65,20.4,20.72,20.26,3640000.0,0.0223,VFC
2010-10-06,20.58,20.63,20.69,20.44,2400000.0,-0.0034000000000000002,VFC
2010-10-07,20.62,20.7,20.73,20.49,2490000.0,0.0019,VFC
2010-10-08,21.08,20.59,21.18,20.52,2850000.0,0.0223,VFC
2010-10-11,21.31,21.02,21.41,21.02,3220000.0,0.0109,VFC
2010-10-12,21.22,21.26,21.29,20.96,3330000.0,-0.0042,VFC
2010-10-13,21.16,21.38,21.41,21.14,3060000.0,-0.0028000000000000004,VFC
2010-10-14,21.48,21.16,21.53,21.16,3550000.0,0.0151,VFC
2010-10-15,21.49,21.69,21.69,21.35,2820000.0,0.0005,VFC
2010-10-18,21.64,21.53,21.69,21.39,2690000.0,0.006999999999999999,VFC
2010-10-19,21.4,21.36,21.61,21.25,3440000.0,-0.0111,VFC
2010-10-20,21.86,21.55,21.92,21.47,7130000.0,0.0215,VFC
2010-10-21,21.3,21.17,22.32,20.89,9140000.0,-0.0256,VFC
2010-10-22,21.5,21.37,21.59,21.28,3700000.0,0.009399999999999999,VFC
2010-10-25,21.31,21.64,21.64,21.29,3300000.0,-0.0088,VFC
2010-10-26,21.41,21.18,21.55,21.12,4200000.0,0.004699999999999999,VFC
2010-10-27,20.73,21.21,21.21,20.4,7070000.0,-0.0318,VFC
2010-10-28,20.96,20.87,20.98,20.6,5190000.0,0.0111,VFC
2010-10-29,20.81,20.94,21.08,20.76,4270000.0,-0.0072,VFC
2010-11-01,20.82,20.94,21.09,20.66,2120000.0,0.0005,VFC
2010-11-02,20.83,21.0,21.13,20.83,2450000.0,0.0005,VFC
2010-11-03,20.78,20.91,20.91,20.48,3390000.0,-0.0024,VFC
2010-11-04,20.88,21.05,21.09,20.82,4300000.0,0.0048,VFC
2010-11-05,21.24,20.92,21.38,20.92,2770000.0,0.0172,VFC
2010-11-08,21.08,21.19,21.19,20.94,2990000.0,-0.0075,VFC
2010-11-09,20.76,21.13,21.13,20.68,3530000.0,-0.0152,VFC
2010-11-10,20.11,20.5,20.52,19.97,8800000.0,-0.0313,VFC
2010-11-11,20.21,19.99,20.26,19.94,5020000.0,0.005,VFC
2010-11-12,19.84,20.12,20.25,19.8,3620000.0,-0.0183,VFC
2010-11-15,19.94,19.95,20.27,19.88,3710000.0,0.005,VFC
2010-11-16,19.69,19.82,20.04,19.55,3990000.0,-0.0125,VFC
2010-11-17,20.18,19.75,20.24,19.75,3340000.0,0.024900000000000002,VFC
2010-11-18,20.38,20.44,20.55,20.36,2720000.0,0.009899999999999999,VFC
2010-11-19,20.64,20.43,20.64,20.2,3060000.0,0.0128,VFC
2010-11-22,20.85,20.57,20.91,20.48,3080000.0,0.0102,VFC
2010-11-23,20.74,20.66,20.81,20.52,3090000.0,-0.0053,VFC
2010-11-24,21.11,20.99,21.11,20.89,2340000.0,0.0178,VFC
2010-11-26,20.95,20.97,21.06,20.89,924040.0,-0.0076,VFC
2010-11-29,20.83,20.99,21.28,20.46,4360000.0,-0.005699999999999999,VFC
2010-11-30,20.72,20.75,20.91,20.62,5340000.0,-0.0053,VFC
2010-12-01,21.0,21.03,21.2,20.97,5710000.0,0.013500000000000002,VFC
2010-12-02,21.35,21.11,21.46,21.0,5210000.0,0.0167,VFC
2010-12-03,21.24,21.27,21.34,20.94,3790000.0,-0.0052,VFC
2010-12-06,21.38,21.2,21.45,21.07,3110000.0,0.0066,VFC
2010-12-07,21.41,21.55,21.73,21.4,5170000.0,0.0014000000000000002,VFC
2010-12-08,21.34,21.3,21.34,21.07,2830000.0,-0.0033,VFC
2010-12-09,21.4,21.48,21.48,21.32,2660000.0,0.0028000000000000004,VFC
2010-12-10,21.51,21.36,21.54,21.32,3280000.0,0.0051,VFC
2010-12-13,21.86,21.64,22.0,21.61,4720000.0,0.0163,VFC
2010-12-14,21.9,21.78,22.01,21.74,3500000.0,0.0018,VFC
2010-12-15,21.9,21.84,22.12,21.8,3980000.0,0.0,VFC
2010-12-16,22.04,22.0,22.09,21.86,3040000.0,0.0064,VFC
2010-12-17,22.3,22.09,22.38,22.05,4840000.0,0.0118,VFC
2010-12-20,22.33,22.37,22.38,22.08,2900000.0,0.0013,VFC
2010-12-21,22.2,22.36,22.43,22.18,4530000.0,-0.0058,VFC
2010-12-22,21.71,22.16,22.16,21.57,10920000.0,-0.022099999999999998,VFC
2010-12-23,21.72,21.74,21.86,21.61,3930000.0,0.0005,VFC
2010-12-27,21.65,21.7,21.75,21.52,4480000.0,-0.0032,VFC
2010-12-28,21.71,21.74,21.77,21.57,2320000.0,0.0028000000000000004,VFC
2010-12-29,21.78,21.76,21.9,21.73,1850000.0,0.0032,VFC
2010-12-30,21.71,21.71,21.79,21.66,1440000.0,-0.0032,VFC
2010-12-31,21.55,21.72,21.76,21.5,1750000.0,-0.0074,VFC
2011-01-03,21.59,21.66,21.69,21.44,5490000.0,0.0019,VFC
2011-01-04,21.27,21.64,21.7,21.17,5490000.0,-0.0148,VFC
2011-01-05,21.29,21.28,21.4,21.09,4240000.0,0.0009,VFC
2011-01-06,20.9,21.27,21.32,20.76,6880000.0,-0.0183,VFC
2011-01-07,20.53,20.71,20.84,20.35,10690000.0,-0.0177,VFC
2011-01-10,20.68,20.5,20.81,20.44,4720000.0,0.0073,VFC
2011-01-11,20.69,20.8,20.8,20.51,4320000.0,0.0005,VFC
2011-01-12,20.76,20.85,20.88,20.68,2530000.0,0.0034000000000000002,VFC
2011-01-13,20.59,20.75,20.82,20.5,5260000.0,-0.008199999999999999,VFC
2011-01-14,20.99,20.59,20.99,20.5,4480000.0,0.0194,VFC
2011-01-18,20.7,21.0,21.03,20.57,3760000.0,-0.0138,VFC
2011-01-19,20.77,20.75,20.77,20.45,5200000.0,0.0034000000000000002,VFC
2011-01-20,20.9,20.73,20.98,20.66,5120000.0,0.0063,VFC
2011-01-21,20.52,20.96,20.96,20.48,5190000.0,-0.0182,VFC
2011-01-24,20.64,20.48,20.73,20.45,3860000.0,0.0058,VFC
