Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,33.94,33.0,33.97,32.55,4520000.0,0.0,VIAB
2018-01-23,33.39,33.9,34.01,33.03,3780000.0,-0.016200000000000003,VIAB
2018-01-24,33.13,33.48,33.79,33.1,2710000.0,-0.0078000000000000005,VIAB
2018-01-25,33.61,33.21,34.5,32.72,4350000.0,0.014499999999999999,VIAB
2018-01-26,34.09,33.64,34.09,33.49,2350000.0,0.0143,VIAB
2018-01-29,33.71,34.09,34.18,33.52,3980000.0,-0.0111,VIAB
2018-01-30,32.94,33.56,33.84,32.81,3100000.0,-0.022799999999999997,VIAB
2018-01-31,33.42,33.19,33.66,32.58,4590000.0,0.0146,VIAB
2018-02-01,33.21,33.35,33.79,32.84,4690000.0,-0.0063,VIAB
2018-02-02,32.22,33.23,33.7,32.11,5550000.0,-0.0298,VIAB
2018-02-05,31.14,32.09,32.75,31.02,7190000.0,-0.0335,VIAB
2018-02-06,31.25,30.6,32.01,30.0,6700000.0,0.0034999999999999996,VIAB
2018-02-07,30.51,31.37,31.72,30.5,6900000.0,-0.023700000000000002,VIAB
2018-02-08,32.71,32.79,34.18,32.0,11730000.0,0.0721,VIAB
2018-02-09,32.87,33.2,33.48,30.83,7540000.0,0.0049,VIAB
2018-02-12,32.88,33.1,33.85,32.64,4410000.0,0.0003,VIAB
2018-02-13,33.1,32.71,33.29,32.62,4150000.0000000005,0.0067,VIAB
2018-02-14,33.93,33.35,34.17,32.87,4730000.0,0.025099999999999997,VIAB
2018-02-15,33.93,34.0,34.17,33.08,4500000.0,0.0,VIAB
2018-02-16,33.5,33.98,34.58,33.5,3620000.0,-0.0127,VIAB
2018-02-20,33.98,33.48,34.54,33.43,3120000.0,0.0143,VIAB
2018-02-21,33.03,33.93,34.29,32.98,3690000.0,-0.027999999999999997,VIAB
2018-02-22,32.93,33.12,33.74,32.81,2480000.0,-0.003,VIAB
2018-02-23,33.74,33.07,33.74,32.95,2590000.0,0.0246,VIAB
2018-02-26,33.88,33.89,34.21,33.53,2029999.9999999998,0.0040999999999999995,VIAB
2018-02-27,33.21,33.79,33.96,33.01,2260000.0,-0.019799999999999998,VIAB
2018-02-28,33.34,33.63,33.88,32.87,4870000.0,0.0039000000000000003,VIAB
2018-03-01,33.13,33.34,33.44,32.56,3700000.0,-0.0063,VIAB
2018-03-02,34.09,32.79,34.32,32.43,3030000.0,0.028999999999999998,VIAB
2018-03-05,34.28,33.98,34.4,33.7,2990000.0,0.005600000000000001,VIAB
2018-03-06,34.21,34.49,34.5,33.83,2080000.0,-0.002,VIAB
2018-03-07,33.65,34.04,34.34,33.2,2510000.0,-0.016399999999999998,VIAB
2018-03-08,32.85,33.65,33.72,32.73,2570000.0,-0.023799999999999998,VIAB
2018-03-09,32.72,32.89,33.48,32.13,4810000.0,-0.004,VIAB
2018-03-12,32.82,32.8,33.06,32.61,2300000.0,0.0031,VIAB
2018-03-13,32.8,32.92,33.25,32.55,2950000.0,-0.0006,VIAB
2018-03-14,32.64,32.69,32.84,32.28,2780000.0,-0.0049,VIAB
2018-03-15,32.83,33.31,33.31,32.76,2450000.0,0.0058,VIAB
2018-03-16,31.65,32.74,33.02,31.65,4050000.0,-0.0359,VIAB
2018-03-19,31.36,31.68,31.85,31.06,2069999.9999999998,-0.0092,VIAB
2018-03-20,30.99,31.54,31.56,30.83,1960000.0,-0.0118,VIAB
2018-03-21,31.3,31.04,31.72,30.91,1980000.0,0.01,VIAB
2018-03-22,30.63,31.09,31.37,30.61,2100000.0,-0.021400000000000002,VIAB
2018-03-23,30.14,30.69,30.86,29.95,2350000.0,-0.016,VIAB
2018-03-26,30.09,30.41,30.72,29.28,3410000.0,-0.0017000000000000001,VIAB
2018-03-27,30.73,30.18,31.12,30.17,3040000.0,0.0213,VIAB
2018-03-28,30.48,31.5,31.61,30.36,2240000.0,-0.008100000000000001,VIAB
2018-03-29,31.06,30.6,31.23,30.42,2390000.0,0.019,VIAB
2018-04-02,30.55,30.87,31.64,30.38,4000000.0,-0.016399999999999998,VIAB
2018-04-03,29.42,29.54,30.42,29.0,6760000.0,-0.037000000000000005,VIAB
2018-04-04,30.57,28.86,30.93,28.86,5770000.0,0.0391,VIAB
2018-04-05,30.77,30.63,30.82,30.32,3400000.0,0.006500000000000001,VIAB
2018-04-06,30.9,30.71,31.16,30.64,2800000.0,0.0042,VIAB
2018-04-09,30.97,31.09,31.27,30.71,4090000.0,0.0023,VIAB
2018-04-10,31.04,31.24,31.42,31.0,1960000.0,0.0023,VIAB
2018-04-11,30.51,30.94,31.09,30.43,2770000.0,-0.0171,VIAB
2018-04-12,30.52,30.63,30.88,30.25,1530000.0,0.0003,VIAB
2018-04-13,30.7,30.68,30.87,30.47,2410000.0,0.0059,VIAB
2018-04-16,31.46,30.86,31.47,30.6,2710000.0,0.0248,VIAB
2018-04-17,31.44,31.55,31.67,31.21,1320000.0,-0.0006,VIAB
2018-04-18,31.26,31.32,31.66,31.19,1990000.0,-0.005699999999999999,VIAB
2018-04-19,30.76,31.25,31.37,30.71,2620000.0,-0.016,VIAB
2018-04-20,30.66,30.87,31.21,30.43,3230000.0,-0.0033,VIAB
2018-04-23,31.06,30.62,31.09,30.4,2490000.0,0.013000000000000001,VIAB
