Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,44.04,44.51,44.96,43.93,1430000.0,-0.0063,WELL
2010-01-05,44.66,44.28,44.74,43.87,1170000.0,0.0141,WELL
2010-01-06,44.44,44.75,44.95,44.31,1060000.0,-0.0049,WELL
2010-01-07,44.53,44.5,44.86,43.98,1530000.0,0.002,WELL
2010-01-08,44.07,44.28,44.55,43.85,1090000.0,-0.0103,WELL
2010-01-11,44.17,43.68,44.24,43.62,1250000.0,0.0023,WELL
2010-01-12,43.77,43.88,44.38,43.5,1260000.0,-0.0091,WELL
2010-01-13,44.71,43.99,44.81,43.92,1370000.0,0.0215,WELL
2010-01-14,44.38,44.69,44.69,44.15,938330.0,-0.0074,WELL
2010-01-15,44.3,44.25,44.55,44.17,1530000.0,-0.0018,WELL
2010-01-19,45.43,44.31,45.6,44.31,1350000.0,0.0255,WELL
2010-01-20,45.25,45.22,45.37,44.68,1320000.0,-0.004,WELL
2010-01-21,44.18,45.29,45.61,44.08,1610000.0,-0.0236,WELL
2010-01-22,43.21,44.17,44.55,43.1,1930000.0,-0.022000000000000002,WELL
2010-01-25,43.32,43.65,43.65,42.62,1680000.0,0.0025,WELL
2010-01-26,43.09,43.02,43.5,42.92,1180000.0,-0.0053,WELL
2010-01-27,43.42,43.1,43.46,42.46,1440000.0,0.0077,WELL
2010-01-28,43.29,43.61,43.68,42.89,1830000.0,-0.003,WELL
2010-01-29,43.0,43.35,43.98,42.81,1960000.0,-0.0067,WELL
2010-02-01,43.06,43.27,43.48,42.8,1600000.0,0.0014000000000000002,WELL
2010-02-02,43.36,43.12,43.55,42.59,2210000.0,0.006999999999999999,WELL
2010-02-03,42.74,43.29,43.3,42.24,1620000.0,-0.0143,WELL
2010-02-04,40.42,41.88,42.08,40.42,3130000.0,-0.054299999999999994,WELL
2010-02-05,41.02,40.36,41.05,39.82,2700000.0,0.0148,WELL
2010-02-08,40.26,41.0,41.12,40.19,1660000.0,-0.018500000000000003,WELL
2010-02-09,40.32,40.63,40.78,39.99,1800000.0,0.0015,WELL
2010-02-10,40.48,40.41,41.08,39.94,1160000.0,0.004,WELL
2010-02-11,40.99,40.47,41.08,40.19,1120000.0,0.0126,WELL
2010-02-12,40.76,40.65,40.81,40.08,1490000.0,-0.005600000000000001,WELL
2010-02-16,41.71,41.01,41.75,40.86,1530000.0,0.0233,WELL
2010-02-17,42.02,41.79,42.18,41.66,1040000.0,0.0074,WELL
2010-02-18,42.35,41.94,42.54,41.54,1490000.0,0.0079,WELL
2010-02-19,41.86,42.23,42.32,41.72,2150000.0,-0.0116,WELL
2010-02-22,42.0,42.1,42.19,41.68,1320000.0,0.0033,WELL
2010-02-23,41.54,41.94,42.05,41.47,1620000.0,-0.011000000000000001,WELL
2010-02-24,42.26,41.69,42.26,41.45,1600000.0,0.0173,WELL
2010-02-25,42.63,41.76,42.67,41.55,2600000.0,0.0088,WELL
2010-02-26,42.36,42.7,42.75,42.36,1860000.0,-0.0063,WELL
2010-03-01,42.7,42.53,42.75,42.31,1370000.0,0.008,WELL
2010-03-02,42.53,42.79,42.9,42.33,1120000.0,-0.004,WELL
2010-03-03,42.34,42.47,42.54,42.18,913300.0,-0.0045000000000000005,WELL
2010-03-04,42.63,42.5,42.72,42.24,916880.0,0.0068000000000000005,WELL
2010-03-05,43.16,42.89,43.26,42.59,1670000.0,0.0124,WELL
2010-03-08,43.4,43.16,43.47,43.02,1000000.0,0.005600000000000001,WELL
2010-03-09,43.63,43.23,43.85,43.12,1290000.0,0.0053,WELL
2010-03-10,44.04,43.52,44.07,43.31,1980000.0,0.009399999999999999,WELL
2010-03-11,44.48,43.89,44.48,43.75,1150000.0,0.01,WELL
2010-03-12,44.78,44.59,44.98,44.43,1220000.0,0.0067,WELL
2010-03-15,44.96,44.79,45.05,44.52,1020000.0,0.004,WELL
2010-03-16,45.98,45.06,46.06,44.85,2870000.0,0.0227,WELL
2010-03-17,46.21,45.99,46.36,45.84,1650000.0,0.005,WELL
2010-03-18,45.91,45.74,46.05,45.5,1330000.0,-0.006500000000000001,WELL
2010-03-19,45.75,45.96,46.22,45.3,1630000.0,-0.0034999999999999996,WELL
2010-03-22,46.26,45.57,46.36,45.41,1060000.0,0.0111,WELL
