Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,27.32,27.02,27.48,26.82,39340000.0,0.012199999999999999,WFC
2010-01-05,28.07,27.27,28.24,27.24,55420000.0,0.0275,WFC
2010-01-06,28.11,28.03,28.33,27.79,33240000.000000004,0.0014000000000000002,WFC
2010-01-07,29.13,28.12,29.43,27.92,61650000.0,0.0363,WFC
2010-01-08,28.86,28.9,29.35,28.6,35510000.0,-0.009300000000000001,WFC
2010-01-11,28.8,29.09,29.17,28.58,24390000.0,-0.0021,WFC
2010-01-12,28.08,28.47,28.55,27.5,39800000.0,-0.025,WFC
2010-01-13,28.58,27.99,28.76,27.8,36720000.0,0.0178,WFC
2010-01-14,28.99,28.5,29.21,28.5,31540000.0,0.0143,WFC
2010-01-15,28.08,28.82,28.9,27.88,47260000.0,-0.031400000000000004,WFC
2010-01-19,28.28,27.93,28.47,27.61,40820000.0,0.0070999999999999995,WFC
2010-01-20,27.82,28.02,28.65,27.7,75710000.0,-0.0163,WFC
2010-01-21,28.0,27.98,28.5,27.18,90150000.0,0.006500000000000001,WFC
2010-01-22,27.26,27.97,28.41,27.17,69510000.0,-0.0264,WFC
2010-01-25,27.66,27.45,28.05,27.19,48320000.0,0.0147,WFC
2010-01-26,26.99,27.45,28.35,26.92,66590000.0,-0.0242,WFC
2010-01-27,28.2,26.9,28.24,26.88,63080000.0,0.044800000000000006,WFC
2010-01-28,28.45,28.28,28.77,27.72,62130000.0,0.0089,WFC
2010-01-29,28.43,28.44,29.17,28.38,88780000.0,-0.0007000000000000001,WFC
2010-02-01,28.93,28.6,29.09,28.51,45240000.0,0.0176,WFC
2010-02-02,28.79,28.96,29.13,28.51,50310000.0,-0.0048,WFC
2010-02-03,28.14,28.57,28.78,27.98,44600000.0,-0.0226,WFC
2010-02-04,27.06,27.95,28.08,27.0,68240000.0,-0.0384,WFC
2010-02-05,27.42,27.3,27.71,26.62,68480000.0,0.013300000000000001,WFC
2010-02-08,26.43,27.23,27.41,26.4,43430000.0,-0.0361,WFC
2010-02-09,26.71,26.89,27.14,26.37,46850000.0,0.0106,WFC
2010-02-10,27.18,26.61,27.56,26.55,42110000.0,0.0176,WFC
2010-02-11,27.08,27.15,27.24,26.71,35820000.0,-0.0037,WFC
2010-02-12,26.88,26.79,27.04,26.47,45330000.0,-0.0074,WFC
2010-02-16,27.39,27.19,27.39,26.94,36100000.0,0.019,WFC
2010-02-17,27.33,27.59,27.64,27.09,50110000.0,-0.0022,WFC
2010-02-18,27.34,27.3,27.57,27.16,30290000.0,0.0004,WFC
2010-02-19,27.37,27.08,27.48,27.07,32180000.0,0.0011,WFC
2010-02-22,28.01,27.48,28.15,27.38,41850000.0,0.023399999999999997,WFC
2010-02-23,27.29,27.95,28.0,27.18,38760000.0,-0.025699999999999997,WFC
