Date,Close,Open,High,Low,Volume,Change,Symbol
2010-01-04,34.16,34.01,34.26,33.87,2060000.0,0.0104,WM
2010-01-05,34.01,34.22,34.22,33.78,2960000.0,-0.0044,WM
2010-01-06,34.0,33.87,34.15,33.78,1640000.0,-0.0003,WM
2010-01-07,34.08,33.94,34.12,33.82,1410000.0,0.0024,WM
2010-01-08,34.24,33.92,34.33,33.66,1450000.0,0.004699999999999999,WM
2010-01-11,34.67,34.36,34.72,34.28,1730000.0,0.0126,WM
2010-01-12,34.88,34.59,34.9,34.3,2190000.0,0.0060999999999999995,WM
2010-01-13,34.8,34.87,35.0,34.66,1960000.0,-0.0023,WM
2010-01-14,34.44,34.71,34.75,34.32,2480000.0,-0.0103,WM
2010-01-15,33.25,34.36,34.39,33.15,4099999.9999999995,-0.0346,WM
2010-01-19,33.92,33.26,33.93,33.18,3000000.0,0.0202,WM
2010-01-20,33.72,33.65,33.75,33.02,3240000.0,-0.0059,WM
2010-01-21,33.1,33.7,33.99,33.03,3300000.0,-0.0184,WM
2010-01-22,32.86,33.13,33.58,32.83,2830000.0,-0.0073,WM
2010-01-25,32.64,33.11,33.11,32.6,1670000.0,-0.0067,WM
2010-01-26,32.56,32.53,32.91,32.26,1750000.0,-0.0025,WM
2010-01-27,32.58,32.51,32.74,32.14,1870000.0,0.0006,WM
2010-01-28,32.11,32.73,32.73,31.83,2760000.0,-0.0144,WM
2010-01-29,32.05,32.34,32.52,31.95,2370000.0,-0.0019,WM
2010-02-01,32.18,32.2,32.46,31.83,1830000.0,0.0040999999999999995,WM
2010-02-02,32.51,32.18,32.62,32.14,1880000.0,0.0103,WM
2010-02-03,32.47,32.43,32.57,32.21,1070000.0,-0.0012,WM
2010-02-04,31.81,32.28,32.44,31.73,2480000.0,-0.0203,WM
2010-02-05,31.82,31.74,32.12,31.37,2660000.0,0.0003,WM
2010-02-08,31.4,31.87,31.95,31.4,1740000.0,-0.0132,WM
2010-02-09,32.06,31.66,32.17,31.56,2020000.0,0.021,WM
2010-02-10,31.92,32.06,32.14,31.56,1370000.0,-0.0044,WM
2010-02-11,31.93,31.73,31.99,31.3,2640000.0,0.0003,WM
2010-02-12,31.83,31.69,32.0,31.29,3400000.0,-0.0031,WM
2010-02-16,32.9,32.49,33.09,32.4,2950000.0,0.0336,WM
2010-02-17,33.0,33.09,33.2,32.84,2080000.0,0.003,WM
2010-02-18,32.9,32.9,33.08,32.67,2770000.0,-0.003,WM
2010-02-19,33.38,32.81,33.48,32.63,2580000.0,0.0146,WM
2010-02-22,33.36,33.51,33.51,33.21,1400000.0,-0.0006,WM
2010-02-23,32.62,32.94,33.28,32.54,2550000.0,-0.0222,WM
2010-02-24,32.92,32.73,32.99,32.51,3160000.0,0.0092,WM
2010-02-25,33.03,32.64,33.03,32.42,2510000.0,0.0033,WM
2010-02-26,33.02,33.04,33.14,32.79,1880000.0,-0.0003,WM
2010-03-01,33.37,33.04,33.45,33.01,2400000.0,0.0106,WM
2010-03-02,33.51,33.49,33.63,33.4,1690000.0,0.0042,WM
2010-03-03,33.5,33.52,33.76,33.34,1580000.0,-0.0003,WM
2010-03-04,33.47,33.5,33.66,33.31,1390000.0,-0.0009,WM
2010-03-05,33.86,33.64,33.86,33.54,1620000.0,0.011699999999999999,WM
2010-03-08,33.6,33.94,33.94,33.55,1650000.0,-0.0077,WM
2010-03-09,33.62,33.58,33.64,33.34,1930000.0,0.0006,WM
2010-03-10,33.49,33.54,33.59,33.27,2410000.0,-0.0039000000000000003,WM
2010-03-11,33.45,33.45,33.47,33.11,2140000.0,-0.0012,WM
2010-03-12,33.42,33.45,33.51,33.15,1910000.0,-0.0009,WM
2010-03-15,33.7,33.45,33.73,33.22,2089999.9999999998,0.0084,WM
2010-03-16,33.88,33.79,33.99,33.68,2190000.0,0.0053,WM
2010-03-17,33.97,34.0,34.17,33.88,1660000.0,0.0027,WM
2010-03-18,34.1,34.04,34.19,33.95,1800000.0,0.0038,WM
2010-03-19,34.16,34.17,34.47,33.98,4390000.0,0.0018,WM
2010-03-22,34.27,34.04,34.3,34.0,1960000.0,0.0032,WM
2010-03-23,34.69,34.42,34.72,34.25,2500000.0,0.0123,WM
2010-03-24,34.36,34.57,34.6,33.99,2420000.0,-0.0095,WM
2010-03-25,34.27,34.58,34.58,34.27,2170000.0,-0.0026,WM
2010-03-26,34.43,34.31,34.64,34.22,4230000.0,0.004699999999999999,WM
2010-03-29,34.55,34.59,34.75,34.34,1700000.0,0.0034999999999999996,WM
2010-03-30,34.44,34.63,34.64,34.32,1710000.0,-0.0032,WM
2010-03-31,34.43,34.35,34.57,34.09,1910000.0,-0.0003,WM
2010-04-01,34.58,34.5,34.74,34.4,1410000.0,0.0044,WM
2010-04-05,34.68,34.72,34.8,34.5,1260000.0,0.0029,WM
2010-04-06,34.84,34.65,35.04,34.59,1820000.0,0.0046,WM
2010-04-07,34.68,34.81,34.9,34.63,1760000.0,-0.0046,WM
2010-04-08,34.61,34.67,34.82,34.42,1650000.0,-0.002,WM
2010-04-09,34.77,34.68,34.8,34.31,1770000.0,0.0046,WM
2010-04-12,34.92,34.74,34.97,34.71,1440000.0,0.0043,WM
2010-04-13,34.87,34.69,35.0,34.51,1870000.0,-0.0014000000000000002,WM
2010-04-14,35.1,34.99,35.1,34.75,1890000.0,0.0066,WM
2010-04-15,35.14,35.01,35.37,34.91,2360000.0,0.0011,WM
2010-04-16,35.03,35.15,35.39,34.95,3290000.0,-0.0031,WM
2010-04-19,35.11,35.0,35.21,34.75,3490000.0,0.0023,WM
2010-04-20,35.09,35.31,35.39,35.0,2150000.0,-0.0006,WM
2010-04-21,35.13,35.17,35.27,35.0,2410000.0,0.0011,WM
2010-04-22,35.24,35.11,35.35,34.8,2310000.0,0.0031,WM
2010-04-23,35.53,35.26,35.55,35.16,2900000.0,0.008199999999999999,WM
2010-04-26,35.66,35.63,35.99,35.58,2310000.0,0.0037,WM
2010-04-27,34.77,35.72,35.72,34.75,2980000.0,-0.025,WM
2010-04-28,35.29,34.96,35.33,34.82,3030000.0,0.015,WM
2010-04-29,35.09,35.29,35.57,34.75,3840000.0,-0.005699999999999999,WM
2010-04-30,34.68,34.97,35.33,34.68,2980000.0,-0.011699999999999999,WM
2010-05-03,35.08,34.89,35.54,34.82,2410000.0,0.0115,WM
2010-05-04,34.2,34.82,34.85,33.99,2220000.0,-0.025099999999999997,WM
2010-05-05,34.04,33.82,34.2,33.8,2160000.0,-0.004699999999999999,WM
2010-05-06,33.09,33.98,34.21,31.55,4840000.0,-0.0279,WM
2010-05-07,32.86,33.0,33.2,32.21,4940000.0,-0.006999999999999999,WM
2010-05-10,33.98,33.81,34.11,33.6,3110000.0,0.0341,WM
2010-05-11,33.96,33.71,34.3,33.64,1870000.0,-0.0006,WM
2010-05-12,34.35,33.99,34.52,33.91,2950000.0,0.0115,WM
2010-05-13,34.06,34.35,34.4,34.0,2280000.0,-0.0084,WM
2010-05-14,33.47,33.9,34.11,33.26,3220000.0,-0.0173,WM
2010-05-17,33.74,33.65,33.9,33.27,2920000.0,0.008100000000000001,WM
2010-05-18,33.75,34.02,34.35,33.72,3390000.0,0.0003,WM
2010-05-19,33.3,33.58,33.68,33.1,3550000.0,-0.013300000000000001,WM
2010-05-20,32.17,32.78,32.99,32.17,4770000.0,-0.0339,WM
2010-05-21,32.4,31.77,32.46,31.48,3710000.0,0.0070999999999999995,WM
2010-05-24,32.02,32.32,32.41,31.97,2110000.0,-0.011699999999999999,WM
2010-05-25,32.04,31.42,32.06,31.11,3570000.0,0.0006,WM
2010-05-26,32.22,32.22,32.73,32.15,4040000.0,0.005600000000000001,WM
2010-05-27,32.68,32.57,32.68,32.26,2680000.0,0.0143,WM
2010-05-28,32.51,32.72,32.84,32.3,3220000.0,-0.0052,WM
2010-06-01,31.97,32.35,32.71,31.92,3350000.0,-0.0166,WM
2010-06-02,32.68,32.04,32.68,31.97,2760000.0,0.0222,WM
2010-06-03,32.8,32.59,32.87,32.47,2260000.0,0.0037,WM
2010-06-04,31.56,32.32,32.32,31.45,4280000.0,-0.0378,WM
2010-06-07,31.37,31.62,31.71,31.32,3180000.0,-0.006,WM
2010-06-08,31.85,31.39,31.9,31.24,4110000.0000000005,0.015300000000000001,WM
2010-06-09,31.96,31.97,32.26,31.86,3760000.0,0.0034999999999999996,WM
2010-06-10,32.83,32.31,32.84,32.23,3960000.0,0.027200000000000002,WM
2010-06-11,32.77,32.64,32.77,32.35,2250000.0,-0.0018,WM
2010-06-14,32.83,33.0,33.28,32.76,2910000.0,0.0018,WM
2010-06-15,33.61,33.21,33.61,32.97,2320000.0,0.023799999999999998,WM
2010-06-16,33.64,33.45,33.73,33.41,2250000.0,0.0009,WM
2010-06-17,33.71,33.65,33.76,33.44,2300000.0,0.0021,WM
2010-06-18,33.53,33.68,33.82,33.42,4059999.9999999995,-0.0053,WM
2010-06-21,33.55,33.77,34.12,33.37,2560000.0,0.0006,WM
2010-06-22,33.04,33.51,33.78,33.0,2220000.0,-0.0152,WM
2010-06-23,32.67,33.14,33.21,32.51,3240000.0,-0.011200000000000002,WM
2010-06-24,32.14,32.57,32.75,32.08,3690000.0,-0.016200000000000003,WM
2010-06-25,32.15,32.28,32.38,31.91,8700000.0,0.0003,WM
2010-06-28,32.3,32.39,32.56,32.02,2460000.0,0.004699999999999999,WM
2010-06-29,31.46,31.91,31.99,31.27,3420000.0,-0.026000000000000002,WM
2010-06-30,31.29,31.48,31.79,31.22,3160000.0,-0.0054,WM
2010-07-01,31.65,31.25,31.83,31.22,5580000.0,0.0115,WM
2010-07-02,31.81,31.65,32.06,31.63,4330000.0,0.0051,WM
2010-07-06,31.73,32.01,32.15,31.5,3230000.0,-0.0025,WM
2010-07-07,32.48,31.72,32.5,31.55,2490000.0,0.0236,WM
2010-07-08,32.88,32.8,32.94,32.53,2130000.0,0.0123,WM
2010-07-09,32.78,32.96,35.87,32.41,2360000.0,-0.003,WM
2010-07-12,32.74,32.76,32.92,32.6,2080000.0,-0.0012,WM
2010-07-13,33.15,33.03,33.25,32.86,2280000.0,0.0125,WM
2010-07-14,33.06,33.04,33.09,32.68,1870000.0,-0.0027,WM
2010-07-15,33.18,33.11,33.24,32.71,2260000.0,0.0036,WM
2010-07-16,32.44,32.93,33.12,32.33,2600000.0,-0.0223,WM
2010-07-19,32.47,32.5,32.65,32.26,1950000.0,0.0009,WM
2010-07-20,32.68,32.2,32.69,31.98,2520000.0,0.006500000000000001,WM
2010-07-21,32.61,32.8,32.95,32.49,3990000.0,-0.0021,WM
2010-07-22,33.35,32.74,33.39,32.74,2610000.0,0.0227,WM
2010-07-23,33.59,33.35,33.63,33.18,2120000.0,0.0072,WM
2010-07-26,34.12,33.7,34.14,33.6,2040000.0,0.0158,WM
2010-07-27,34.13,34.35,34.35,33.96,2430000.0,0.0003,WM
2010-07-28,34.12,34.23,34.23,33.87,2840000.0,-0.0003,WM
2010-07-29,34.25,34.24,34.45,33.66,2300000.0,0.0038,WM
2010-07-30,33.95,33.87,34.16,33.26,4019999.9999999995,-0.0088,WM
2010-08-02,34.46,34.37,34.49,34.08,2170000.0,0.015,WM
2010-08-03,34.39,34.25,34.5,34.22,1820000.0,-0.002,WM
2010-08-04,34.59,34.43,34.6,34.33,1870000.0,0.0058,WM
2010-08-05,34.46,34.4,34.46,34.13,1820000.0,-0.0038,WM
2010-08-06,34.57,34.23,34.57,34.08,2130000.0,0.0032,WM
2010-08-09,34.65,34.66,34.75,34.53,1170000.0,0.0023,WM
2010-08-10,34.32,34.31,34.53,34.06,1530000.0,-0.0095,WM
2010-08-11,33.33,33.97,34.01,33.26,2130000.0,-0.0288,WM
2010-08-12,33.1,32.92,33.21,32.83,2040000.0,-0.0069,WM
2010-08-13,33.01,33.06,33.24,33.0,1240000.0,-0.0027,WM
2010-08-16,33.25,32.83,33.3,32.58,1560000.0,0.0073,WM
2010-08-17,33.96,33.48,34.45,33.41,2600000.0,0.021400000000000002,WM
2010-08-18,33.96,33.94,34.15,33.71,1330000.0,0.0,WM
2010-08-19,33.48,33.89,33.96,33.34,1820000.0,-0.0141,WM
2010-08-20,33.6,33.41,33.67,33.17,1780000.0,0.0036,WM
2010-08-23,33.52,33.77,33.91,33.36,1810000.0,-0.0024,WM
2010-08-24,33.17,33.29,33.65,32.89,2230000.0,-0.0104,WM
2010-08-25,33.12,33.04,33.27,32.56,4340000.0,-0.0015,WM
2010-08-26,33.09,33.25,33.42,33.01,1510000.0,-0.0009,WM
2010-08-27,33.62,33.2,33.65,33.02,1540000.0,0.016,WM
2010-08-30,33.43,33.61,33.74,33.37,1760000.0,-0.005699999999999999,WM
2010-08-31,33.09,33.32,33.44,32.86,3140000.0,-0.0102,WM
2010-09-01,34.0,33.42,34.19,33.33,3050000.0,0.0275,WM
2010-09-02,33.84,33.82,33.89,33.61,2009999.9999999998,-0.004699999999999999,WM
2010-09-03,34.11,33.88,34.19,33.75,1480000.0,0.008,WM
2010-09-07,33.83,33.99,34.06,33.75,1520000.0,-0.008199999999999999,WM
2010-09-08,33.92,33.9,34.07,33.81,2400000.0,0.0027,WM
2010-09-09,33.8,34.18,34.25,33.75,1920000.0,-0.0034999999999999996,WM
2010-09-10,34.0,33.85,34.17,33.8,1310000.0,0.0059,WM
2010-09-13,34.16,34.25,34.34,34.05,1530000.0,0.004699999999999999,WM
2010-09-14,34.27,34.15,34.46,33.97,1710000.0,0.0032,WM
