Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-22,20.55,20.24,20.59,20.23,4530000.0,0.0,WU
2018-01-23,20.73,20.52,20.82,20.48,4240000.0,0.0088,WU
2018-01-24,20.52,20.8,20.91,20.51,4190000.0000000005,-0.0101,WU
2018-01-25,20.8,20.59,20.81,20.48,3750000.0,0.013600000000000001,WU
2018-01-26,21.16,20.9,21.18,20.78,3670000.0,0.0173,WU
2018-01-29,20.83,21.15,21.15,20.78,3540000.0,-0.015600000000000001,WU
2018-01-30,20.6,20.66,20.84,20.51,3390000.0,-0.011000000000000001,WU
2018-01-31,20.79,20.65,20.94,20.64,4500000.0,0.0092,WU
2018-02-01,20.69,20.71,20.85,20.62,6320000.0,-0.0048,WU
2018-02-02,20.28,20.57,20.67,20.28,6520000.0,-0.019799999999999998,WU
2018-02-05,19.54,20.15,20.24,19.53,5490000.0,-0.0365,WU
2018-02-06,19.81,19.28,19.87,18.98,7240000.0,0.0138,WU
2018-02-07,19.49,19.73,20.05,19.43,4430000.0,-0.016200000000000003,WU
2018-02-08,18.81,19.47,19.5,18.81,7530000.0,-0.0349,WU
2018-02-09,19.36,18.98,19.49,18.55,7550000.0,0.0292,WU
2018-02-12,19.77,19.46,19.94,19.4,7010000.0,0.0212,WU
2018-02-13,19.75,19.59,19.91,19.59,7360000.0,-0.001,WU
2018-02-14,20.3,20.5,20.74,19.83,13490000.0,0.0278,WU
2018-02-15,20.2,20.45,20.54,20.1,7920000.0,-0.0049,WU
2018-02-16,20.26,20.15,20.45,20.11,7250000.0,0.003,WU
2018-02-20,20.25,20.24,20.5,20.18,3930000.0,-0.0005,WU
2018-02-21,20.09,20.27,20.42,20.09,3710000.0,-0.0079,WU
2018-02-22,20.09,20.2,20.38,20.06,4950000.0,0.0,WU
2018-02-23,20.24,20.25,20.26,20.02,3530000.0,0.0075,WU
2018-02-26,20.3,20.31,20.4,20.18,2980000.0,0.003,WU
2018-02-27,19.99,20.3,20.38,19.97,5280000.0,-0.015300000000000001,WU
2018-02-28,19.82,20.1,20.15,19.75,5540000.0,-0.0085,WU
2018-03-01,19.66,19.84,20.01,19.5,5530000.0,-0.008100000000000001,WU
2018-03-02,19.87,19.55,19.89,19.48,3110000.0,0.010700000000000001,WU
2018-03-05,19.9,19.74,20.07,19.67,7200000.0,0.0015,WU
2018-03-06,19.9,19.96,20.0,19.72,2930000.0,0.0,WU
2018-03-07,19.96,19.77,20.01,19.76,2500000.0,0.003,WU
2018-03-08,19.66,19.97,19.98,19.6,4139999.9999999995,-0.015,WU
2018-03-09,20.17,19.82,20.18,19.8,4360000.0,0.0259,WU
2018-03-12,20.13,20.21,20.37,20.05,5390000.0,-0.002,WU
2018-03-13,20.37,20.23,20.55,20.23,6240000.0,0.011899999999999999,WU
2018-03-14,20.31,20.49,20.52,20.23,5850000.0,-0.0029,WU
2018-03-15,20.02,20.16,20.29,19.8,5320000.0,-0.0143,WU
2018-03-16,20.04,20.07,20.21,20.03,19630000.0,0.001,WU
2018-03-19,19.64,20.0,20.01,19.52,4030000.0000000005,-0.02,WU
2018-03-20,19.75,19.64,19.93,19.58,4550000.0,0.005600000000000001,WU
2018-03-21,19.68,19.78,19.86,19.62,2550000.0,-0.0034999999999999996,WU
2018-03-22,19.35,19.48,19.77,19.34,4540000.0,-0.0168,WU
2018-03-23,19.0,19.37,19.43,18.98,3650000.0,-0.0181,WU
2018-03-26,19.21,19.17,19.29,18.84,3560000.0,0.0111,WU
2018-03-27,18.89,19.22,19.29,18.78,5900000.0,-0.0167,WU
2018-03-28,19.22,18.95,19.35,18.92,5860000.0,0.0175,WU
2018-03-29,19.23,19.3,19.52,19.22,3680000.0,0.0005,WU
2018-04-02,18.93,19.19,19.24,18.75,3920000.0,-0.015600000000000001,WU
2018-04-03,18.69,18.5,18.75,18.38,7620000.0,-0.0127,WU
2018-04-04,19.09,18.43,19.16,18.43,5700000.0,0.021400000000000002,WU
2018-04-05,19.08,19.22,19.25,18.86,4690000.0,-0.0005,WU
2018-04-06,18.65,19.02,19.11,18.46,4010000.0,-0.0225,WU
2018-04-09,18.71,18.74,18.91,18.68,3270000.0,0.0032,WU
2018-04-10,19.04,18.93,19.09,18.87,3870000.0,0.0176,WU
2018-04-11,18.92,18.93,19.11,18.86,3190000.0,-0.0063,WU
2018-04-12,19.01,19.03,19.08,18.92,2040000.0,0.0048,WU
2018-04-13,18.88,19.13,19.13,18.82,2710000.0,-0.0068000000000000005,WU
2018-04-16,19.14,18.93,19.15,18.93,4940000.0,0.0138,WU
2018-04-17,19.41,19.23,19.46,19.18,4410000.0,0.0141,WU
2018-04-18,19.37,19.46,19.51,19.34,3600000.0,-0.0021,WU
2018-04-19,19.41,19.38,19.54,19.27,3260000.0,0.0021,WU
2018-04-20,19.08,19.41,19.45,19.01,3000000.0,-0.017,WU
2018-04-23,19.14,19.11,19.24,19.01,2610000.0,0.0031,WU
2018-04-24,19.02,19.27,19.33,18.91,3920000.0,-0.0063,WU
2018-04-25,19.15,19.01,19.23,18.93,3670000.0,0.0068000000000000005,WU
2018-04-26,19.58,19.26,19.62,19.16,4490000.0,0.0225,WU
2018-04-27,19.34,19.64,19.64,19.3,3090000.0,-0.0123,WU
2018-04-30,19.75,19.41,19.77,19.33,5150000.0,0.0212,WU
2018-05-01,19.91,19.7,20.1,19.61,7470000.0,0.008100000000000001,WU
2018-05-02,19.25,20.13,20.32,19.21,7340000.0,-0.0331,WU
2018-05-03,19.4,19.13,19.41,19.03,5420000.0,0.0078000000000000005,WU
2018-05-04,19.61,19.28,19.7,19.13,4800000.0,0.0108,WU
2018-05-07,19.78,19.66,19.83,19.48,6750000.0,0.0087,WU
2018-05-08,19.72,19.71,19.84,19.6,3920000.0,-0.003,WU
2018-05-09,19.92,19.76,19.96,19.7,3620000.0,0.0101,WU
2018-05-10,20.06,19.92,20.11,19.86,2830000.0,0.006999999999999999,WU
2018-05-11,19.88,20.03,20.03,19.83,3860000.0,-0.009000000000000001,WU
2018-05-14,19.75,19.91,19.95,19.64,5090000.0,-0.006500000000000001,WU
2018-05-15,20.03,19.62,20.03,19.56,3650000.0,0.014199999999999999,WU
2018-05-16,20.02,20.03,20.25,19.92,4000000.0,-0.0005,WU
2018-05-17,20.11,20.02,20.15,19.94,3850000.0,0.0045000000000000005,WU
2018-05-18,20.09,20.05,20.2,19.98,3200000.0,-0.001,WU
2018-05-21,20.14,20.2,20.24,20.05,3040000.0,0.0025,WU
2018-05-22,20.2,20.15,20.29,20.15,4250000.0,0.003,WU
2018-05-23,20.12,20.07,20.2,20.02,3220000.0,-0.004,WU
2018-05-24,20.06,20.08,20.17,19.85,4320000.0,-0.003,WU
2018-05-25,20.0,20.02,20.14,19.9,3050000.0,-0.003,WU
2018-05-29,19.7,19.86,19.99,19.61,4510000.0,-0.015,WU
2018-05-30,19.95,19.83,20.02,19.78,3580000.0,0.0127,WU
2018-05-31,19.89,19.96,19.98,19.84,5190000.0,-0.003,WU
2018-06-01,20.06,20.0,20.21,19.98,3520000.0,0.0085,WU
2018-06-04,20.36,20.11,20.44,20.09,3230000.0,0.015,WU
2018-06-05,20.62,20.44,20.82,20.4,9630000.0,0.0128,WU
2018-06-06,20.95,20.69,20.95,20.59,3540000.0,0.016,WU
2018-06-07,20.78,20.94,21.04,20.68,3700000.0,-0.008100000000000001,WU
2018-06-08,20.81,20.75,20.92,20.65,4230000.0,0.0014000000000000002,WU
2018-06-11,20.89,20.82,20.96,20.77,6490000.0,0.0038,WU
2018-06-12,21.1,20.91,21.17,20.9,4690000.0,0.0101,WU
2018-06-13,20.97,21.1,21.11,20.89,3830000.0,-0.0062,WU
2018-06-14,20.66,20.89,21.13,20.65,4720000.0,-0.0148,WU
2018-06-15,20.69,20.64,20.72,20.42,5740000.0,0.0015,WU
2018-06-18,20.76,20.59,20.91,20.59,3980000.0,0.0034000000000000002,WU
2018-06-19,21.0,20.58,21.04,20.55,5700000.0,0.0116,WU
2018-06-20,21.18,21.01,21.36,21.0,7240000.0,0.0086,WU
2018-06-21,21.08,21.22,21.37,21.04,2930000.0,-0.004699999999999999,WU
2018-06-22,21.14,21.19,21.27,21.09,6310000.0,0.0028000000000000004,WU
2018-06-25,20.78,21.0,21.02,20.64,3930000.0,-0.017,WU
2018-06-26,20.62,20.8,20.87,20.61,4450000.0,-0.0077,WU
2018-06-27,20.31,20.66,20.73,20.3,4179999.9999999995,-0.015,WU
2018-06-28,20.3,20.24,20.4,20.12,4470000.0,-0.0005,WU
2018-06-29,20.33,20.32,20.48,20.24,3380000.0,0.0015,WU
2018-07-02,20.44,20.23,20.45,20.12,3030000.0,0.0054,WU
2018-07-03,20.11,20.5,20.53,20.09,2160000.0,-0.0161,WU
2018-07-05,20.3,20.16,20.34,19.99,4130000.0,0.009399999999999999,WU
2018-07-06,20.25,20.31,20.46,20.21,3280000.0,-0.0025,WU
2018-07-09,20.3,20.26,20.38,20.17,3820000.0,0.0025,WU
2018-07-10,20.44,20.28,20.49,20.26,3290000.0,0.0069,WU
2018-07-11,20.3,20.38,20.5,20.3,2450000.0,-0.0068000000000000005,WU
2018-07-12,20.41,20.41,20.46,20.19,2320000.0,0.0054,WU
2018-07-13,20.36,20.41,20.43,20.25,2670000.0,-0.0024,WU
2018-07-16,20.27,20.37,20.45,20.17,2410000.0,-0.0044,WU
2018-07-17,20.4,20.04,20.47,20.04,3900000.0,0.0064,WU
2018-07-18,20.16,20.35,20.41,19.99,5120000.0,-0.0118,WU
2018-07-19,20.29,20.11,20.31,20.09,3820000.0,0.0064,WU
2018-07-20,20.28,20.28,20.36,20.21,2750000.0,-0.0005,WU
2018-07-23,20.21,20.28,20.32,20.2,2250000.0,-0.0034999999999999996,WU
2018-07-24,20.22,20.28,20.32,20.09,4440000.0,0.0005,WU
2018-07-25,20.39,20.18,20.41,20.15,3460000.0,0.0084,WU
2018-07-26,20.4,20.37,20.59,20.31,2440000.0,0.0005,WU
2018-07-27,20.26,20.42,20.51,20.13,2400000.0,-0.0069,WU
2018-07-30,20.11,20.26,20.27,19.92,3710000.0,-0.0074,WU
2018-07-31,20.16,20.14,20.23,19.97,5600000.0,0.0025,WU
2018-08-01,20.15,20.15,20.41,19.99,5030000.0,-0.0005,WU
2018-08-02,20.59,20.11,20.8,20.06,8279999.999999999,0.0218,WU
2018-08-03,19.4,19.51,19.84,19.11,15750000.0,-0.057800000000000004,WU
2018-08-06,19.08,19.38,19.45,18.95,9560000.0,-0.0165,WU
2018-08-07,19.17,19.07,19.35,19.07,7540000.0,0.004699999999999999,WU
2018-08-08,19.15,19.19,19.27,19.12,5380000.0,-0.001,WU
2018-08-09,18.92,19.15,19.2,18.89,3610000.0,-0.012,WU
2018-08-10,18.84,18.8,18.92,18.73,4370000.0,-0.0042,WU
2018-08-13,18.75,18.85,18.85,18.56,3680000.0,-0.0048,WU
2018-08-14,18.81,18.77,18.91,18.72,3860000.0,0.0032,WU
2018-08-15,18.9,18.72,19.03,18.67,6610000.0,0.0048,WU
2018-08-16,18.86,19.01,19.14,18.82,5380000.0,-0.0021,WU
2018-08-17,18.91,18.78,19.2,18.78,5580000.0,0.0027,WU
2018-08-20,18.97,18.92,19.1,18.88,3990000.0,0.0032,WU
2018-08-21,18.89,18.99,19.08,18.84,3760000.0,-0.0042,WU
2018-08-22,18.97,18.88,19.12,18.84,3210000.0,0.0042,WU
2018-08-23,18.89,19.0,19.06,18.8,3230000.0,-0.0042,WU
2018-08-24,18.82,18.93,18.93,18.77,3040000.0,-0.0037,WU
2018-08-27,18.84,18.87,18.93,18.71,4550000.0,0.0011,WU
2018-08-28,18.81,18.85,18.97,18.76,3430000.0,-0.0016,WU
2018-08-29,18.89,18.79,18.99,18.76,3020000.0,0.0043,WU
2018-08-30,18.8,18.85,18.99,18.74,3790000.0,-0.0048,WU
2018-08-31,18.92,18.74,19.0,18.72,3940000.0,0.0064,WU
2018-09-04,18.86,18.93,18.99,18.8,3390000.0,-0.0032,WU
2018-09-05,18.71,18.78,18.83,18.56,5250000.0,-0.008,WU
2018-09-06,18.96,18.69,19.02,18.69,4780000.0,0.0134,WU
2018-09-07,18.89,18.91,18.98,18.84,2900000.0,-0.0037,WU
2018-09-10,19.14,18.95,19.17,18.86,3490000.0,0.0132,WU
2018-09-11,19.16,19.05,19.21,18.98,4650000.0,0.001,WU
2018-09-12,19.3,19.11,19.34,19.09,3540000.0,0.0073,WU
2018-09-13,18.74,19.22,19.33,18.66,7930000.0,-0.028999999999999998,WU
2018-09-14,18.73,18.74,18.79,18.41,4840000.0,-0.0005,WU
2018-09-17,18.52,18.77,18.98,18.49,5150000.0,-0.011200000000000002,WU
2018-09-18,18.66,18.49,18.77,18.47,4510000.0,0.0076,WU
2018-09-19,18.6,18.73,18.84,18.58,4700000.0,-0.0032,WU
2018-09-20,18.72,18.66,18.76,18.55,3990000.0,0.006500000000000001,WU
2018-09-21,19.03,18.79,19.07,18.77,10030000.0,0.0166,WU
2018-09-24,18.78,18.94,19.02,18.73,4540000.0,-0.0131,WU
2018-09-25,18.77,18.79,18.92,18.74,4050000.0,-0.0005,WU
2018-09-26,19.06,18.78,19.38,18.67,9560000.0,0.0155,WU
2018-09-27,18.94,19.04,19.16,18.91,3460000.0,-0.0063,WU
2018-09-28,19.06,18.88,19.14,18.88,4190000.0000000005,0.0063,WU
2018-10-01,19.01,19.15,19.27,18.95,3210000.0,-0.0026,WU
2018-10-02,18.89,19.04,19.11,18.82,4200000.0,-0.0063,WU
2018-10-03,19.08,19.01,19.18,18.98,2840000.0,0.0101,WU
2018-10-04,18.6,19.02,19.06,18.43,4880000.0,-0.0252,WU
2018-10-05,18.17,18.57,18.67,18.09,7510000.0,-0.0231,WU
2018-10-08,18.02,18.09,18.13,17.84,5650000.0,-0.0083,WU
2018-10-09,18.17,17.96,18.2,17.85,7280000.0,0.0083,WU
2018-10-10,17.76,18.2,18.2,17.75,4940000.0,-0.0226,WU
2018-10-11,17.67,17.72,18.03,17.59,6200000.0,-0.0051,WU
2018-10-12,17.91,17.94,18.05,17.57,5120000.0,0.013600000000000001,WU
2018-10-15,18.04,17.93,18.21,17.84,4170000.0,0.0073,WU
2018-10-16,18.4,18.13,18.46,18.07,3430000.0,0.02,WU
2018-10-17,18.42,18.36,18.57,18.27,2910000.0,0.0011,WU
2018-10-18,18.34,18.4,18.49,18.23,3350000.0,-0.0043,WU
2018-10-19,18.18,18.47,18.52,18.13,4150000.0000000005,-0.0087,WU
2018-10-22,18.01,18.19,18.29,18.01,7820000.0,-0.009399999999999999,WU
2018-10-23,17.94,17.76,18.04,17.76,7450000.0,-0.0039000000000000003,WU
2018-10-24,17.67,17.95,18.1,17.65,5480000.0,-0.0151,WU
2018-10-25,17.93,17.81,18.02,17.73,4790000.0,0.0147,WU
2018-10-26,17.62,17.74,17.83,17.52,6480000.0,-0.0173,WU
2018-10-29,17.59,17.76,17.91,17.39,5610000.0,-0.0017000000000000001,WU
2018-10-30,17.87,17.62,17.87,17.56,6100000.0,0.0159,WU
2018-10-31,18.04,18.33,18.33,17.99,7540000.0,0.0095,WU
2018-11-01,18.07,18.03,18.17,17.91,5440000.0,0.0017000000000000001,WU
2018-11-02,17.91,17.82,18.41,17.81,6900000.0,-0.0089,WU
2018-11-05,18.44,17.99,18.66,17.98,7020000.0,0.0296,WU
2018-11-06,18.48,18.39,18.64,18.29,4710000.0,0.0022,WU
2018-11-07,18.49,18.54,18.69,18.44,3450000.0,0.0005,WU
2018-11-08,18.97,18.44,18.98,18.44,5220000.0,0.026000000000000002,WU
2018-11-09,18.82,18.85,19.0,18.71,5100000.0,-0.0079,WU
2018-11-12,18.56,18.78,18.91,18.54,3740000.0,-0.0138,WU
2018-11-13,18.89,18.63,19.13,18.63,6420000.0,0.0178,WU
2018-11-14,18.87,19.02,19.16,18.68,5240000.0,-0.0011,WU
2018-11-15,18.76,18.84,18.99,18.62,9780000.0,-0.0058,WU
2018-11-16,18.89,18.7,19.04,18.7,6780000.0,0.0069,WU
2018-11-19,18.71,18.89,18.96,18.66,5290000.0,-0.0095,WU
2018-11-20,18.62,18.26,18.71,18.26,4430000.0,-0.0048,WU
2018-11-21,18.43,18.69,18.72,18.05,5520000.0,-0.0102,WU
2018-11-23,18.46,18.3,18.48,18.3,832080.0,0.0016,WU
2018-11-26,18.53,18.63,18.67,18.44,4640000.0,0.0038,WU
2018-11-27,18.65,18.43,18.69,18.43,3520000.0,0.006500000000000001,WU
2018-11-28,18.85,18.76,18.99,18.7,6340000.0,0.010700000000000001,WU
2018-11-29,18.68,18.83,18.89,18.6,4250000.0,-0.009000000000000001,WU
2018-11-30,18.73,18.66,18.75,18.58,6880000.0,0.0027,WU
2018-12-03,18.72,18.91,18.91,18.46,8630000.0,-0.0005,WU
2018-12-04,18.36,18.72,18.74,18.22,5500000.0,-0.0192,WU
2018-12-06,18.49,18.15,18.49,18.0,6120000.0,0.0070999999999999995,WU
2018-12-07,18.15,18.45,18.57,18.02,5150000.0,-0.0184,WU
2018-12-10,18.3,18.17,18.37,18.08,6340000.0,0.0083,WU
2018-12-11,18.37,18.51,18.58,18.25,7350000.0,0.0038,WU
2018-12-12,18.54,18.6,18.66,18.47,6430000.0,0.009300000000000001,WU
2018-12-13,18.7,18.64,18.77,18.52,5850000.0,0.0086,WU
2018-12-14,18.18,18.36,18.49,18.11,4480000.0,-0.0278,WU
2018-12-17,17.82,18.16,18.22,17.72,3770000.0,-0.019799999999999998,WU
2018-12-18,17.65,17.92,17.96,17.56,4610000.0,-0.0095,WU
2018-12-19,17.49,17.7,17.9,17.41,4330000.0,-0.0091,WU
2018-12-20,17.03,17.31,17.37,16.84,6130000.0,-0.0263,WU
2018-12-21,16.83,17.03,17.36,16.73,8980000.0,-0.011699999999999999,WU
2018-12-24,16.55,16.67,16.88,16.55,2640000.0,-0.0166,WU
2018-12-26,17.01,16.63,17.02,16.42,4030000.0000000005,0.0278,WU
2018-12-27,17.09,16.83,17.1,16.59,3870000.0,0.004699999999999999,WU
2018-12-28,17.04,17.14,17.26,16.96,2660000.0,-0.0029,WU
2018-12-31,17.06,17.04,17.13,16.83,2900000.0,0.0012,WU
