Date,Close,Open,High,Low,Volume,Change,Symbol
2018-01-23,125.05,126.63,127.13,124.56,1030000.0,-0.0138,XEC
2018-01-24,124.23,125.5,125.92,123.88,1190000.0,-0.0066,XEC
2018-01-25,120.25,124.5,125.34,119.57,1330000.0,-0.032,XEC
2018-01-26,119.78,120.71,121.81,119.34,855360.0,-0.0039000000000000003,XEC
2018-01-29,118.68,119.23,120.06,117.89,1000000.0,-0.0092,XEC
2018-01-30,114.33,117.01,117.01,112.6,1650000.0,-0.036699999999999997,XEC
2018-01-31,112.2,114.05,114.93,111.13,1070000.0,-0.018600000000000002,XEC
2018-02-01,113.41,113.04,115.59,111.97,1080000.0,0.0108,XEC
2018-02-02,110.95,112.2,112.2,109.8,1160000.0,-0.0217,XEC
2018-02-05,107.91,110.23,111.89,107.83,1190000.0,-0.0274,XEC
2018-02-06,108.46,107.82,110.2,105.96,1220000.0,0.0051,XEC
2018-02-07,105.91,108.44,110.24,105.71,1390000.0,-0.0235,XEC
2018-02-08,100.19,105.87,106.44,100.18,1470000.0,-0.054000000000000006,XEC
2018-02-09,100.19,100.72,101.09,95.56,1770000.0,0.0,XEC
2018-02-12,100.9,101.49,103.4,99.99,993360.0,0.0070999999999999995,XEC
2018-02-13,99.78,100.03,100.86,97.74,1510000.0,-0.0111,XEC
2018-02-14,102.19,99.25,102.51,98.42,1560000.0,0.0242,XEC
2018-02-15,98.76,98.05,99.53,95.72,3760000.0,-0.0336,XEC
2018-02-16,98.73,98.26,101.04,98.18,2089999.9999999998,-0.0003,XEC
2018-02-20,98.37,99.69,100.72,97.67,1450000.0,-0.0036,XEC
2018-02-21,95.13,98.08,98.25,95.1,1670000.0,-0.0329,XEC
2018-02-22,95.44,95.6,97.39,93.76,1530000.0,0.0033,XEC
2018-02-23,98.7,96.31,98.77,96.0,1250000.0,0.0342,XEC
2018-02-26,98.34,98.76,99.3,97.6,955590.0,-0.0036,XEC
2018-02-27,97.92,98.31,99.19,97.19,1630000.0,-0.0043,XEC
2018-02-28,96.09,98.11,98.75,96.09,1240000.0,-0.0187,XEC
2018-03-01,95.35,95.97,96.98,94.54,1200000.0,-0.0077,XEC
2018-03-02,95.85,94.88,96.39,93.96,997640.0,0.0052,XEC
2018-03-05,96.69,95.41,97.37,95.41,1140000.0,0.0088,XEC
2018-03-06,93.41,97.47,97.59,93.32,1260000.0,-0.0339,XEC
2018-03-07,92.69,92.9,95.57,92.12,1620000.0,-0.0077,XEC
2018-03-08,93.69,93.33,93.86,92.05,1120000.0,0.0108,XEC
2018-03-09,92.89,94.54,94.55,92.46,1350000.0,-0.0085,XEC
2018-03-12,95.38,92.8,95.49,92.62,2150000.0,0.0268,XEC
2018-03-13,92.56,95.81,95.89,92.18,1330000.0,-0.0296,XEC
2018-03-14,93.54,92.79,94.78,92.46,1430000.0,0.0106,XEC
2018-03-15,92.14,94.01,95.23,91.71,1080000.0,-0.015,XEC
2018-03-16,92.48,92.16,93.68,91.5,1640000.0,0.0037,XEC
2018-03-19,91.65,91.46,91.84,89.73,1260000.0,-0.009000000000000001,XEC
2018-03-20,91.62,92.24,92.82,91.14,1070000.0,-0.0003,XEC
2018-03-21,94.67,91.92,95.27,91.81,836340.0,0.0333,XEC
2018-03-22,94.25,93.39,95.01,93.2,1330000.0,-0.0044,XEC
2018-03-23,93.21,94.36,95.38,93.0,1150000.0,-0.011000000000000001,XEC
2018-03-26,94.77,94.92,95.08,93.46,1030000.0,0.0167,XEC
2018-03-27,93.63,94.7,94.93,93.27,866230.0,-0.012,XEC
2018-03-28,92.75,95.02,95.25,92.43,1500000.0,-0.009399999999999999,XEC
2018-03-29,93.5,93.12,93.81,92.25,1820000.0,0.008100000000000001,XEC
2018-04-02,89.81,93.2,93.4,87.98,1230000.0,-0.0395,XEC
2018-04-03,91.43,90.75,91.54,88.65,1020000.0,0.018000000000000002,XEC
2018-04-04,91.6,90.14,91.68,89.89,1090000.0,0.0019,XEC
2018-04-05,93.95,92.0,94.37,91.74,1760000.0,0.025699999999999997,XEC
2018-04-06,90.46,93.55,94.3,89.29,2500000.0,-0.0371,XEC
2018-04-09,90.44,90.85,92.21,90.3,1460000.0,-0.0002,XEC
2018-04-10,94.12,91.96,95.11,91.09,1180000.0,0.0407,XEC
2018-04-11,94.93,94.12,95.31,93.14,1160000.0,0.0086,XEC
2018-04-12,93.54,94.92,95.27,93.27,838030.0,-0.0146,XEC
2018-04-13,93.98,93.8,94.65,93.25,1740000.0,0.004699999999999999,XEC
2018-04-16,96.72,94.59,97.06,93.71,1500000.0,0.0292,XEC
2018-04-17,96.32,96.72,96.77,95.6,1010000.0,-0.0040999999999999995,XEC
2018-04-18,100.97,97.48,102.37,97.01,2110000.0,0.0483,XEC
2018-04-19,100.44,101.08,101.86,99.67,1460000.0,-0.0052,XEC
2018-04-20,100.61,100.06,101.49,98.57,1080000.0,0.0017000000000000001,XEC
2018-04-23,102.39,100.23,102.54,99.63,1030000.0,0.0177,XEC
2018-04-24,100.59,102.39,102.9,99.69,1270000.0,-0.0176,XEC
2018-04-25,101.39,99.76,101.83,99.22,722540.0,0.008,XEC
2018-04-26,101.85,101.87,102.24,101.02,659960.0,0.0045000000000000005,XEC
2018-04-27,100.23,101.25,101.41,100.05,630200.0,-0.0159,XEC
2018-04-30,100.59,99.84,102.19,99.57,894270.0,0.0036,XEC
2018-05-01,99.84,99.86,100.29,98.77,790990.0,-0.0075,XEC
2018-05-02,98.51,99.58,100.2,97.76,1390000.0,-0.013300000000000001,XEC
2018-05-03,96.33,98.13,98.28,95.63,1010000.0,-0.022099999999999998,XEC
2018-05-04,97.31,96.22,97.93,95.76,809950.0,0.0102,XEC
2018-05-07,97.3,98.19,101.47,97.14,1160000.0,-0.0001,XEC
2018-05-08,100.06,97.01,100.14,95.4,1540000.0,0.028399999999999998,XEC
2018-05-09,97.73,101.94,102.5,96.9,2550000.0,-0.0233,XEC
2018-05-10,97.82,97.59,98.65,95.27,1710000.0,0.0009,XEC
2018-05-11,98.54,97.95,100.17,97.87,1840000.0,0.0074,XEC
2018-05-14,96.92,98.44,98.49,96.29,1460000.0,-0.016399999999999998,XEC
2018-05-15,98.41,96.87,98.55,96.07,1510000.0,0.0154,XEC
2018-05-16,98.99,98.4,99.3,97.41,982410.0,0.0059,XEC
2018-05-17,99.39,99.02,100.08,98.19,1410000.0,0.004,XEC
2018-05-18,98.3,99.24,99.57,97.19,1050000.0,-0.011000000000000001,XEC
2018-05-21,98.99,99.05,99.89,98.56,1210000.0,0.006999999999999999,XEC
2018-05-22,99.35,99.28,102.09,98.68,2570000.0,0.0036,XEC
2018-05-23,95.64,98.46,98.46,94.95,1640000.0,-0.0373,XEC
2018-05-24,94.95,94.43,95.44,93.18,1360000.0,-0.0072,XEC
2018-05-25,92.08,92.76,93.0,90.76,1990000.0,-0.0302,XEC
2018-05-29,90.97,91.11,92.49,90.36,1450000.0,-0.0121,XEC
2018-05-30,94.86,92.32,95.61,92.15,1070000.0,0.042800000000000005,XEC
2018-05-31,92.92,93.95,95.59,92.48,952510.0,-0.020499999999999997,XEC
2018-06-01,88.09,92.84,92.84,87.45,2750000.0,-0.052000000000000005,XEC
2018-06-04,85.3,87.78,87.82,83.86,4290000.0,-0.0317,XEC
2018-06-05,83.99,85.29,85.36,82.62,2330000.0,-0.0154,XEC
2018-06-06,83.67,84.22,84.83,82.45,1770000.0,-0.0038,XEC
2018-06-07,85.6,84.11,86.31,84.07,2150000.0,0.0231,XEC
2018-06-08,85.59,85.6,86.23,84.3,1050000.0,-0.0001,XEC
2018-06-11,87.25,86.41,87.9,85.55,1570000.0,0.0194,XEC
2018-06-12,89.88,88.02,90.84,87.3,2320000.0,0.0301,XEC
2018-06-13,88.7,89.16,92.42,88.62,1500000.0,-0.0131,XEC
2018-06-14,86.55,89.54,89.73,86.32,1190000.0,-0.0242,XEC
2018-06-15,85.06,86.27,86.62,84.79,2180000.0,-0.0172,XEC
2018-06-18,89.92,85.32,91.19,85.21,2850000.0,0.0571,XEC
2018-06-19,93.07,88.97,94.34,88.75,3100000.0,0.035,XEC
2018-06-20,95.09,93.96,96.0,91.17,3260000.0,0.0217,XEC
2018-06-21,93.77,95.33,96.99,92.97,3460000.0,-0.0139,XEC
2018-06-22,97.69,97.3,98.81,96.0,3710000.0,0.0418,XEC
2018-06-25,95.18,97.14,98.33,94.36,2430000.0,-0.025699999999999997,XEC
2018-06-26,98.56,95.4,99.18,95.3,1480000.0,0.0355,XEC
2018-06-27,100.48,99.97,101.83,99.03,1670000.0,0.0195,XEC
2018-06-28,100.92,100.61,101.29,99.16,1840000.0,0.0044,XEC
2018-06-29,101.74,101.05,103.91,100.84,1480000.0,0.008100000000000001,XEC
2018-07-02,97.66,100.85,101.5,97.05,1610000.0,-0.0401,XEC
2018-07-03,97.98,99.19,99.88,97.24,1040000.0,0.0033,XEC
2018-07-05,98.58,98.46,99.16,97.08,1070000.0,0.0060999999999999995,XEC
2018-07-06,100.56,97.63,103.53,97.63,1120000.0,0.020099999999999996,XEC
2018-07-09,102.01,101.24,102.39,100.11,1010000.0,0.0144,XEC
2018-07-10,102.1,103.11,103.73,100.92,942790.0,0.0009,XEC
2018-07-11,100.54,101.26,102.66,99.79,1010000.0,-0.015300000000000001,XEC
2018-07-12,99.32,100.77,101.07,99.19,917870.0,-0.0121,XEC
2018-07-13,99.97,99.0,100.86,98.75,886070.0,0.006500000000000001,XEC
2018-07-16,97.92,98.42,98.58,96.28,776070.0,-0.020499999999999997,XEC
2018-07-17,97.39,97.2,98.08,96.27,685420.0,-0.0054,XEC
2018-07-18,95.52,96.53,96.53,94.17,1720000.0,-0.0192,XEC
2018-07-19,96.41,95.58,96.68,94.47,1230000.0,0.009300000000000001,XEC
2018-07-20,96.75,96.52,97.04,95.46,1060000.0,0.0034999999999999996,XEC
2018-07-23,96.76,96.87,97.62,96.0,824310.0,0.0001,XEC
2018-07-24,97.93,96.93,99.31,96.72,1090000.0,0.0121,XEC
2018-07-25,98.36,97.82,98.99,96.94,981490.0,0.0044,XEC
2018-07-26,99.28,98.77,99.76,98.57,974710.0,0.009399999999999999,XEC
2018-07-27,99.01,98.76,100.96,98.45,611690.0,-0.0027,XEC
2018-07-30,100.35,100.18,100.89,99.78,653420.0,0.013500000000000002,XEC
2018-07-31,98.6,100.02,100.17,96.58,1050000.0,-0.0174,XEC
2018-08-01,96.45,97.45,98.26,95.16,1220000.0,-0.0218,XEC
2018-08-02,96.13,95.82,96.78,94.32,826870.0,-0.0033,XEC
2018-08-03,94.03,96.06,96.42,93.14,1130000.0,-0.0218,XEC
2018-08-06,95.04,94.2,95.74,93.39,957110.0,0.010700000000000001,XEC
2018-08-07,97.34,96.62,98.05,94.93,1720000.0,0.0242,XEC
2018-08-08,88.95,90.0,92.75,87.74,5570000.0,-0.0862,XEC
2018-08-09,88.87,87.77,90.37,87.64,2540000.0,-0.0009,XEC
2018-08-10,89.99,88.55,90.11,87.83,1690000.0,0.0126,XEC
2018-08-13,86.53,89.45,89.66,86.36,1700000.0,-0.0384,XEC
2018-08-14,86.01,87.57,88.01,85.09,923550.0,-0.006,XEC
