time,ADX
2020-03-20,15.6876
2020-03-19,15.2540
2020-03-18,14.8258
2020-03-17,14.3737
2020-03-16,13.9602
2020-03-13,13.5474
2020-03-12,13.1927
2020-03-11,12.7672
2020-03-10,12.4864
2020-03-09,12.2214
2020-03-06,11.9261
2020-03-05,11.7644
2020-03-04,11.6959
2020-03-03,11.6627
2020-03-02,11.6290
2020-02-28,11.5295
2020-02-27,11.2183
2020-02-26,11.0281
2020-02-25,11.0023
2020-02-24,10.9900
2020-02-21,11.1268
2020-02-20,11.1481
2020-02-19,11.1428
2020-02-18,11.0527
2020-02-14,10.9922
2020-02-13,10.9064
2020-02-12,10.8192
2020-02-11,10.7095
2020-02-10,10.6074
2020-02-07,10.5417
2020-02-06,10.4931
2020-02-05,10.4165
2020-02-04,10.3558
2020-02-03,10.3462
2020-01-31,10.4062
2020-01-30,10.4673
2020-01-29,10.4682
2020-01-28,10.4026
2020-01-27,10.3495
2020-01-24,10.3441
2020-01-23,10.2252
2020-01-22,10.0518
2020-01-21,9.8270
2020-01-17,9.6119
2020-01-16,9.3871
2020-01-15,9.1799
2020-01-14,9.0007
2020-01-13,8.8262
2020-01-10,8.6592
2020-01-09,8.4982
2020-01-08,8.3473
2020-01-07,8.2084
2020-01-06,8.1062
2020-01-03,8.0023
2020-01-02,7.8785
2019-12-31,7.7213
2019-12-30,7.6072
2019-12-27,7.4804
2019-12-26,7.3089
2019-12-24,7.1479
2019-12-23,7.0075
2019-12-20,6.8606
2019-12-19,6.7147
2019-12-18,6.6007
2019-12-17,6.4969
2019-12-16,6.3917
2019-12-13,6.2857
2019-12-12,6.2031
2019-12-11,6.1301
2019-12-10,6.1122
2019-12-09,6.0973
2019-12-06,6.0631
2019-12-05,6.0282
2019-12-04,6.0475
2019-12-03,6.0672
2019-12-02,6.1314
2019-11-29,6.1158
2019-11-27,6.0391
2019-11-26,5.9523
2019-11-25,5.8842
2019-11-22,5.8304
2019-11-21,5.8130
2019-11-20,5.8002
2019-11-19,5.7873
2019-11-18,5.7291
2019-11-15,5.6759
2019-11-14,5.6281
2019-11-13,5.6178
2019-11-12,5.6075
2019-11-11,5.5856
2019-11-08,5.5875
2019-11-07,5.5895
2019-11-06,5.5791
2019-11-05,5.6009
2019-11-04,5.6117
2019-11-01,5.6176
2019-10-31,5.6538
2019-10-30,5.7245
2019-10-29,5.7915
2019-10-28,5.8442
2019-10-25,5.9041
2019-10-24,5.9926
2019-10-23,6.0869
2019-10-22,6.1638
2019-10-21,6.2483
2019-10-18,6.3223
2019-10-17,6.3854
2019-10-16,6.4739
2019-10-15,6.5465
2019-10-14,6.6203
2019-10-11,6.6458
2019-10-10,6.6719
2019-10-09,6.6228
2019-10-08,6.5390
2019-10-07,6.4471
2019-10-04,6.4151
2019-10-03,6.3721
2019-10-02,6.2520
2019-10-01,6.1569
2019-09-30,6.1573
2019-09-27,6.2043
2019-09-26,6.2520
2019-09-25,6.3308
2019-09-24,6.4109
2019-09-23,6.5004
2019-09-20,6.5889
2019-09-19,6.6748
2019-09-18,6.7310
2019-09-17,6.8108
2019-09-16,6.8664
2019-09-13,6.9293
2019-09-12,6.9728
2019-09-11,7.0169
2019-09-10,7.0922
2019-09-09,7.2024
2019-09-06,7.2946
2019-09-05,7.3951
2019-09-04,7.4974
2019-09-03,7.5737
2019-08-30,7.6110
2019-08-29,7.6815
2019-08-28,7.7369
2019-08-27,7.7243
2019-08-26,7.7227
2019-08-23,7.6870
2019-08-22,7.6508
2019-08-21,7.7186
2019-08-20,7.8091
2019-08-19,7.8925
2019-08-16,7.9994
2019-08-15,8.0447
2019-08-14,8.0244
2019-08-13,8.0256
2019-08-12,8.0866
2019-08-09,8.0825
2019-08-08,8.1227
2019-08-07,8.1636
2019-08-06,8.1158
2019-08-05,8.1025
2019-08-02,8.0889
2019-08-01,8.2130
2019-07-31,8.2767
2019-07-30,8.3148
2019-07-29,8.2599
2019-07-26,8.1735
2019-07-25,8.0856
2019-07-24,8.0166
2019-07-23,7.9464
2019-07-22,7.8989
2019-07-19,7.8775
2019-07-18,7.8556
2019-07-17,7.8470
2019-07-16,7.8150
2019-07-15,7.7466
2019-07-12,7.6608
2019-07-11,7.5799
2019-07-10,7.5167
2019-07-09,7.4525
2019-07-08,7.4220
2019-07-05,7.3776
2019-07-03,7.3324
2019-07-02,7.2667
2019-07-01,7.2363
2019-06-28,7.2054
2019-06-27,7.2302
2019-06-26,7.2805
2019-06-25,7.3318
2019-06-24,7.3783
2019-06-21,7.3732
2019-06-20,7.3628
2019-06-19,7.3619
2019-06-18,7.4038
2019-06-17,7.4481
2019-06-14,7.5494
2019-06-13,7.6572
2019-06-12,7.7627
2019-06-11,7.8812
2019-06-10,7.9951
2019-06-07,8.0994
2019-06-06,8.2356
2019-06-05,8.3187
2019-06-04,8.3596
2019-06-03,8.3599
2019-05-31,8.2815
2019-05-30,8.2351
2019-05-29,8.2295
2019-05-28,8.2104
2019-05-24,8.2490
2019-05-23,8.3199
2019-05-22,8.3833
2019-05-21,8.5228
2019-05-20,8.6593
2019-05-17,8.7869
2019-05-16,8.9135
2019-05-15,9.0394
2019-05-14,9.1572
2019-05-13,9.2656
2019-05-10,9.3529
2019-05-09,9.4836
2019-05-08,9.5880
2019-05-07,9.7402
2019-05-06,9.8949
2019-05-03,9.9850
2019-05-02,10.0146
2019-05-01,10.0731
2019-04-30,10.0856
2019-04-29,10.1085
2019-04-26,10.1001
2019-04-25,10.1080
2019-04-24,10.1275
2019-04-23,10.1203
2019-04-22,10.1139
2019-04-18,10.1522
2019-04-17,10.1931
2019-04-16,10.2277
2019-04-15,10.2527
2019-04-12,10.2886
2019-04-11,10.3215
2019-04-10,10.3825
2019-04-09,10.4505
2019-04-08,10.5242
2019-04-05,10.5858
2019-04-04,10.6527
2019-04-03,10.7392
2019-04-02,10.8272
2019-04-01,10.9356
2019-03-29,11.0512
2019-03-28,11.2209
2019-03-27,11.4025
2019-03-26,11.5872
2019-03-25,11.7663
2019-03-22,11.9513
2019-03-21,12.1439
2019-03-20,12.3127
2019-03-19,12.5105
2019-03-18,12.6944
2019-03-15,12.9079
2019-03-14,13.1211
2019-03-13,13.3134
2019-03-12,13.5090
2019-03-11,13.6720
2019-03-08,13.8151
2019-03-07,13.8953
2019-03-06,14.0006
2019-03-05,14.1507
2019-03-04,14.3245
2019-03-01,14.5012
2019-02-28,14.7102
2019-02-27,14.9002
2019-02-26,15.0936
2019-02-25,15.3109
2019-02-22,15.5400
2019-02-21,15.7438
2019-02-20,15.9318
2019-02-19,16.1362
2019-02-15,16.3403
2019-02-14,16.5304
2019-02-13,16.6970
2019-02-12,16.8897
2019-02-11,17.0651
2019-02-08,17.1976
