time,MACD,MACD_Hist,MACD_Signal
2020-03-20,-6.5488,-9.4789,2.9301
2020-03-19,2.7877,-2.5121,5.2998
2020-03-18,3.6310,-2.2969,5.9279
2020-03-17,4.0886,-2.4135,6.5021
2020-03-16,4.9126,-2.1929,7.1055
2020-03-13,5.7276,-1.9261,7.6537
2020-03-12,6.9205,-1.2147,8.1352
2020-03-11,8.6428,0.2039,8.4389
2020-03-10,9.9632,1.5753,8.3879
2020-03-09,9.8035,1.8094,7.9941
2020-03-06,9.6738,2.1320,7.5417
2020-03-05,10.0092,3.0005,7.0087
2020-03-04,9.4930,3.2344,6.2586
2020-03-03,8.5730,3.1230,5.4500
2020-03-02,8.4446,3.7754,4.6693
2020-02-28,8.4134,4.6880,3.7254
2020-02-27,6.0109,3.4575,2.5534
2020-02-26,4.5176,2.8285,1.6890
2020-02-25,3.5487,2.5668,0.9819
2020-02-24,4.0497,3.7095,0.3402
2020-02-21,4.1158,4.7029,-0.5872
2020-02-20,3.2324,4.9953,-1.7629
2020-02-19,2.1739,5.1857,-3.0117
2020-02-18,0.7340,5.0422,-4.3081
2020-02-14,-1.0714,4.4972,-5.5687
2020-02-13,-3.1078,3.5852,-6.6930
2020-02-12,-4.5496,3.0397,-7.5893
2020-02-11,-6.3285,2.0207,-8.3492
2020-02-10,-7.2404,1.6140,-8.8544
2020-02-07,-8.4617,0.7962,-9.2579
2020-02-06,-9.8325,-0.3755,-9.4569
2020-02-05,-10.5231,-1.1601,-9.3631
2020-02-04,-10.0621,-0.9891,-9.0730
2020-02-03,-10.1160,-1.2902,-8.8258
2020-01-31,-9.5553,-1.0521,-8.5032
2020-01-30,-8.9228,-0.6826,-8.2402
2020-01-29,-7.2514,0.8182,-8.0696
2020-01-28,-6.0717,2.2024,-8.2741
2020-01-27,-5.5242,3.3005,-8.8247
2020-01-24,-5.8591,3.7907,-9.6498
2020-01-23,-6.6812,3.9163,-10.5975
2020-01-22,-7.7997,3.7769,-11.5766
2020-01-21,-9.1920,3.3289,-12.5208
2020-01-17,-10.5704,2.7826,-13.3530
2020-01-16,-11.5271,2.5216,-14.0487
2020-01-15,-12.6709,2.0082,-14.6791
2020-01-14,-12.7778,2.4033,-15.1811
2020-01-13,-13.3880,2.3940,-15.7820
2020-01-10,-14.4496,1.9308,-16.3805
2020-01-09,-15.4948,1.3684,-16.8632
2020-01-08,-17.8541,-0.6489,-17.2052
2020-01-07,-20.1068,-3.0638,-17.0430
2020-01-06,-21.1892,-4.9121,-16.2771
2020-01-03,-20.4172,-5.3682,-15.0491
2020-01-02,-18.5507,-4.8437,-13.7070
2019-12-31,-16.5941,-4.0979,-12.4961
2019-12-30,-15.7413,-4.2697,-11.4716
2019-12-27,-14.6201,-4.2159,-10.4042
2019-12-26,-13.1417,-3.7914,-9.3502
2019-12-24,-12.6787,-4.2763,-8.4024
2019-12-23,-12.0365,-4.7032,-7.3333
2019-12-20,-11.1197,-4.9622,-6.1575
2019-12-19,-10.1770,-5.2601,-4.9170
2019-12-18,-8.4084,-4.8065,-3.6019
2019-12-17,-7.5297,-5.1294,-2.4003
2019-12-16,-6.0966,-4.9786,-1.1180
2019-12-13,-4.2152,-4.3419,0.1267
2019-12-12,-3.5929,-4.8050,1.2122
2019-12-11,-2.7941,-5.2075,2.4134
2019-12-10,-1.4023,-5.1176,3.7153
2019-12-09,0.9818,-4.0129,4.9947
2019-12-06,2.6913,-3.3066,5.9979
2019-12-05,3.9636,-2.8610,6.8246
2019-12-04,5.4675,-2.0723,7.5398
2019-12-03,6.3672,-1.6908,8.0579
2019-12-02,7.5874,-0.8932,8.4806
2019-11-29,8.1487,-0.5552,8.7039
2019-11-27,6.6140,-2.2287,8.8427
2019-11-26,6.6960,-2.7039,9.3999
2019-11-25,7.2176,-2.8582,10.0759
2019-11-22,9.0853,-1.7052,10.7904
2019-11-21,11.0818,-0.1349,11.2167
2019-11-20,13.7169,2.4664,11.2505
2019-11-19,14.7093,4.0754,10.6339
2019-11-18,14.6509,5.0359,9.6150
2019-11-15,13.1833,4.8272,8.3560
2019-11-14,10.8571,3.7079,7.1492
2019-11-13,8.7700,2.5478,6.2223
2019-11-12,7.8880,2.3027,5.5853
2019-11-11,7.2591,2.2494,5.0097
2019-11-08,7.5898,3.1425,4.4473
2019-11-07,5.8729,2.2112,3.6617
2019-11-06,4.0837,0.9749,3.1089
2019-11-05,2.2548,-0.6103,2.8651
2019-11-04,1.7226,-1.2951,3.0177
2019-11-01,1.7222,-1.6193,3.3415
2019-10-31,1.8304,-1.9159,3.7463
2019-10-30,1.3973,-2.8280,4.2253
2019-10-29,0.8216,-4.1107,4.9323
2019-10-28,-0.0617,-6.0217,5.9600
2019-10-25,0.2849,-7.1805,7.4654
2019-10-24,2.4933,-6.7673,9.2605
2019-10-23,5.0531,-5.8993,10.9523
2019-10-22,6.5109,-5.9162,12.4272
2019-10-21,8.4632,-5.4430,13.9062
2019-10-18,11.2763,-3.9907,15.2670
2019-10-17,13.1118,-3.1528,16.2646
2019-10-16,15.0743,-1.9785,17.0528
2019-10-15,16.8905,-0.6570,17.5475
2019-10-14,17.5975,-0.1142,17.7117
2019-10-11,18.0679,0.3276,17.7403
2019-10-10,18.8554,1.1970,17.6584
2019-10-09,19.9006,2.5415,17.3591
2019-10-08,20.8366,4.1128,16.7238
2019-10-07,21.1057,5.4102,15.6955
2019-10-04,19.9646,5.6216,14.3430
2019-10-03,18.1863,5.2487,12.9376
2019-10-02,17.0488,5.4234,11.6254
2019-10-01,15.3670,5.0974,10.2696
2019-09-30,13.8935,4.8982,8.9953
2019-09-27,12.1286,4.3579,7.7707
2019-09-26,10.0819,3.4007,6.6812
2019-09-25,9.1924,3.3613,5.8311
2019-09-24,8.4356,3.4449,4.9907
2019-09-23,6.8245,2.6950,4.1295
2019-09-20,5.7092,2.2534,3.4558
2019-09-19,4.6300,1.7376,2.8924
2019-09-18,3.5078,1.0498,2.4580
2019-09-17,1.7118,-0.4837,2.1956
2019-09-16,1.8122,-0.5043,2.3165
2019-09-13,2.8209,0.3783,2.4426
2019-09-12,4.1564,1.8083,2.3480
2019-09-11,4.9850,3.0890,1.8959
2019-09-10,4.1366,3.0129,1.1237
2019-09-09,4.1172,3.7467,0.3705
2019-09-06,3.4043,3.9705,-0.5662
2019-09-05,2.2275,3.7863,-1.5588
2019-09-04,1.6602,4.1656,-2.5054
2019-09-03,0.9469,4.4938,-3.5468
2019-08-30,0.2203,4.8906,-4.6703
2019-08-29,0.4676,6.3606,-5.8929
2019-08-28,-0.4080,7.0751,-7.4831
2019-08-27,-1.5538,7.6980,-9.2518
2019-08-26,-2.4875,8.6889,-11.1763
2019-08-23,-4.1444,9.2042,-13.3486
2019-08-22,-4.7800,10.8696,-15.6496
2019-08-21,-6.3767,11.9903,-18.3670
2019-08-20,-7.8279,13.5367,-21.3646
2019-08-19,-11.6313,13.1175,-24.7487
2019-08-16,-15.1360,12.8921,-28.0281
2019-08-15,-18.0286,13.2225,-31.2511
2019-08-14,-21.0316,13.5251,-34.5567
2019-08-13,-24.3629,13.5751,-37.9380
2019-08-12,-27.9607,13.3711,-41.3318
2019-08-09,-31.5255,13.1491,-44.6746
2019-08-08,-35.3762,12.5857,-47.9619
