,timestamp,open,high,low,close,volume
0,2020-03-20,71.5,71.635,62.01,62.93,3145536
1,2020-03-19,76.75,78.16,70.95,71.88,3094856
2,2020-03-18,71.94,77.38,70.18,76.15,2533260
3,2020-03-17,67.71,79.18,66.86,77.69,3871884
4,2020-03-16,70.02,72.33,64.93,65.95,3280471
5,2020-03-13,75.66,76.51,71.2,76.15,2490850
6,2020-03-12,75.5,76.815,71.04,72.4,2950559
7,2020-03-11,80.96,81.86,79.59,80.87,2733773
8,2020-03-10,81.99,83.59,79.16,82.59,2920841
9,2020-03-09,82.0,83.37,80.02,81.6,4267770
10,2020-03-06,83.81,85.69,81.3,85.35,3040899
11,2020-03-05,85.6,87.12,85.11,86.05,2061771
12,2020-03-04,83.74,87.655,83.74,87.07,1952673
13,2020-03-03,84.17,86.0,82.96,83.16,2231890
14,2020-03-02,79.29,84.46,79.15,84.42,2835748
15,2020-02-28,80.08,80.28,77.19,79.0,4614961
16,2020-02-27,85.15,85.805,81.57,81.57,2564011
17,2020-02-26,84.73,86.47,84.035,85.21,2840808
18,2020-02-25,84.9,85.32,83.32,83.56,2612811
19,2020-02-24,85.0,85.62,84.54,84.82,1700536
20,2020-02-21,85.66,86.42,85.23,85.34,2212936
21,2020-02-20,85.55,85.92,85.1,85.66,1999047
22,2020-02-19,86.64,86.71,85.77,85.88,1598577
23,2020-02-18,87.16,87.325,86.5,86.75,2305848
24,2020-02-14,86.0,86.87,85.8,86.79,1754321
25,2020-02-13,84.57,85.85,84.37,85.75,1069618
26,2020-02-12,83.96,84.74,83.8,84.57,1155439
27,2020-02-11,84.16,84.48,83.87,84.27,1498106
28,2020-02-10,83.75,84.03,83.25,83.98,1220500
29,2020-02-07,83.45,83.76,83.27,83.6,1597912
30,2020-02-06,82.72,83.35,82.57,83.17,1388321
31,2020-02-05,82.11,82.74,81.94,82.68,1071230
32,2020-02-04,82.65,83.02,82.105,82.27,1595503
33,2020-02-03,82.23,82.705,82.08,82.63,1105701
