,timestamp,open,high,low,close,volume
0,2020-03-20,15.88,16.0,13.0,13.25,8236002
1,2020-03-19,15.28,16.14,14.1377,15.85,5766532
2,2020-03-18,16.18,16.34,13.625,15.68,4352141
3,2020-03-17,17.88,18.43,16.86,17.65,5281548
4,2020-03-16,18.0,19.18,17.16,17.44,5965682
5,2020-03-13,21.16,21.19,19.435,20.52,6150375
6,2020-03-12,20.31,21.06,19.65,19.88,8558992
7,2020-03-11,23.42,23.58,21.672,22.11,3990958
8,2020-03-10,23.98,24.51,23.26,24.3,4480701
9,2020-03-09,24.13,24.32,22.85,23.04,4177411
10,2020-03-06,25.79,26.62,25.3,25.95,4585795
11,2020-03-05,28.35,28.37,26.65,26.75,4958343
12,2020-03-04,29.38,29.47,28.56,29.16,4120364
13,2020-03-03,29.87,30.69,28.73,28.79,6377120
14,2020-03-02,29.48,29.95,28.98,29.95,7372021
15,2020-02-28,29.27,29.77,28.7,29.35,12371084
16,2020-02-27,30.83,31.39,30.24,30.38,9344111
17,2020-02-26,31.84,32.6,31.65,31.85,7286444
18,2020-02-25,33.2,33.3,31.38,31.71,10229864
19,2020-02-24,32.4,33.23,32.24,33.07,4707522
20,2020-02-21,33.47,33.65,33.21,33.47,3321575
21,2020-02-20,34.1,34.1,32.88,33.7,3790560
22,2020-02-19,33.3,34.27,33.27,34.07,4111624
23,2020-02-18,33.32,33.32,32.91,33.18,2240838
24,2020-02-14,32.85,33.38,32.75,33.36,3672172
25,2020-02-13,32.71,33.45,32.5,32.95,3670945
26,2020-02-12,32.04,32.955,32.04,32.81,3625637
27,2020-02-11,31.83,32.595,31.75,32.02,2585143
28,2020-02-10,31.3,31.68,31.11,31.65,4256638
29,2020-02-07,31.35,31.36,30.964,31.3,1834699
30,2020-02-06,31.32,31.53,30.785,31.4,2597318
31,2020-02-05,30.68,31.34,30.63,31.26,2677273
32,2020-02-04,30.38,30.5643,30.26,30.48,2448717
33,2020-02-03,30.14,30.37,29.97,30.06,2574701
34,2020-01-31,30.3,30.39,29.855,29.95,2877322
35,2020-01-30,30.82,31.0,30.04,30.45,5943340
36,2020-01-29,31.38,31.52,30.65,31.15,3738963
37,2020-01-28,31.03,31.57,31.0,31.47,5426206
38,2020-01-27,28.57,30.99,28.49,30.67,10020158
39,2020-01-24,29.69,29.81,28.76,29.11,5304469
40,2020-01-23,28.72,29.6,28.59,29.53,3978596
41,2020-01-22,28.37,29.07,28.16,28.84,7358430
42,2020-01-21,29.07,29.58,29.04,29.4,8564696
43,2020-01-17,30.11,30.13,29.22,29.32,4337764
44,2020-01-16,28.95,30.01,28.95,30.0,4699689
45,2020-01-15,29.4,29.66,29.0,29.19,2462158
46,2020-01-14,29.34,29.725,29.27,29.58,3707849
47,2020-01-13,29.01,29.5,28.76,29.45,3031860
48,2020-01-10,29.73,29.73,28.745,28.85,3985605
49,2020-01-09,30.51,30.65,29.59,29.77,4467561
50,2020-01-08,31.27,31.3,30.7,30.72,2767279
51,2020-01-07,31.28,31.51,30.95,31.41,1939702
52,2020-01-06,31.35,31.54,31.0,31.21,2410884
53,2020-01-03,31.1,31.53,30.92,31.49,1985898
54,2020-01-02,30.91,31.54,30.82,31.54,3036980
55,2019-12-31,30.85,30.925,30.625,30.77,1491678
56,2019-12-30,31.12,31.225,30.765,30.87,1461758
57,2019-12-27,31.23,31.34,31.03,31.14,3957119
58,2019-12-26,31.37,31.42,31.02,31.2,4328600
59,2019-12-24,31.57,31.58,31.28,31.31,559539
60,2019-12-23,31.32,31.66,31.31,31.53,3428155
61,2019-12-20,31.23,31.39,31.01,31.39,6458960
62,2019-12-19,30.8,31.0685,30.64,31.0,4818115
63,2019-12-18,31.33,31.35,30.76,30.77,4315599
64,2019-12-17,31.75,31.805,31.195,31.48,2684345
65,2019-12-16,31.59,31.985,31.59,31.8,3954132
66,2019-12-13,31.53,31.79,31.4001,31.65,2157888
67,2019-12-12,31.26,31.745,31.15,31.62,2924099
68,2019-12-11,31.19,31.31,31.06,31.23,1624865
69,2019-12-10,30.95,31.145,30.91,31.01,2595526
70,2019-12-09,30.81,31.05,30.67,30.79,1650865
71,2019-12-06,30.76,31.05,30.62,31.02,2245407
72,2019-12-05,30.49,30.545,30.27,30.48,1722147
73,2019-12-04,30.86,30.92,30.3,30.32,2593748
74,2019-12-03,30.26,30.81,30.01,30.7,3129757
75,2019-12-02,31.08,31.19,30.56,30.56,2159792
76,2019-11-29,31.2,31.23,30.93,30.96,2335092
77,2019-11-27,31.29,31.4,31.08,31.26,1787263
78,2019-11-26,30.98,31.3,30.82,31.29,3875171
79,2019-11-25,30.68,30.98,30.635,30.96,2275392
80,2019-11-22,30.68,30.8166,30.45,30.55,2799039
81,2019-11-21,30.7,31.11,30.56,30.61,2200670
82,2019-11-20,30.88,31.03,30.63,30.83,3859202
83,2019-11-19,31.04,31.09,30.91,31.01,3608306
84,2019-11-18,30.78,31.225,30.64,31.06,4840554
85,2019-11-15,30.39,30.895,30.2,30.86,5250001
86,2019-11-14,29.6,30.32,29.4671,30.22,3895570
87,2019-11-13,29.28,29.66,29.2,29.5,1689652
88,2019-11-12,29.44,29.62,29.31,29.5,3049783
89,2019-11-11,29.0,29.55,28.9,29.51,3508285
90,2019-11-08,28.95,29.1,28.755,28.97,2089058
91,2019-11-07,29.44,29.52,28.83,28.91,3023910
92,2019-11-06,29.51,29.51,29.06,29.44,3686775
93,2019-11-05,28.27,29.55,27.54,29.51,6324783
94,2019-11-04,28.83,28.91,28.63,28.78,4351038
95,2019-11-01,27.74,28.54,27.62,28.54,3984946
96,2019-10-31,27.49,27.49,27.135,27.47,2031719
97,2019-10-30,27.6,27.6463,27.2,27.53,1890034
98,2019-10-29,27.56,27.93,27.5,27.69,1908879
99,2019-10-28,27.7,27.93,27.595,27.66,3024046
100,2019-10-25,27.43,27.68,27.37,27.64,1776504
101,2019-10-24,27.31,27.45,27.06,27.43,2328755
102,2019-10-23,27.04,27.36,26.92,27.24,2528019
103,2019-10-22,27.07,27.24,26.88,27.08,1988044
104,2019-10-21,27.13,27.3591,26.95,27.04,2447335
105,2019-10-18,27.68,27.68,27.0,27.01,3034859
106,2019-10-17,27.63,27.78,27.44,27.7,2323376
107,2019-10-16,27.84,27.92,27.47,27.51,2876753
108,2019-10-15,27.0,27.92,26.91,27.86,3255778
109,2019-10-14,26.79,26.99,26.69,26.84,2209871
110,2019-10-11,26.35,26.79,26.35,26.45,2504347
111,2019-10-10,25.58,26.1,25.41,26.02,1749577
112,2019-10-09,25.14,25.69,25.0,25.59,1790148
113,2019-10-08,24.65,25.17,24.55,24.87,3732156
114,2019-10-07,24.85,24.975,24.54,24.75,2975153
115,2019-10-04,24.21,24.5,23.955,24.49,2255768
116,2019-10-03,24.17,24.275,23.74,24.25,3366679
117,2019-10-02,25.0,25.05,23.97,24.2,4226174
118,2019-10-01,26.03,26.12,25.04,25.26,5273282
119,2019-09-30,26.1,26.19,25.9,26.0,4983115
120,2019-09-27,26.33,26.48,26.055,26.11,2497520
121,2019-09-26,26.55,26.6,26.22,26.3,2245316
122,2019-09-25,26.48,26.65,26.23,26.49,4061637
123,2019-09-24,26.8,27.01,26.49,26.53,3536756
124,2019-09-23,26.6,26.8,26.46,26.77,4612731
125,2019-09-20,27.23,27.305,26.49,26.72,5955645
126,2019-09-19,27.33,27.405,27.07,27.14,2840472
127,2019-09-18,27.16,27.34,26.92,27.31,3143697
128,2019-09-17,27.1,27.36,26.82,27.24,2868693
129,2019-09-16,27.0,27.37,27.0,27.2,2064781
130,2019-09-13,27.18,27.245,26.932,27.09,2474226
131,2019-09-12,27.0,27.17,26.84,27.02,2240793
132,2019-09-11,26.59,26.905,26.4,26.89,3025293
133,2019-09-10,26.27,26.74,26.2,26.71,2405273
134,2019-09-09,26.1,26.43,25.99,26.3,3060280
135,2019-09-06,26.12,26.25,25.84,25.99,2928132
136,2019-09-05,26.07,26.2,25.87,26.01,3456922
137,2019-09-04,26.09,26.14,25.87,25.98,2503485
138,2019-09-03,25.71,26.0,25.51,25.98,2989783
139,2019-08-30,26.0,26.08,25.69,25.84,3033893
140,2019-08-29,25.75,26.0,25.56,25.81,2766866
141,2019-08-28,25.19,25.59,24.77,25.43,6775454
142,2019-08-27,25.09,25.48,24.975,25.18,9193244
143,2019-08-26,24.57,25.19,24.39,25.05,7312218
144,2019-08-23,24.9,25.27,24.11,24.31,7831643
145,2019-08-22,25.21,25.43,24.96,25.1,1596307
146,2019-08-21,25.56,25.56,25.17,25.2,1449320
147,2019-08-20,24.93,25.275,24.72,25.23,1710746
148,2019-08-19,25.07,25.1899,24.92,25.03,2796566
149,2019-08-16,24.71,24.967,24.595,24.84,1852704
150,2019-08-15,24.82,24.82,24.4,24.57,2888433
151,2019-08-14,25.03,25.17,24.6568,24.77,3082511
152,2019-08-13,25.07,25.7,24.94,25.39,2775992
153,2019-08-12,25.01,25.38,24.89,25.2,1753366
154,2019-08-09,25.51,25.71,25.085,25.22,2164875
155,2019-08-08,25.43,25.83,25.125,25.43,4101417
156,2019-08-07,24.61,25.23,24.11,25.21,4466702
157,2019-08-06,23.82,24.6867,23.6,24.57,3317766
158,2019-08-05,23.33,24.02,23.15,23.56,4022522
159,2019-08-02,25.76,26.0,23.18,23.76,4908426
160,2019-08-01,24.91,24.91,24.29,24.36,3762893
161,2019-07-31,25.16,25.43,24.85,25.04,2113009
162,2019-07-30,25.1,25.17,24.79,25.14,2194000
163,2019-07-29,25.74,25.79,25.12,25.15,2593104
164,2019-07-26,25.54,25.78,25.54,25.74,1701403
165,2019-07-25,25.64,25.72,25.325,25.61,2102118
166,2019-07-24,25.1,25.71,25.01,25.65,3149256
167,2019-07-23,25.32,25.35,25.02,25.16,2326029
168,2019-07-22,25.15,25.315,25.09,25.13,1891107
169,2019-07-19,25.38,25.39,25.13,25.18,1901938
170,2019-07-18,25.04,25.14,24.77,25.14,1985559
171,2019-07-17,25.77,25.77,25.23,25.3,1961842
172,2019-07-16,25.78,25.97,25.703,25.78,2244329
173,2019-07-15,26.0,26.05,25.565,25.82,2101794
174,2019-07-12,25.83,26.01,25.72,26.0,1610734
175,2019-07-11,25.78,25.82,25.64,25.72,1174497
176,2019-07-10,26.0,26.0989,25.75,25.79,1575581
177,2019-07-09,25.72,25.875,25.6252,25.84,2401051
178,2019-07-08,25.93,26.045,25.705,25.82,3372944
179,2019-07-05,25.76,26.11,25.58,26.1,3280988
180,2019-07-03,26.24,26.24,25.84,25.87,2229313
181,2019-07-02,26.11,26.335,25.94,26.15,2853143
182,2019-07-01,26.2,26.4,26.04,26.08,5274302
183,2019-06-28,25.42,25.83,25.36,25.82,5363014
184,2019-06-27,24.89,25.42,24.745,25.39,4000385
185,2019-06-26,24.52,24.97,24.4136,24.89,2900776
186,2019-06-25,24.39,24.605,24.16,24.39,3881103
187,2019-06-24,24.39,24.57,24.265,24.3,3207103
188,2019-06-21,24.13,24.7,24.08,24.33,7645422
189,2019-06-20,23.98,24.16,23.87,24.15,5488605
190,2019-06-19,23.56,23.76,23.47,23.69,3527467
191,2019-06-18,23.0,23.6,22.92,23.53,2675183
192,2019-06-17,22.97,23.0,22.68,22.88,2029737
193,2019-06-14,23.12,23.12,22.905,22.98,3169788
194,2019-06-13,22.8,23.2,22.685,23.19,2556232
195,2019-06-12,23.0,23.04,22.56,22.66,3782093
196,2019-06-11,23.44,23.5,22.74,23.01,3638034
197,2019-06-10,23.71,23.885,23.26,23.29,3316665
198,2019-06-07,23.32,23.61,23.27,23.54,3830598
199,2019-06-06,23.0,23.37,22.89,23.28,3888546
200,2019-06-05,22.6,22.98,22.585,22.98,3030224
201,2019-06-04,22.22,22.59,22.14,22.55,3671722
202,2019-06-03,21.88,22.15,21.755,22.12,4911493
203,2019-05-31,21.84,22.045,21.83,21.9,3339864
204,2019-05-30,22.02,22.17,21.92,22.0,1953450
205,2019-05-29,21.94,22.14,21.7,22.03,3269024
206,2019-05-28,22.24,22.415,22.13,22.14,3185396
207,2019-05-24,22.33,22.52,22.14,22.25,3207257
208,2019-05-23,22.07,22.3416,21.985,22.21,2751162
209,2019-05-22,22.4,22.6357,22.35,22.37,3269252
210,2019-05-21,22.11,22.38,22.08,22.38,3556660
211,2019-05-20,21.91,22.1685,21.82,22.01,3670067
212,2019-05-17,21.82,22.32,21.75,21.96,4402044
213,2019-05-16,22.12,22.355,22.04,22.12,3313312
214,2019-05-15,21.64,22.11,21.64,22.01,3617624
215,2019-05-14,21.64,22.1,21.54,21.86,2798988
216,2019-05-13,21.9,22.085,21.435,21.51,3826045
217,2019-05-10,21.94,22.57,21.76,22.48,3757090
218,2019-05-09,22.17,22.24,21.875,22.09,3459723
219,2019-05-08,22.24,22.67,22.13,22.39,2985130
220,2019-05-07,22.27,22.53,22.04,22.29,3446136
221,2019-05-06,21.88,22.465,21.81,22.39,3259426
222,2019-05-03,21.98,22.44,21.77,22.41,4554752
223,2019-05-02,21.92,22.21,21.77,21.91,5842680
224,2019-05-01,21.5,22.155,21.44,21.46,7356667
225,2019-04-30,21.3,21.52,20.72,21.48,7125649
226,2019-04-29,20.68,20.89,20.66,20.7,2848645
227,2019-04-26,20.6,20.72,20.51,20.68,2943999
228,2019-04-25,21.0,21.055,20.61,20.64,3748031
229,2019-04-24,20.77,21.26,20.73,21.1,5382484
230,2019-04-23,20.4,20.78,20.37,20.68,4009874
231,2019-04-22,19.93,20.34,19.89,20.28,3370523
232,2019-04-18,19.98,20.16,19.94,20.04,4445546
233,2019-04-17,20.0,20.18,19.68,19.92,10358000
234,2019-04-16,20.68,20.84,20.555,20.68,3479219
235,2019-04-15,20.7,20.8,20.5334,20.55,3988301
236,2019-04-12,20.54,20.795,20.49,20.71,3624844
237,2019-04-11,20.11,20.47,20.08,20.37,4173700
238,2019-04-10,20.0,20.28,19.99,20.08,4003938
239,2019-04-09,20.09,20.1,19.795,20.0,4124896
240,2019-04-08,19.96,20.33,19.77,20.26,4299038
241,2019-04-05,19.94,20.17,19.9,20.11,8900031
242,2019-04-04,19.55,19.91,19.54,19.87,3713985
243,2019-04-03,19.88,19.92,19.46,19.58,4383298
244,2019-04-02,19.64,19.89,19.57,19.75,3481564
245,2019-04-01,19.35,19.68,19.27,19.66,6698571
246,2019-03-29,19.25,19.49,19.06,19.11,4664831
247,2019-03-28,18.98,19.21,18.895,19.13,2923844
248,2019-03-27,18.85,19.07,18.73,18.92,3166701
249,2019-03-26,18.78,18.93,18.595,18.8,3416855
250,2019-03-25,18.68,18.99,18.58,18.6,3911332
251,2019-03-22,19.06,19.22,18.435,18.72,4364457
252,2019-03-21,18.95,19.3,18.95,19.2,3916449
253,2019-03-20,19.08,19.21,18.96,19.08,3572671
254,2019-03-19,19.28,19.475,19.015,19.12,4348954
255,2019-03-18,19.03,19.34,18.95,19.23,4311774
