,timestamp,open,high,low,close,volume
0,2020-03-20,19.43,19.43,16.705,16.9,9294680
1,2020-03-19,19.38,21.43,19.36,19.43,8122394
2,2020-03-18,18.85,22.04,18.5,19.8,10336259
3,2020-03-17,18.18,20.16,17.67,20.16,7188903
4,2020-03-16,15.7,18.31,15.3,17.76,7485799
5,2020-03-13,17.8,18.38,16.8,18.11,7078092
6,2020-03-12,17.39,17.78,16.43,16.76,6359274
7,2020-03-11,19.56,19.72,18.305,18.8,6889775
8,2020-03-10,20.47,20.68,18.72,20.15,6393898
9,2020-03-09,19.72,20.6,19.5,19.51,7533000
10,2020-03-06,21.25,22.49,21.17,21.65,7709529
11,2020-03-05,22.45,22.635,21.705,22.13,7152798
12,2020-03-04,23.53,23.67,22.915,23.42,8539330
13,2020-03-03,23.2,24.0,22.955,23.39,15145067
14,2020-03-02,21.95,23.36,21.73,23.35,8850947
15,2020-02-28,21.86,22.14,21.36,21.76,10490327
16,2020-02-27,22.48,23.84,22.19,22.64,7901113
17,2020-02-26,23.71,23.82,23.0,23.01,5036593
18,2020-02-25,24.42,24.46,23.53,23.58,5792877
19,2020-02-24,24.26,24.71,24.1,24.19,5771724
20,2020-02-21,25.41,25.48,24.985,25.2,5012612
21,2020-02-20,25.44,25.93,25.29,25.67,5393253
22,2020-02-19,26.16,26.26,25.13,25.37,8752529
23,2020-02-18,27.03,27.6,25.305,26.05,19282274
24,2020-02-14,24.22,24.395,23.96,24.36,3614191
25,2020-02-13,24.49,24.64,24.01,24.21,4308648
26,2020-02-12,25.4,25.63,24.53,24.61,5056286
27,2020-02-11,25.51,25.57,24.9,25.16,4121510
28,2020-02-10,25.47,25.61,25.275,25.6,2458539
29,2020-02-07,25.6,25.99,25.46,25.6,2322441
30,2020-02-06,26.57,26.69,26.01,26.08,2717384
31,2020-02-05,26.07,26.375,25.91,26.31,3181962
32,2020-02-04,25.66,26.03,25.57,25.58,2833337
33,2020-02-03,25.35,25.7,25.195,25.2,3738841
34,2020-01-31,26.0,26.14,25.1849,25.3,14991935
35,2020-01-30,25.07,26.24,24.47,26.21,8693704
36,2020-01-29,25.31,25.49,24.84,24.84,4796376
37,2020-01-28,24.94,25.225,24.86,25.09,4314336
38,2020-01-27,24.77,24.84,24.48,24.64,4959488
39,2020-01-24,25.7,25.74,25.07,25.26,2299038
40,2020-01-23,25.91,25.92,25.32,25.68,3113264
41,2020-01-22,25.69,25.99,25.6,25.86,3102596
42,2020-01-21,25.6,25.72,25.375,25.51,3522696
43,2020-01-17,25.84,25.93,25.59,25.74,2722558
44,2020-01-16,25.33,25.77,25.25,25.76,2372996
45,2020-01-15,25.14,25.37,25.0,25.12,2190446
46,2020-01-14,25.46,25.53,25.14,25.25,2618378
47,2020-01-13,25.02,25.62,24.99,25.51,3554362
48,2020-01-10,25.25,25.32,24.96,25.02,2571671
49,2020-01-09,25.62,25.65,25.03,25.2,4126532
50,2020-01-08,25.62,25.73,25.23,25.42,3995223
51,2020-01-07,25.95,25.95,25.27,25.56,4474825
52,2020-01-06,24.91,25.29,24.725,25.29,3265342
53,2020-01-03,25.23,25.33,24.87,25.09,3735686
54,2020-01-02,25.61,25.7964,25.34,25.61,3626956
55,2019-12-31,25.69,26.195,25.67,25.98,3028548
56,2019-12-30,26.21,26.22,25.7237,25.82,2929732
57,2019-12-27,26.4,26.46,26.21,26.25,2707923
58,2019-12-26,26.21,26.36,26.165,26.32,2095614
59,2019-12-24,26.23,26.32,26.02,26.14,1207510
60,2019-12-23,25.89,26.35,25.83,26.19,3269055
61,2019-12-20,26.24,26.3,25.7,25.8,8169478
62,2019-12-19,26.14,26.17,25.8601,26.14,3920852
63,2019-12-18,26.33,26.35,26.085,26.1,2047449
64,2019-12-17,26.11,26.39,26.11,26.24,2261445
65,2019-12-16,26.26,26.7,26.16,26.17,2866924
66,2019-12-13,26.79,26.79,25.86,25.99,4868096
67,2019-12-12,26.01,26.8,25.95,26.79,4448048
68,2019-12-11,25.92,26.705,25.77,25.93,5198717
69,2019-12-10,26.86,26.91,25.8,25.84,5947893
70,2019-12-09,26.88,27.14,26.81,27.02,2073833
71,2019-12-06,26.83,27.19,26.8,27.0,3015675
72,2019-12-05,26.62,26.7,26.415,26.46,2405554
73,2019-12-04,26.45,26.88,26.45,26.47,2185323
74,2019-12-03,26.58,26.605,26.06,26.38,3475493
