,timestamp,open,high,low,close,volume
0,2020-03-20,30.3,31.31,28.87,29.07,9555944
1,2020-03-19,28.46,31.32,27.7,30.0,7907503
2,2020-03-18,28.06,29.5406,26.4,28.76,10158814
3,2020-03-17,30.13,30.6,28.19,29.97,11952328
4,2020-03-16,29.14,32.62,29.0,29.18,9714870
5,2020-03-13,31.75,34.13,30.45,34.13,9089111
6,2020-03-12,31.85,32.34,29.4,29.52,9726369
7,2020-03-11,35.62,35.92,33.7,34.2,8599322
8,2020-03-10,36.51,36.61,35.04,36.55,8741017
9,2020-03-09,34.8,37.44,34.2,34.95,8351380
10,2020-03-06,37.57,38.74,37.36,38.07,9299773
11,2020-03-05,38.56,40.12,38.16,39.3,10984106
12,2020-03-04,39.31,40.91,38.65,40.5,12017380
13,2020-03-03,40.89,40.94,38.1,38.83,14057775
14,2020-03-02,40.03,40.96,39.2,40.96,11489604
15,2020-02-28,39.515,40.07,38.54,39.9,14487905
16,2020-02-27,40.51,42.82,40.23,40.96,11047762
17,2020-02-26,41.82,42.07,41.19,41.37,6737006
18,2020-02-25,43.21,43.42,41.33,41.59,5765061
19,2020-02-24,44.02,44.12,42.8968,43.13,5084909
20,2020-02-21,45.51,45.74,44.83,45.04,5058517
21,2020-02-20,45.8,46.3,45.6,45.83,2925832
22,2020-02-19,45.3,46.01,45.2,45.92,3956973
23,2020-02-18,45.8,46.03,45.18,45.29,3253182
24,2020-02-14,46.1,46.23,45.69,45.9,3770824
25,2020-02-13,46.44,46.6,45.955,46.03,2699250
26,2020-02-12,46.81,47.195,46.5139,46.56,2631647
27,2020-02-11,46.66,46.795,46.31,46.42,3480555
28,2020-02-10,46.98,47.055,46.34,46.49,3078865
29,2020-02-07,47.23,47.505,46.98,47.25,3866985
30,2020-02-06,47.25,47.625,47.06,47.54,5696917
31,2020-02-05,46.48,47.195,46.45,46.98,5209430
32,2020-02-04,45.84,46.63,45.83,45.95,6870489
33,2020-02-03,45.04,45.875,44.92,45.21,6482200
34,2020-01-31,45.04,45.19,44.34,44.78,6765759
35,2020-01-30,44.16,45.48,44.1,45.4,5153412
36,2020-01-29,45.1,45.18,44.28,44.46,9835986
37,2020-01-28,45.4,45.43,44.81,44.97,8295672
38,2020-01-27,45.17,45.76,45.04,45.05,5940144
39,2020-01-24,46.66,46.7,45.54,45.95,6416428
40,2020-01-23,46.48,47.44,46.25,47.02,5585235
41,2020-01-22,46.92,47.07,46.5,46.73,6344781
42,2020-01-21,46.31,47.5,46.23,46.78,7862904
43,2020-01-17,46.85,46.96,45.86,46.18,12579796
44,2020-01-16,46.75,47.45,46.36,46.72,12393482
45,2020-01-15,50.73,50.89,50.37,50.69,4272405
46,2020-01-14,50.83,51.21,50.645,51.01,3150119
47,2020-01-13,50.67,50.89,50.545,50.88,3557461
48,2020-01-10,51.39,51.39,50.42,50.54,3307775
49,2020-01-09,51.51,51.6,51.27,51.48,2775413
50,2020-01-08,51.45,51.57,51.01,51.31,3941404
51,2020-01-07,50.69,51.42,50.69,51.25,3573535
52,2020-01-06,50.31,50.75,50.0227,50.74,3973777
53,2020-01-03,50.26,50.43,49.8,50.27,2276082
54,2020-01-02,50.46,50.92,50.215,50.92,2587184
55,2019-12-31,50.14,50.48,50.06,50.33,2264833
56,2019-12-30,50.54,50.71,50.085,50.18,3458208
57,2019-12-27,50.53,50.635,50.17,50.32,1859160
58,2019-12-26,50.46,50.65,50.29,50.49,1211668
59,2019-12-24,50.39,50.47,50.165,50.35,763740
60,2019-12-23,50.65,50.7,50.09,50.37,2084437
61,2019-12-20,50.94,51.11,50.48,50.63,8378257
62,2019-12-19,50.95,51.25,50.73,50.85,4391393
63,2019-12-18,51.11,51.26,50.92,51.0,5175174
64,2019-12-17,50.62,51.25,50.51,51.16,4070630
65,2019-12-16,50.73,51.04,50.1,50.16,3239744
66,2019-12-13,51.03,51.4,50.16,50.22,3885607
67,2019-12-12,50.13,51.3955,49.92,51.22,4453253
68,2019-12-11,49.93,50.37,49.8,49.88,4329004
69,2019-12-10,49.76,49.91,49.53,49.84,3265747
70,2019-12-09,49.57,49.89,49.41,49.7,2634292
71,2019-12-06,49.83,49.93,49.61,49.64,3686927
72,2019-12-05,49.03,49.295,48.9,49.27,2372529
73,2019-12-04,48.12,48.89,48.12,48.78,2188361
74,2019-12-03,48.61,48.69,47.91,48.12,3845601
75,2019-12-02,49.11,49.395,48.96,49.13,3429775
76,2019-11-29,48.88,49.1,48.64,48.97,3290357
77,2019-11-27,49.02,49.15,48.775,48.96,2820100
78,2019-11-26,49.37,49.43,48.545,48.78,3530903
79,2019-11-25,48.86,49.445,48.8527,49.33,2359774
80,2019-11-22,48.65,49.1,48.56,48.8,3133657
81,2019-11-21,48.99,49.11,48.5,48.57,2743634
82,2019-11-20,48.56,48.94,48.38,48.88,3204842
83,2019-11-19,48.99,49.0,48.56,48.69,3052361
84,2019-11-18,48.63,49.025,48.43,48.73,2930857
85,2019-11-15,48.56,48.62,48.1936,48.57,4286131
86,2019-11-14,48.32,48.63,48.18,48.42,2034717
87,2019-11-13,48.38,48.765,48.04,48.35,2806342
88,2019-11-12,49.21,49.31,48.78,48.9,3443831
89,2019-11-11,49.2,49.57,48.985,49.06,2988305
90,2019-11-08,49.33,49.67,48.98,49.2,3748684
91,2019-11-07,49.54,50.03,49.39,49.4,5281346
92,2019-11-06,49.15,49.49,48.93,49.13,3460007
93,2019-11-05,48.94,49.65,48.87,49.17,6951757
94,2019-11-04,47.74,48.74,47.595,48.72,6596840
95,2019-11-01,47.09,47.6,46.94,47.16,7002211
96,2019-10-31,46.44,46.75,46.18,46.75,8581636
97,2019-10-30,46.57,46.845,46.32,46.62,5709160
98,2019-10-29,46.66,47.175,46.61,46.63,8328269
99,2019-10-28,46.75,47.02,46.615,46.89,5010894
100,2019-10-25,45.92,46.75,45.86,46.38,5696967
101,2019-10-24,46.68,46.85,45.96,46.28,5719327
102,2019-10-23,46.04,46.95,46.04,46.73,6547837
103,2019-10-22,45.62,46.72,45.33,46.14,5818266
104,2019-10-21,45.53,45.97,45.47,45.67,6941720
105,2019-10-18,44.32,45.91,44.25,45.34,7161704
106,2019-10-17,44.99,45.2,44.33,44.38,4233931
107,2019-10-16,45.0,45.67,44.42,44.44,7767075
108,2019-10-15,44.07,44.47,43.56,44.36,11081524
109,2019-10-14,43.92,44.1266,43.41,43.91,5008844
110,2019-10-11,44.39,44.69,44.06,44.12,5316140
111,2019-10-10,42.93,43.79,42.8,43.5,4184978
112,2019-10-09,42.68,42.99,42.31,42.83,3735348
113,2019-10-08,41.92,42.7,41.66,42.33,8077789
114,2019-10-07,42.6,42.605,42.17,42.24,7868473
115,2019-10-04,42.59,42.77,42.14,42.63,14416511
116,2019-10-03,42.54,42.79,42.02,42.43,9525574
117,2019-10-02,43.4,43.5,42.43,42.49,7628056
118,2019-10-01,45.21,45.28,43.59,43.73,4891271
119,2019-09-30,44.88,45.48,44.78,45.21,5699735
120,2019-09-27,45.98,46.14,44.08,44.53,13736508
121,2019-09-26,46.82,46.91,46.38,46.63,2604352
122,2019-09-25,46.37,46.99,46.28,46.89,2785262
123,2019-09-24,46.6,46.89,46.002,46.25,2783127
124,2019-09-23,46.08,46.84,46.03,46.77,2357794
125,2019-09-20,46.98,47.2,46.23,46.38,8355775
126,2019-09-19,46.95,47.45,46.645,46.98,3258211
127,2019-09-18,46.37,47.24,45.93,47.0,4667941
128,2019-09-17,45.43,46.37,45.36,46.35,4957936
129,2019-09-16,46.38,46.995,46.1443,46.75,2811510
130,2019-09-13,46.88,47.17,46.58,46.9,3209560
131,2019-09-12,46.13,46.56,45.72,46.31,3106213
132,2019-09-11,45.96,46.36,45.3,46.34,3986297
133,2019-09-10,45.77,46.25,45.29,45.78,5969944
134,2019-09-09,43.31,45.8,43.17,45.48,7858947
135,2019-09-06,42.94,43.1,42.6,43.03,3388916
136,2019-09-05,42.55,43.35,42.32,42.82,4544446
137,2019-09-04,41.96,42.04,41.49,41.92,2671594
138,2019-09-03,41.69,41.84,41.01,41.53,3613246
139,2019-08-30,42.02,42.25,41.83,42.06,3051029
140,2019-08-29,41.47,42.06,41.4,41.72,3051507
141,2019-08-28,40.79,41.19,40.52,41.05,4184732
142,2019-08-27,41.34,41.53,40.895,40.95,3878326
143,2019-08-26,41.33,41.45,40.84,41.11,4231947
144,2019-08-23,41.9,42.24,40.77,41.02,3737502
145,2019-08-22,42.23,42.47,41.815,42.17,3712680
146,2019-08-21,42.13,42.37,41.82,41.94,3295649
147,2019-08-20,42.52,42.585,41.91,41.96,2441677
148,2019-08-19,43.03,43.07,42.71,42.72,2843651
149,2019-08-16,41.95,42.5,41.92,42.33,2938187
150,2019-08-15,42.02,42.35,41.415,41.67,3583658
151,2019-08-14,42.75,43.06,41.92,41.96,4952614
152,2019-08-13,44.27,44.66,43.565,43.67,6130129
153,2019-08-12,45.26,45.51,44.32,44.38,4074300
154,2019-08-09,45.44,46.1067,45.205,45.81,5077343
155,2019-08-08,45.0,45.97,44.94,45.57,5054797
156,2019-08-07,44.5,45.0,43.63,44.73,6223621
157,2019-08-06,45.19,45.46,44.56,45.45,5007742
158,2019-08-05,45.24,45.62,44.56,45.06,5557800
159,2019-08-02,45.97,46.28,44.3,46.03,4764697
160,2019-08-01,46.38,47.5,45.82,45.97,6863716
161,2019-07-31,46.91,47.36,46.655,46.92,6635688
162,2019-07-30,46.39,47.16,46.28,47.04,4223137
163,2019-07-29,47.44,47.57,46.805,46.82,4524040
164,2019-07-26,47.25,47.655,46.61,47.6,4789726
165,2019-07-25,47.3,47.43,46.675,47.29,5004921
166,2019-07-24,46.56,47.305,46.41,47.1,5310842
167,2019-07-23,46.23,46.95,46.04,46.72,6243146
168,2019-07-22,45.19,46.0,45.04,45.82,4900380
169,2019-07-19,45.06,45.767,44.97,45.27,7744214
170,2019-07-18,44.28,44.98,44.11,44.86,5705633
171,2019-07-17,43.37,44.71,43.37,44.12,6526966
172,2019-07-16,43.34,43.635,43.05,43.11,4872620
173,2019-07-15,43.6,43.6,42.97,43.15,4958711
174,2019-07-12,43.78,43.88,43.145,43.56,3290175
175,2019-07-11,43.16,43.74,43.015,43.65,3951751
176,2019-07-10,43.46,43.485,42.92,43.04,3804788
177,2019-07-09,42.63,43.42,42.46,43.4,4179803
178,2019-07-08,43.85,44.01,42.82,43.03,6209478
179,2019-07-05,44.86,45.12,44.16,44.53,3527884
180,2019-07-03,44.31,44.655,43.955,44.64,2714136
181,2019-07-02,44.47,44.74,44.055,44.23,5205754
182,2019-07-01,44.92,44.9744,44.215,44.47,4124833
183,2019-06-28,44.0,44.56,43.77,44.15,7683523
184,2019-06-27,43.26,43.775,43.145,43.39,3024970
185,2019-06-26,43.48,43.58,42.9,43.12,5682564
186,2019-06-25,43.08,43.53,42.66,43.43,5941385
187,2019-06-24,43.32,44.02,42.97,43.08,4117841
188,2019-06-21,43.31,44.061,43.1,43.41,8578631
189,2019-06-20,42.68,43.19,42.125,43.12,11226677
190,2019-06-19,43.5,43.5,42.43,42.69,14111792
191,2019-06-18,43.56,44.21,43.175,43.24,10901943
192,2019-06-17,44.51,44.56,43.9,43.95,2516569
193,2019-06-14,44.55,44.7,44.04,44.49,2842179
194,2019-06-13,44.25,44.735,44.1101,44.53,2573119
195,2019-06-12,44.5,44.665,43.99,44.1,4257438
196,2019-06-11,45.14,45.34,44.15,44.5,5493881
197,2019-06-10,44.85,45.34,44.54,44.9,4970270
198,2019-06-07,43.78,44.73,43.75,44.4,4644706
199,2019-06-06,43.58,43.975,43.155,43.82,3587400
200,2019-06-05,44.2,44.37,43.43,43.61,3570776
201,2019-06-04,43.65,44.33,43.425,44.29,4339686
202,2019-06-03,42.69,43.255,42.5,43.05,6694537
203,2019-05-31,42.5801,43.045,42.43,42.69,6760041
204,2019-05-30,44.03,44.14,42.905,43.25,5268548
205,2019-05-29,43.85,44.15,43.3,44.06,6047246
206,2019-05-28,45.04,45.14,44.32,44.33,8718931
