,timestamp,open,high,low,close,volume
0,2020-03-20,149.32,150.64,139.82,142.09,4701824
1,2020-03-19,141.6,149.57,134.1001,146.52,3987446
2,2020-03-18,145.0,146.0,118.5,142.91,4059505
3,2020-03-17,154.21,162.75,148.28,155.09,3765321
4,2020-03-16,150.0,162.39,145.24,150.69,3340828
5,2020-03-13,171.95,180.0,164.23,179.87,5081545
6,2020-03-12,175.16,181.44,163.58,164.27,4818125
7,2020-03-11,191.24,196.54,183.54,187.23,4100870
8,2020-03-10,187.79,198.7,186.03,197.77,4188220
9,2020-03-09,181.26,186.35,173.9,181.6,3897305
10,2020-03-06,194.21,196.55,188.0,195.52,3447857
11,2020-03-05,203.03,206.35,198.63,200.93,3106851
12,2020-03-04,208.04,211.94,205.35,209.54,6127789
13,2020-03-03,194.34,203.88,186.9,189.25,3568879
14,2020-03-02,183.41,194.54,180.41,194.34,3901178
15,2020-02-28,176.25,184.59,174.22,182.94,5465745
16,2020-02-27,184.49,189.79,181.72,181.93,3101336
17,2020-02-26,193.72,195.5,188.54,188.92,2869673
18,2020-02-25,203.34,203.94,189.36,191.76,2824133
19,2020-02-24,207.87,210.12,200.05,200.36,3114543
20,2020-02-21,218.57,219.82,216.77,217.19,1469838
21,2020-02-20,219.31,221.735,216.21,220.41,2206246
22,2020-02-19,221.5,223.58,219.5,221.44,1615192
23,2020-02-18,220.34,224.57,219.425,221.95,1956094
24,2020-02-14,221.64,222.28,218.93,220.34,2077324
25,2020-02-13,220.33,224.25,220.33,221.89,2115880
26,2020-02-12,217.82,224.64,217.0,222.56,2720691
27,2020-02-11,212.35,215.33,210.4,215.18,1815090
28,2020-02-10,208.03,211.9,207.51,210.32,2041441
29,2020-02-07,210.67,212.79,208.01,208.92,2045488
30,2020-02-06,210.25,216.18,207.83,211.86,3002114
31,2020-02-05,200.09,207.5,200.09,206.48,2120846
32,2020-02-04,194.16,198.71,193.9,196.86,1955216
33,2020-02-03,193.82,196.08,191.18,191.77,2356216
34,2020-01-31,195.38,195.82,191.09,192.38,1815953
35,2020-01-30,200.51,201.53,194.87,196.99,3180021
36,2020-01-29,204.86,206.415,201.72,202.54,1849536
37,2020-01-28,201.35,206.12,200.63,205.33,1603356
38,2020-01-27,202.2,202.61,196.65,199.95,1498275
39,2020-01-24,212.71,212.99,204.74,206.01,1882189
40,2020-01-23,211.04,213.38,209.83,212.7,1511559
41,2020-01-22,213.3,213.8,210.37,211.26,1468735
42,2020-01-21,211.68,214.44,210.4,213.0,2192245
43,2020-01-17,210.96,212.64,209.23,212.52,1680010
44,2020-01-16,209.41,211.26,208.495,210.95,1387471
45,2020-01-15,205.19,210.42,205.19,208.23,1799666
46,2020-01-14,203.26,206.95,203.02,205.19,1499054
47,2020-01-13,208.51,209.0,201.96,203.51,2376606
48,2020-01-10,212.11,212.35,209.7,210.28,1034795
49,2020-01-09,210.03,212.23,209.0,210.85,2018217
50,2020-01-08,207.93,211.72,207.19,211.41,1483598
51,2020-01-07,206.18,208.78,205.28,207.93,1355197
52,2020-01-06,202.0,207.16,201.945,206.92,1240009
53,2020-01-03,202.01,204.39,200.8,203.18,1387289
54,2020-01-02,205.39,205.85,202.09,204.94,1372552
55,2019-12-31,202.88,204.71,202.0075,204.49,1483566
56,2019-12-30,203.7,204.59,202.38,202.97,954819
57,2019-12-27,204.44,204.95,203.59,204.0,1053616
58,2019-12-26,204.51,205.35,203.98,204.38,743145
59,2019-12-24,206.53,206.93,204.0,204.01,530988
60,2019-12-23,203.97,207.28,203.37,206.47,1900969
61,2019-12-20,201.56,206.24,201.56,204.59,4943196
62,2019-12-19,198.21,199.99,197.81,198.72,1683506
63,2019-12-18,195.0,199.8,194.59,198.2,2439643
64,2019-12-17,194.58,196.33,192.08,193.52,1701674
65,2019-12-16,191.81,197.225,191.0,195.13,1867464
66,2019-12-13,193.91,194.96,188.8,189.87,2090943
67,2019-12-12,192.33,194.9,191.11,193.56,2013109
68,2019-12-11,191.49,193.5,189.83,191.75,1896183
69,2019-12-10,195.68,195.68,189.52,191.71,3334874
70,2019-12-09,198.08,198.84,195.85,195.95,1376627
71,2019-12-06,197.51,199.94,197.09,198.93,1658016
72,2019-12-05,196.7,196.82,193.58,195.59,1526266
73,2019-12-04,196.41,197.99,195.29,196.74,1820307
74,2019-12-03,193.94,195.98,192.54,195.33,2100817
75,2019-12-02,199.92,200.39,196.84,196.94,1498859
76,2019-11-29,200.03,200.79,198.5,199.92,811994
77,2019-11-27,200.5,202.59,198.5,200.03,2042015
78,2019-11-26,204.39,204.39,199.39,200.37,2204282
79,2019-11-25,202.0,205.24,201.835,203.87,2419743
80,2019-11-22,202.0,202.8774,200.32,201.85,1492339
81,2019-11-21,200.27,201.43,198.1,201.21,1359130
82,2019-11-20,199.0,200.6,197.17,199.91,1633035
83,2019-11-19,198.73,200.39,196.33,200.02,1666093
84,2019-11-18,197.38,202.85,195.75,198.38,2818727
85,2019-11-15,190.39,198.64,188.28,196.01,3056496
86,2019-11-14,190.34,191.71,189.01,189.7,1534931
87,2019-11-13,187.95,191.74,187.22,190.25,1530383
88,2019-11-12,186.47,190.54,186.2494,188.97,1831947
89,2019-11-11,185.9,187.47,185.07,187.16,1390361
90,2019-11-08,186.0,189.28,185.2632,188.2,1461255
91,2019-11-07,184.03,186.4999,183.457,185.34,1356015
92,2019-11-06,182.97,184.44,181.7401,183.13,1763586
93,2019-11-05,184.0,184.74,181.6801,181.85,2580492
94,2019-11-04,181.31,183.68,178.45,183.12,2490695
95,2019-11-01,179.21,184.56,178.0,179.51,3425800
96,2019-10-31,178.25,179.5,171.65,178.46,3971407
97,2019-10-30,176.55,177.65,175.44,176.44,2033157
98,2019-10-29,174.6,178.13,174.32,177.98,1926996
