,timestamp,open,high,low,close,volume
0,2020-03-20,126.0,131.97,116.83,119.33,4498417
1,2020-03-19,132.09,141.01,123.63,125.31,3887440
2,2020-03-18,122.64,139.15,120.0,130.5,3862464
3,2020-03-17,113.76,134.41,113.73,127.46,5231577
4,2020-03-16,106.16,119.81,104.75,110.74,4232471
5,2020-03-13,108.82,113.84,106.38,113.67,3337805
6,2020-03-12,110.01,113.69,103.81,105.06,3493121
7,2020-03-11,111.82,116.96,110.68,114.8,3315675
8,2020-03-10,118.8,119.25,109.88,114.78,2749669
9,2020-03-09,112.0,118.7,111.0483,115.95,2854112
10,2020-03-06,112.24,120.13,112.1,117.91,4220938
11,2020-03-05,107.51,117.37,107.51,116.46,4652271
12,2020-03-04,107.86,110.13,107.25,110.13,2649260
13,2020-03-03,108.17,109.42,105.06,106.4,2596231
14,2020-03-02,104.06,108.97,103.79,108.78,3897068
15,2020-02-28,100.7,103.47,100.31,103.39,4823412
16,2020-02-27,105.05,107.04,102.91,102.97,2536859
17,2020-02-26,109.68,110.39,106.405,106.8,1676184
18,2020-02-25,112.08,112.4,108.36,108.65,2277755
19,2020-02-24,114.13,114.89,111.84,111.94,2128174
20,2020-02-21,119.01,119.92,115.84,116.08,1739983
21,2020-02-20,122.14,122.52,118.91,119.57,1384700
22,2020-02-19,123.64,124.49,122.1,122.25,1273113
23,2020-02-18,121.94,123.54,121.84,123.51,1915089
24,2020-02-14,122.88,123.45,121.7523,122.03,1257241
25,2020-02-13,121.59,123.43,121.59,123.0,867894
26,2020-02-12,122.18,122.59,121.34,122.04,1036009
27,2020-02-11,122.41,122.62,121.39,121.62,1006311
28,2020-02-10,120.94,121.87,120.2948,121.82,1618884
29,2020-02-07,121.9,122.54,120.86,121.08,1014876
30,2020-02-06,123.2,123.83,121.75,122.23,1305516
31,2020-02-05,123.67,124.12,122.26,122.75,1882524
32,2020-02-04,122.93,124.11,122.67,123.49,1698659
33,2020-02-03,121.09,123.29,121.09,122.67,1373348
34,2020-01-31,123.55,123.775,120.69,121.22,2397782
35,2020-01-30,122.44,123.4,121.62,122.54,1541155
36,2020-01-29,126.07,126.07,122.88,123.01,1570472
37,2020-01-28,126.55,127.2,125.21,125.55,1530548
38,2020-01-27,127.33,128.24,126.75,126.9,1312320
39,2020-01-24,128.44,129.26,126.76,128.26,2063803
40,2020-01-23,123.09,130.55,122.2,128.48,4300853
41,2020-01-22,118.02,119.62,118.02,119.23,1948145
42,2020-01-21,116.7,118.15,116.7,117.85,1434203
43,2020-01-17,117.15,117.29,116.085,117.22,1416439
44,2020-01-16,115.7,117.47,115.7,116.88,796029
45,2020-01-15,114.89,116.14,114.31,115.31,892093
46,2020-01-14,115.0,115.39,114.39,114.96,895115
47,2020-01-13,114.21,115.51,112.29,115.14,1543668
48,2020-01-10,114.63,114.805,113.46,113.74,964591
49,2020-01-09,113.99,114.37,113.51,114.05,1606078
50,2020-01-08,112.63,114.025,112.61,113.76,1261607
51,2020-01-07,112.51,113.43,112.22,112.41,933693
52,2020-01-06,111.32,113.06,111.32,113.01,1046672
53,2020-01-03,110.57,111.97,110.36,111.82,1107030
54,2020-01-02,111.59,111.99,111.06,111.67,1352558
55,2019-12-31,110.06,110.97,110.06,110.9,655235
56,2019-12-30,110.95,111.315,110.27,110.36,599405
57,2019-12-27,111.04,111.57,110.41,110.79,698582
58,2019-12-26,110.9,111.36,110.76,111.26,597296
59,2019-12-24,110.53,111.0,110.16,110.67,520862
60,2019-12-23,111.22,111.48,110.05,110.16,1000768
61,2019-12-20,112.25,112.25,110.97,111.06,2323353
62,2019-12-19,111.42,112.13,111.14,111.82,809253
63,2019-12-18,111.01,111.885,110.84,111.27,1133353
64,2019-12-17,111.66,112.25,111.06,111.21,1147182
65,2019-12-16,110.72,111.77,110.66,111.7,1872966
66,2019-12-13,109.93,110.67,109.77,110.35,1032632
67,2019-12-12,109.24,110.33,108.86,110.3,1595130
68,2019-12-11,109.96,110.23,109.29,109.45,1190774
69,2019-12-10,110.22,110.65,109.59,109.68,1216575
70,2019-12-09,110.35,111.2,110.28,110.33,1370539
71,2019-12-06,111.39,111.735,110.61,110.62,1063946
72,2019-12-05,110.8,110.95,110.3,110.78,874813
73,2019-12-04,111.24,111.97,110.74,110.87,980378
74,2019-12-03,111.55,111.59,110.24,111.22,2042325
75,2019-12-02,112.48,112.74,110.89,111.91,1462939
76,2019-11-29,113.01,113.135,112.55,112.81,1147678
77,2019-11-27,114.28,114.28,112.68,113.52,1523914
78,2019-11-26,114.24,114.65,113.16,113.97,7134651
