,timestamp,open,high,low,close,volume
0,2020-03-20,19.15,19.7,16.7,16.87,6225406
1,2020-03-19,17.13,19.25,17.0,18.89,4787069
2,2020-03-18,18.68,18.72,15.77,17.64,3998413
3,2020-03-17,19.32,19.7,18.0,19.53,3923448
4,2020-03-16,19.83,20.09,18.23,18.9,4458005
5,2020-03-13,22.28,22.86,19.8101,21.285,4141041
6,2020-03-12,21.86,21.86,19.86,21.19,4369451
7,2020-03-11,23.13,23.65,22.79,22.99,5529776
8,2020-03-10,23.01,23.825,22.57,23.82,7273621
9,2020-03-09,22.51,23.4,22.48,22.54,6472279
10,2020-03-06,23.2,24.27,22.96,24.07,6457605
11,2020-03-05,24.39,24.75,23.665,23.82,6427873
12,2020-03-04,25.27,25.33,24.65,25.11,6980914
13,2020-03-03,24.96,25.73,24.605,25.08,5791911
14,2020-03-02,24.86,25.18,24.02,25.17,5632892
15,2020-02-28,23.29,25.11,23.11,25.1,10139378
16,2020-02-27,24.59,24.59,23.0,23.79,6890924
17,2020-02-26,26.52,26.54,25.35,25.42,4065103
18,2020-02-25,27.18,27.29,25.89,26.3,4088315
19,2020-02-24,27.39,27.43,26.79,27.13,3799373
20,2020-02-21,28.47,28.55,27.86,27.93,3064908
21,2020-02-20,28.62,28.71,28.06,28.6,3174347
22,2020-02-19,28.85,29.345,28.7,29.03,3265069
23,2020-02-18,28.64,29.1,28.64,28.87,2118198
24,2020-02-14,28.86,28.98,28.56,28.73,2435874
25,2020-02-13,28.72,29.02,28.53,28.9,4014352
26,2020-02-12,28.7,29.02,28.41,28.86,2435657
27,2020-02-11,28.45,28.83,28.29,28.65,2831855
28,2020-02-10,28.2,28.39,28.0,28.36,2395311
29,2020-02-07,28.36,28.595,28.135,28.35,2242405
30,2020-02-06,29.19,29.27,28.4,28.54,4460055
31,2020-02-05,28.49,29.3,28.49,29.07,4568745
32,2020-02-04,28.04,28.32,27.87,28.26,2741407
33,2020-02-03,27.87,28.08,27.6,27.68,4853707
34,2020-01-31,28.24,28.55,27.6,27.77,4457651
35,2020-01-30,28.01,28.415,27.95,28.375,5873482
36,2020-01-29,28.77,28.9,28.05,28.23,3865354
37,2020-01-28,28.63,28.975,28.56,28.93,3709063
38,2020-01-27,28.2,28.71,28.2,28.535,3475532
39,2020-01-24,28.7,28.73,28.23,28.645,5347783
40,2020-01-23,29.89,30.0,28.695,28.74,5329742
41,2020-01-22,30.1,30.5,30.0,30.09,2761773
42,2020-01-21,30.49,30.49,29.98,30.09,1603964
43,2020-01-17,30.58,30.72,30.4,30.48,2013302
44,2020-01-16,30.36,30.73,30.32,30.6,1951775
45,2020-01-15,29.78,30.32,29.78,30.29,1670153
46,2020-01-14,29.79,30.09,29.72,29.965,2868389
47,2020-01-13,29.87,30.01,29.57,29.81,2745034
48,2020-01-10,30.22,30.26,29.8,29.88,2831320
49,2020-01-09,30.21,30.51,29.98,30.24,2946255
50,2020-01-08,30.06,30.35,29.98,30.15,2896620
51,2020-01-07,29.84,30.47,29.75,29.99,2012383
