,timestamp,open,high,low,close,volume
0,2020-03-20,72.078,78.77,71.32,75.97,5334037
1,2020-03-19,65.63,77.64,64.26,70.87,4184144
2,2020-03-18,73.09,77.342,60.2,65.57,4340881
3,2020-03-17,68.55,77.98,68.0,76.45,5021610
4,2020-03-16,68.57,74.91,66.85,67.02,5182719
5,2020-03-13,73.23,74.85,69.485,74.7,5591647
6,2020-03-12,78.48,81.9,70.1,70.35,6504178
7,2020-03-11,86.32,87.79,83.06,83.67,3447296
8,2020-03-10,85.08,88.95,84.32,88.06,4897218
9,2020-03-09,75.44,84.66,75.1201,83.51,5052676
10,2020-03-06,76.0,80.54,75.56,80.24,3880012
11,2020-03-05,78.63,79.73,77.51,77.99,4237254
12,2020-03-04,81.22,82.49,78.07,78.91,7807304
13,2020-03-03,84.1,84.75,80.71,81.82,3248608
14,2020-03-02,83.23,84.71,80.91,84.56,3936858
15,2020-02-28,83.37,83.74,80.69,83.03,4580498
16,2020-02-27,86.76,88.19,84.81,85.3,3271132
17,2020-02-26,89.45,89.87,87.66,87.75,2372200
18,2020-02-25,91.62,92.36,88.51,88.67,2739614
19,2020-02-24,92.34,92.72,90.095,91.04,2805325
20,2020-02-21,92.71,94.08,92.4,93.89,2279182
21,2020-02-20,91.91,93.61,91.7959,93.22,1979469
22,2020-02-19,91.11,92.55,90.52,91.99,2154874
23,2020-02-18,88.9,91.17,88.9,91.08,2078829
24,2020-02-14,88.89,88.95,88.01,88.68,1690303
25,2020-02-13,89.21,89.46,88.04,89.27,1200367
26,2020-02-12,88.49,89.63,88.25,89.52,1370609
27,2020-02-11,87.3,88.71,87.3,88.19,1708171
28,2020-02-10,87.18,87.4183,86.77,87.18,1201925
29,2020-02-07,87.89,87.89,86.66,87.14,1286510
30,2020-02-06,88.98,88.98,87.87,87.94,1815663
31,2020-02-05,88.84,89.08,88.13,88.71,1314958
32,2020-02-04,88.25,89.54,87.86,88.31,1588072
33,2020-02-03,87.56,88.25,87.14,87.51,1906023
34,2020-01-31,87.42,87.55,86.23,87.07,2704686
35,2020-01-30,85.7,87.75,85.37,87.61,2497032
36,2020-01-29,87.13,87.4,86.04,86.11,2028715
37,2020-01-28,88.52,88.91,86.64,86.76,3821484
38,2020-01-27,86.73,88.88,86.19,88.4,2805527
39,2020-01-24,88.0,88.65,87.34,87.71,4061341
40,2020-01-23,89.2,89.55,87.91,87.94,3679702
41,2020-01-22,89.96,90.75,89.69,89.87,3153779
42,2020-01-21,91.24,91.55,89.45,89.5,9618826
43,2020-01-17,91.0,91.73,90.87,91.55,2447311
44,2020-01-16,91.17,91.92,90.83,91.08,2142335
45,2020-01-15,90.04,90.92,89.86,90.75,3945175
46,2020-01-14,89.83,90.73,88.62,90.57,4549207
47,2020-01-13,90.76,91.52,90.46,90.77,3496500
48,2020-01-10,91.36,91.98,90.64,91.35,2682390
49,2020-01-09,89.27,91.16,89.12,91.06,4132667
50,2020-01-08,91.95,91.95,89.79,89.79,5915431
51,2020-01-07,92.61,93.39,91.77,91.93,2975340
52,2020-01-06,91.59,93.06,90.8801,93.03,3431928
53,2020-01-03,93.01,93.58,92.5,93.03,2103443
54,2020-01-02,94.69,94.69,93.3,93.78,2157095
55,2019-12-31,93.67,94.38,93.38,94.05,1873467
56,2019-12-30,92.81,94.008,92.34,93.49,3409578
57,2019-12-27,92.11,92.96,91.94,92.84,2768333
58,2019-12-26,93.3,93.3,91.8358,92.08,1617232
59,2019-12-24,92.76,93.39,92.46,93.23,952893
60,2019-12-23,94.11,94.5,92.3,92.44,2413921
61,2019-12-20,92.52,94.12,92.0987,94.06,3744768
62,2019-12-19,91.87,92.64,91.52,92.1,2245781
63,2019-12-18,92.28,92.38,91.14,91.83,2366467
64,2019-12-17,94.48,94.94,92.02,92.04,3266295
65,2019-12-16,94.0,94.57,92.57,94.22,3070309
66,2019-12-13,92.39,93.92,91.92,93.59,3749954
67,2019-12-12,91.46,93.0,91.245,92.55,2865654
68,2019-12-11,91.51,91.68,89.88,91.5,2259201
69,2019-12-10,93.04,94.26,91.18,91.55,2658523
70,2019-12-09,92.1,93.42,91.87,93.2,3066662
71,2019-12-06,91.43,92.59,91.17,92.24,3195445
72,2019-12-05,89.95,91.59,89.44,90.8,4687879
73,2019-12-04,89.36,90.1,88.68,89.26,3946487
74,2019-12-03,88.54,90.08,88.26,88.65,3511169
75,2019-12-02,91.5,91.5894,89.09,89.47,8045327
76,2019-11-29,92.76,93.05,91.2,91.46,3004817
77,2019-11-27,94.5,94.68,92.85,93.03,7360008
78,2019-11-26,95.7635,98.98,92.6499,95.26,23935232
79,2019-11-25,109.83,113.35,109.75,112.39,3381895
80,2019-11-22,108.55,110.16,108.03,109.04,2030744
81,2019-11-21,107.32,109.49,107.0,107.995,1540978
82,2019-11-20,107.25,108.35,106.42,107.26,1339665
83,2019-11-19,108.78,109.28,106.59,106.88,1262487
84,2019-11-18,108.54,109.5,108.29,109.06,1428464
85,2019-11-15,109.37,109.45,107.76,108.85,1223258
86,2019-11-14,108.82,109.33,107.45,108.75,1311696
87,2019-11-13,107.69,108.46,106.22,108.4,1601632
88,2019-11-12,108.5,109.0,107.6,107.69,1697854
89,2019-11-11,109.79,109.83,107.91,108.93,1450912
90,2019-11-08,112.31,112.85,109.99,110.35,1299776
91,2019-11-07,113.37,114.83,112.4,112.47,1265135
92,2019-11-06,113.08,113.39,112.29,112.79,830135
93,2019-11-05,111.84,114.07,111.82,113.28,1260637
94,2019-11-04,112.06,112.89,111.52,112.21,1105918
95,2019-11-01,111.14,112.4,110.67,111.74,1290436
96,2019-10-31,111.71,112.06,109.25,110.4,1812494
97,2019-10-30,112.36,112.67,110.8,112.06,1200906
98,2019-10-29,113.73,114.34,112.54,112.58,1150388
99,2019-10-28,114.92,115.4,113.37,113.42,1687263
100,2019-10-25,115.21,116.2,114.02,114.55,1439216
101,2019-10-24,116.24,116.74,115.0,115.6,1172464
102,2019-10-23,117.86,118.1,115.51,116.63,1378873
103,2019-10-22,117.45,119.71,117.44,118.44,2013812
104,2019-10-21,117.26,117.505,115.95,116.69,1346236
105,2019-10-18,117.2,118.04,116.86,116.98,1334668
106,2019-10-17,117.27,117.62,116.7066,117.37,1124662
107,2019-10-16,116.66,116.99,115.8,116.9,1645488
108,2019-10-15,115.0,116.63,115.0,116.51,1241212
109,2019-10-14,115.35,115.98,114.93,115.02,1162701
110,2019-10-11,115.0,116.59,114.8001,115.19,2202706
111,2019-10-10,113.25,114.03,112.3,113.91,1115153
112,2019-10-09,113.16,114.69,112.92,112.99,1545864
113,2019-10-08,111.11,114.1,110.81,112.48,1747850
114,2019-10-07,115.13,115.655,111.83,112.16,1777012
115,2019-10-04,113.21,116.59,113.15,115.725,2596205
116,2019-10-03,112.77,113.14,110.65,112.92,1947156
117,2019-10-02,112.25,113.37,111.01,113.07,2460576
118,2019-10-01,115.09,115.09,113.0,113.25,1658272
119,2019-09-30,114.46,115.7895,113.8601,114.16,2026362
120,2019-09-27,113.29,114.42,112.6,114.3,1840219
121,2019-09-26,113.51,113.58,111.33,112.46,1392119
122,2019-09-25,113.37,114.16,111.85,112.95,1352368
123,2019-09-24,113.67,114.51,111.82,113.37,1694622
124,2019-09-23,111.1,113.94,111.1,113.42,1994105
125,2019-09-20,111.96,113.6661,111.04,111.07,2574954
126,2019-09-19,112.46,112.92,111.68,111.74,1576588
127,2019-09-18,111.36,112.27,110.38,112.26,1748303
128,2019-09-17,109.74,111.1,109.25,111.04,1247804
129,2019-09-16,112.1,112.135,109.51,109.56,1746594
130,2019-09-13,111.89,113.12,111.51,112.86,1801589
131,2019-09-12,111.83,112.91,111.01,111.94,1550339
132,2019-09-11,111.02,112.65,110.42,111.36,3242855
133,2019-09-10,108.55,110.015,106.81,109.93,1826153
134,2019-09-09,109.87,110.72,107.705,108.9,2687108
135,2019-09-06,107.68,109.72,107.17,109.62,2531158
136,2019-09-05,106.43,108.29,106.19,107.63,2448533
137,2019-09-04,102.86,105.18,102.5068,105.0,2570467
138,2019-09-03,101.19,102.15,99.875,101.99,2110933
139,2019-08-30,98.25,101.93,97.91,101.53,3975403
140,2019-08-29,102.5,104.24,96.68,97.67,6131275
141,2019-08-28,96.45,99.87,96.2756,99.6,2963169
142,2019-08-27,96.37,97.97,95.88,96.75,2292666
143,2019-08-26,96.35,96.59,94.52,95.87,2595966
144,2019-08-23,96.92,98.09,94.83,95.16,2533329
145,2019-08-22,96.03,97.43,95.95,97.21,1355023
146,2019-08-21,95.84,96.23,94.88,96.08,1556872
147,2019-08-20,95.81,95.99,93.49,93.63,1512447
148,2019-08-19,95.17,96.4,94.64,96.2,2303834
149,2019-08-16,93.89,94.55,93.395,93.71,1686625
150,2019-08-15,93.72,94.92,92.34,93.14,1564899
151,2019-08-14,92.3,94.08,92.128,93.17,2455066
152,2019-08-13,91.09,98.41,90.41,94.6,4287797
153,2019-08-12,89.92,91.34,89.41,91.0,2277668
154,2019-08-09,92.86,92.86,89.9,90.09,2152998
155,2019-08-08,92.26,93.18,91.615,92.92,1858374
156,2019-08-07,92.12,93.36,91.25,92.38,2237506
157,2019-08-06,92.89,93.66,91.74,92.72,2840579
158,2019-08-05,94.6,94.78,91.883,92.86,4313304
159,2019-08-02,97.43,98.93,96.33,96.87,2424528
160,2019-08-01,101.45,103.83,94.7,97.69,4272587
161,2019-07-31,101.5,102.94,100.05,101.75,2641374
162,2019-07-30,103.47,103.86,101.19,101.49,1806232
163,2019-07-29,106.01,106.22,103.54,103.84,1714238
164,2019-07-26,106.55,106.55,105.85,106.1,1504659
165,2019-07-25,106.18,106.85,105.53,106.55,1232262
