,timestamp,open,high,low,close,volume
0,2020-03-20,71.79,75.23,65.9,66.13,2310770
1,2020-03-19,69.01,73.59,66.2601,70.8,1329700
2,2020-03-18,75.56,77.08,67.365,69.86,1648943
3,2020-03-17,77.78,82.36,73.882,81.13,1866511
4,2020-03-16,80.0,80.81,72.15,75.95,2415538
5,2020-03-13,90.91,91.0,84.82,90.75,1436169
6,2020-03-12,88.87,91.28,84.38,85.58,2254122
7,2020-03-11,97.3,99.23,94.76,95.55,1459963
8,2020-03-10,96.88,100.56,94.16,100.53,1166273
9,2020-03-09,93.91,95.31,92.26,93.75,2094879
10,2020-03-06,102.24,104.73,99.41,101.49,1806015
11,2020-03-05,107.07,109.355,105.14,105.78,1056661
12,2020-03-04,107.53,111.0,106.44,110.7,936719
13,2020-03-03,107.43,110.9,104.53,105.72,1231193
14,2020-03-02,103.38,107.77,102.08,107.4,1418194
15,2020-02-28,101.44,103.34,99.6,102.74,1877464
16,2020-02-27,106.17,109.96,105.03,105.24,1439919
17,2020-02-26,111.17,111.79,108.26,108.3,1468365
18,2020-02-25,115.45,115.45,109.95,110.06,1234683
19,2020-02-24,115.55,116.62,114.195,114.95,820431
20,2020-02-21,118.24,119.51,117.71,119.44,661931
21,2020-02-20,116.92,119.499,116.325,119.02,684246
22,2020-02-19,120.16,120.26,117.15,117.25,1021307
23,2020-02-18,119.17,120.26,118.92,119.92,691584
24,2020-02-14,119.71,120.115,118.71,119.86,643343
25,2020-02-13,119.0,119.88,118.36,119.56,581740
26,2020-02-12,119.85,120.07,118.68,119.85,544165
27,2020-02-11,119.0,119.86,118.45,118.99,818488
28,2020-02-10,116.94,118.4,116.8073,118.22,688970
29,2020-02-07,117.34,118.27,116.905,117.31,1050512
30,2020-02-06,119.45,119.47,117.81,118.23,747913
31,2020-02-05,117.84,119.29,117.53,119.21,826440
32,2020-02-04,115.29,117.645,115.29,116.46,1002665
33,2020-02-03,114.61,115.7,113.32,113.68,1516180
34,2020-01-31,117.93,118.15,113.45,113.85,2545099
35,2020-01-30,116.69,120.2,116.5,118.92,1212823
36,2020-01-29,117.03,117.42,116.23,116.38,980203
37,2020-01-28,116.0,117.01,115.39,116.45,1024337
38,2020-01-27,114.75,116.46,113.72,115.43,909535
39,2020-01-24,118.86,118.86,116.7,117.11,626763
40,2020-01-23,117.35,118.81,116.77,118.65,729527
41,2020-01-22,118.34,118.9,117.66,117.87,526765
42,2020-01-21,118.75,119.08,117.32,117.96,584855
43,2020-01-17,119.95,120.04,119.11,119.53,634278
44,2020-01-16,118.38,119.62,117.58,119.6,650173
45,2020-01-15,116.77,118.3328,116.77,117.61,807693
46,2020-01-14,117.27,117.81,116.65,117.12,789966
47,2020-01-13,116.03,117.24,115.91,117.13,672776
48,2020-01-10,117.27,117.27,115.38,115.77,623702
49,2020-01-09,116.79,117.13,115.94,117.12,643713
50,2020-01-08,115.92,116.59,115.32,116.38,848405
51,2020-01-07,114.93,116.42,114.58,116.11,810678
52,2020-01-06,114.7,115.85,114.51,115.79,754169
53,2020-01-03,115.12,115.92,114.63,115.78,587357
54,2020-01-02,116.15,116.87,115.61,116.87,937531
55,2019-12-31,115.02,115.77,114.63,115.26,479524
56,2019-12-30,115.67,115.92,115.0,115.24,311916
57,2019-12-27,116.01,116.11,115.23,115.47,362966
58,2019-12-26,115.42,115.82,114.81,115.8,251846
59,2019-12-24,115.92,115.93,114.6,115.26,193865
60,2019-12-23,115.16,116.0,114.34,115.85,761089
61,2019-12-20,114.33,115.06,113.74,114.99,1171993
62,2019-12-19,113.71,114.15,113.13,113.47,701526
63,2019-12-18,114.44,114.505,113.15,113.6,941336
64,2019-12-17,113.33,114.35,113.31,114.26,585944
65,2019-12-16,114.62,115.26,113.02,113.13,689364
66,2019-12-13,114.06,114.98,113.34,113.65,776150
67,2019-12-12,113.57,115.13,113.15,114.48,1071711
68,2019-12-11,113.33,113.5736,112.73,113.17,687149
69,2019-12-10,112.25,113.51,111.671,112.86,820118
70,2019-12-09,112.4,112.9547,111.95,112.5,595729
71,2019-12-06,112.28,113.435,112.28,112.59,826070
72,2019-12-05,110.52,111.5,110.32,111.33,632432
73,2019-12-04,110.27,111.1,109.96,110.42,1136411
74,2019-12-03,108.91,109.41,107.97,109.03,757017
75,2019-12-02,111.65,112.18,110.14,110.31,1021031
76,2019-11-29,111.88,111.96,111.08,111.48,571678
77,2019-11-27,111.99,112.44,111.23,112.1,1607979
78,2019-11-26,112.31,112.52,110.99,112.48,1481164
79,2019-11-25,110.0,112.2,109.68,111.95,1123976
