,timestamp,open,high,low,close,volume
0,2020-03-20,158.55,159.25,148.97,151.0,3681088
1,2020-03-19,150.53,163.09,139.84,156.51,4292343
2,2020-03-18,143.18,157.0,137.0114,156.24,4212589
3,2020-03-17,151.41,159.45,140.94,153.74,3612597
4,2020-03-16,150.5,156.49,146.98,148.98,3512082
5,2020-03-13,165.29,172.55,157.11,172.22,2861036
6,2020-03-12,159.8,166.68,152.474,157.35,3957940
7,2020-03-11,182.51,184.55,169.56,172.51,3040420
8,2020-03-10,182.87,187.69,177.51,187.38,2340254
9,2020-03-09,179.4,182.3556,174.93,177.9,3035882
10,2020-03-06,184.45,193.12,183.28,191.95,2384627
11,2020-03-05,189.17,193.14,187.45,189.62,2850751
12,2020-03-04,192.28,193.62,186.82,193.4,2815575
13,2020-03-03,192.63,195.64,186.83,188.39,3149869
14,2020-03-02,185.02,193.78,182.62,193.33,3350079
15,2020-02-28,176.77,183.73,176.44,183.6,4077001
16,2020-02-27,185.08,188.74,182.24,182.28,4175516
17,2020-02-26,194.0,196.03,189.149,189.29,2982451
18,2020-02-25,199.56,201.22,190.72,191.43,2767779
19,2020-02-24,199.56,203.9,198.31,198.78,2493784
20,2020-02-21,209.96,210.63,208.67,209.27,1708985
21,2020-02-20,212.64,213.855,208.88,211.32,2379909
22,2020-02-19,212.5,213.48,210.42,213.12,1768523
23,2020-02-18,214.84,214.88,211.18,211.44,2122617
24,2020-02-14,215.47,215.61,213.82,215.01,1442848
25,2020-02-13,213.74,216.18,212.97,214.89,1818690
26,2020-02-12,211.36,215.01,211.16,214.79,2141084
27,2020-02-11,210.42,211.35,209.035,209.82,1468724
28,2020-02-10,207.57,209.04,205.94,208.68,1689931
29,2020-02-07,209.87,210.0,204.64,208.96,3386194
30,2020-02-06,210.98,213.4471,205.11,211.53,4054987
31,2020-02-05,203.6,204.25,200.55,201.32,2293799
32,2020-02-04,199.4,202.22,198.46,200.42,2252161
33,2020-02-03,195.68,199.31,195.04,196.2,2301554
34,2020-01-31,197.6,198.79,194.665,195.16,1620571
35,2020-01-30,197.68,198.99,195.13,198.67,1497600
36,2020-01-29,198.66,200.31,197.95,198.73,1446071
37,2020-01-28,197.96,199.13,195.1,197.11,2035473
38,2020-01-27,192.01,198.24,191.07,196.99,4042606
39,2020-01-24,209.0,209.5919,204.33,205.34,2420791
40,2020-01-23,209.09,211.58,206.71,208.87,2781189
41,2020-01-22,216.26,217.62,211.53,212.64,2528575
42,2020-01-21,215.41,217.93,212.73,217.73,2104105
43,2020-01-17,219.06,220.42,218.3955,219.88,1146998
44,2020-01-16,218.49,219.29,217.2,217.94,1623763
45,2020-01-15,216.0,219.11,216.0,218.49,1696524
