,timestamp,open,high,low,close,volume
0,2020-03-20,5.46,6.08,5.3,5.69,9391823
1,2020-03-19,4.47,5.31,4.09,5.1,13503794
2,2020-03-18,5.33,5.56,4.35,4.57,12223723
3,2020-03-17,6.31,6.46,5.44,5.71,14704191
4,2020-03-16,6.3655,7.12,6.05,6.18,9061180
5,2020-03-13,6.97,7.33,6.2,7.21,8777251
6,2020-03-12,6.62,6.6882,6.19,6.39,9002941
7,2020-03-11,7.51,7.6,7.12,7.16,9047954
8,2020-03-10,8.06,8.1199,7.16,7.695,8870346
9,2020-03-09,8.21,8.31,7.57,7.61,7826287
10,2020-03-06,8.7,9.3,8.52,8.7,7503471
11,2020-03-05,9.04,9.1,8.78,8.94,5462822
12,2020-03-04,9.18,9.435,8.98,9.39,5263868
13,2020-03-03,9.52,9.62,8.92,8.98,8280380
14,2020-03-02,9.8,9.81,9.32,9.49,6370463
15,2020-02-28,9.66,9.94,9.5136,9.685,9154969
16,2020-02-27,9.86,10.25,9.51,9.91,6652464
17,2020-02-26,10.33,10.45,10.01,10.02,6857426
18,2020-02-25,10.68,10.74,10.05,10.115,6539098
19,2020-02-24,10.61,10.96,10.225,10.67,8684280
20,2020-02-21,11.21,11.24,10.83,10.845,4834960
21,2020-02-20,11.43,11.565,11.255,11.27,4059054
22,2020-02-19,11.37,11.53,11.34,11.45,4456585
23,2020-02-18,11.12,11.44,11.1,11.375,5556292
24,2020-02-14,11.57,11.61,11.04,11.1,6101024
25,2020-02-13,11.72,11.93,11.55,11.59,5165884
26,2020-02-12,11.69,12.13,11.51,11.85,7742501
27,2020-02-11,12.5,12.52,11.11,11.56,23006386
28,2020-02-10,13.42,13.49,13.13,13.19,3665171
29,2020-02-07,13.3,13.52,13.15,13.43,3226405
30,2020-02-06,13.98,14.0,13.35,13.37,3234190
31,2020-02-05,13.59,13.935,13.59,13.89,5460717
32,2020-02-04,13.93,13.94,13.38,13.45,3482372
33,2020-02-03,13.2168,13.5,13.175,13.3,4003476
