,timestamp,open,high,low,close,volume
0,2020-03-20,5.13,5.36,4.56,5.05,49136202
1,2020-03-19,4.78,5.34,4.5,4.8,39768751
2,2020-03-18,5.59,5.89,4.25,4.61,45031285
3,2020-03-17,6.13,6.4,5.58,6.14,36155355
4,2020-03-16,5.96,6.83,5.8,5.94,37930759
5,2020-03-13,7.32,7.35,6.32,7.15,43874064
6,2020-03-12,7.15,7.385,6.42,6.42,38569847
7,2020-03-11,8.13,8.33,7.77,7.83,35887867
8,2020-03-10,9.49,9.57,7.68,8.66,62796799
9,2020-03-09,9.74,9.74,7.9,8.15,74587245
10,2020-03-06,14.26,14.48,12.75,13.07,29991738
11,2020-03-05,15.0,15.04,14.415,14.74,28685833
12,2020-03-04,16.19,16.19,15.13,15.39,30183106
13,2020-03-03,16.74,17.08,15.71,15.95,26029217
14,2020-03-02,17.25,17.27,16.37,17.22,20527804
15,2020-02-28,16.76,17.145,16.3,16.96,27294584
16,2020-02-27,17.69,18.43,17.27,17.39,20068764
17,2020-02-26,19.23,19.275,18.325,18.4,16142505
18,2020-02-25,19.95,20.01,18.755,19.01,13037660
19,2020-02-24,20.25,20.28,19.74,19.83,12538964
20,2020-02-21,21.64,21.665,20.89,21.26,11630951
21,2020-02-20,22.52,22.58,21.94,21.95,7202270
22,2020-02-19,21.98,22.35,21.945,22.28,7035290
23,2020-02-18,21.82,21.98,21.39,21.86,8500228
24,2020-02-14,22.24,22.35,21.84,22.12,8402968
25,2020-02-13,22.14,22.4,21.9,22.19,10072316
26,2020-02-12,22.27,22.56,21.9,22.35,9892431
27,2020-02-11,21.77,21.86,21.5,21.73,12983991
28,2020-02-10,21.51,21.6,21.285,21.4,10097792
29,2020-02-07,21.94,22.1,21.68,21.8,10238359
30,2020-02-06,22.68,22.7,22.03,22.26,8202498
31,2020-02-05,22.19,22.865,22.08,22.58,12033684
32,2020-02-04,21.97,22.16,21.605,21.67,11937493
33,2020-02-03,21.81,21.93,21.43,21.5,11481705
34,2020-01-31,21.48,21.89,21.23,21.81,12501940
35,2020-01-30,21.23,21.97,21.2,21.95,10648437
36,2020-01-29,22.33,22.43,21.62,21.63,10328316
37,2020-01-28,21.8,22.11,21.44,22.08,8773599
38,2020-01-27,22.4,22.52,21.565,21.65,18991975
39,2020-01-24,23.5,23.5,22.83,23.1,11681573
40,2020-01-23,23.68,23.6953,23.16,23.58,12567875
41,2020-01-22,23.81,24.145,23.6597,23.93,12041715
42,2020-01-21,23.78,24.515,23.61,23.77,21044184
43,2020-01-17,24.0,24.23,23.83,23.96,14377324
44,2020-01-16,23.72,24.01,23.66,23.81,10188021
45,2020-01-15,23.76,23.88,23.4947,23.57,9940118
46,2020-01-14,23.59,24.04,23.37,23.94,13325211
47,2020-01-13,23.95,23.965,23.59,23.75,11442651
48,2020-01-10,24.14,24.23,23.9347,24.08,8385016
49,2020-01-09,24.09,24.295,23.47,24.19,13479036
50,2020-01-08,24.47,24.62,23.76,24.05,14021067
51,2020-01-07,25.35,25.35,24.215,24.67,12431007
52,2020-01-06,25.0,25.47,24.75,25.39,14419165
53,2020-01-03,25.29,25.45,24.58,24.76,11562581
54,2020-01-02,24.69,24.84,24.4248,24.68,9125473
55,2019-12-31,24.35,24.505,24.13,24.47,10702032
56,2019-12-30,24.57,24.99,24.505,24.56,9078440
57,2019-12-27,24.55,24.69,24.32,24.4,8452641
58,2019-12-26,24.93,24.99,24.42,24.54,10144935
59,2019-12-24,24.91,25.34,24.78,24.86,5828479
60,2019-12-23,24.48,24.95,24.465,24.89,11847844
61,2019-12-20,24.6,24.81,24.35,24.49,16948404
62,2019-12-19,24.46,24.8,24.345,24.48,13319540
63,2019-12-18,24.54,24.7742,24.34,24.54,14948731
64,2019-12-17,24.35,24.815,24.29,24.69,24723143
65,2019-12-16,24.25,24.765,24.25,24.35,13360646
66,2019-12-13,24.38,24.68,23.965,23.99,14103457
67,2019-12-12,23.51,24.51,23.44,24.3,16236996
68,2019-12-11,22.81,23.45,22.8,23.38,13895499
69,2019-12-10,22.69,22.92,22.53,22.79,13220831
70,2019-12-09,22.05,22.74,22.05,22.57,12210904
71,2019-12-06,21.4,22.34,21.36,22.33,13910798
72,2019-12-05,21.6,21.74,21.24,21.42,10274401
73,2019-12-04,20.85,21.71,20.827,21.47,12904257
74,2019-12-03,20.84,21.03,20.445,20.79,13658606
75,2019-12-02,21.1,21.49,21.045,21.29,10234072
76,2019-11-29,21.05,21.18,20.8557,20.99,6437403
77,2019-11-27,20.84,21.52,20.745,21.41,9061880
78,2019-11-26,21.18,21.28,20.69,20.83,10778429
79,2019-11-25,20.93,21.36,20.75,21.34,7804796
80,2019-11-22,20.98,21.25,20.805,20.99,7395253
81,2019-11-21,20.73,21.2,20.55,21.13,10516301
82,2019-11-20,20.01,20.89,19.7999,20.53,12520265
83,2019-11-19,20.02,20.07,19.5801,19.9,10244404
84,2019-11-18,20.29,20.29,19.71,20.16,8836403
85,2019-11-15,20.44,20.8,20.34,20.48,9152142
86,2019-11-14,20.62,20.92,20.28,20.33,6247654
87,2019-11-13,20.91,20.91,20.51,20.62,7434714
88,2019-11-12,21.28,21.44,20.88,21.03,6971164
89,2019-11-11,20.97,21.28,20.66,21.25,6712938
90,2019-11-08,20.7,21.3,20.45,21.28,9603359
91,2019-11-07,20.96,21.3981,20.86,20.96,8367688
92,2019-11-06,20.91,21.09,20.42,20.6,11388823
93,2019-11-05,21.16,21.41,20.85,21.05,14113129
94,2019-11-04,20.5,21.09,20.48,21.07,16281204
95,2019-11-01,19.42,20.13,19.35,20.09,11548188
96,2019-10-31,19.32,19.44,18.86,19.25,10689338
97,2019-10-30,20.4,20.45,19.42,19.44,13145510
98,2019-10-29,20.05,20.53,19.93,20.38,11592019
99,2019-10-28,20.6,20.64,20.22,20.3,12463243
100,2019-10-25,19.89,20.515,19.79,20.48,13147129
101,2019-10-24,20.3,20.36,19.53,19.91,9483393
102,2019-10-23,19.71,20.4,19.42,20.21,11861370
103,2019-10-22,19.81,20.1,19.195,19.9,14659976
104,2019-10-21,18.15,20.0,18.1,19.61,28124331
105,2019-10-18,18.57,19.21,18.43,18.43,26675081
106,2019-10-17,18.42,18.66,18.255,18.51,13669132
107,2019-10-16,18.66,18.91,18.29,18.3,9525603
108,2019-10-15,18.72,19.18,18.5818,18.7,11172092
109,2019-10-14,18.62,18.825,18.05,18.76,9294050
110,2019-10-11,18.63,19.11,18.6,18.95,10550551
111,2019-10-10,18.37,18.605,18.22,18.43,9835051
112,2019-10-09,18.39,18.5,18.02,18.27,11107539
113,2019-10-08,18.14,18.6,18.04,18.25,11376180
114,2019-10-07,18.63,18.8,18.33,18.36,8461000
115,2019-10-04,18.67,18.93,18.275,18.55,8026276
116,2019-10-03,18.06,18.66,18.03,18.64,10148171
117,2019-10-02,18.58,18.9,18.1,18.17,12078502
118,2019-10-01,19.0,19.16,18.365,18.58,12223734
119,2019-09-30,18.61,19.02,18.55,18.85,9952272
120,2019-09-27,19.04,19.48,18.59,18.73,14587738
121,2019-09-26,19.25,19.35,18.855,19.27,10855326
122,2019-09-25,19.13,19.48,19.09,19.44,10578074
123,2019-09-24,20.4,20.5,19.4,19.49,18767705
124,2019-09-23,20.32,20.85,20.23,20.61,11302192
125,2019-09-20,20.91,21.06,20.28,20.44,16121013
126,2019-09-19,21.15,21.315,20.88,20.92,13197531
127,2019-09-18,20.88,21.15,20.56,20.81,15196847
128,2019-09-17,22.28,22.28,20.82,21.03,19531486
129,2019-09-16,21.46,22.75,21.38,22.49,36536977
130,2019-09-13,20.13,20.45,19.775,20.27,10716672
131,2019-09-12,19.46,20.0,19.1,19.75,13409746
132,2019-09-11,20.13,20.6,19.76,20.05,14722385
133,2019-09-10,20.2,20.71,19.905,20.03,16747796
134,2019-09-09,19.28,20.2,19.22,19.95,13498757
135,2019-09-06,18.91,19.125,18.535,19.09,10915191
136,2019-09-05,18.95,19.53,18.94,19.0,12560806
137,2019-09-04,19.03,19.16,18.71,18.76,12793967
138,2019-09-03,18.2,18.83,18.13,18.76,13125562
