,timestamp,open,high,low,close,volume
0,2020-03-20,13.45,14.32,12.4,13.16,7806134
1,2020-03-19,13.32,14.06,12.4,12.8,3204605
2,2020-03-18,14.86,15.06,13.08,13.39,3525618
3,2020-03-17,14.57,17.5,14.06,16.01,3899168
4,2020-03-16,15.07,17.82,14.13,14.56,5109158
5,2020-03-13,17.06,17.79,15.5,17.51,5562620
6,2020-03-12,18.22,18.6,15.85,15.96,4030533
7,2020-03-11,20.49,21.14,19.38,20.01,4357094
8,2020-03-10,20.03,21.525,17.93,20.94,5270305
9,2020-03-09,20.01,23.03,18.305,18.51,5973168
10,2020-03-06,30.59,30.89,27.24,27.6,4445435
11,2020-03-05,33.82,33.95,31.16,31.78,2647199
12,2020-03-04,36.07,36.87,34.38,34.92,2403238
13,2020-03-03,37.38,38.03,34.79,35.49,2206335
14,2020-03-02,37.41,37.64,35.87,37.62,2584059
15,2020-02-28,35.71,37.4,35.29,36.89,3211478
16,2020-02-27,37.19,38.47,35.9,37.12,2339642
17,2020-02-26,39.99,40.37,38.8,38.89,1472888
18,2020-02-25,42.12,42.27,39.28,39.68,1744848
19,2020-02-24,42.61,43.035,41.83,41.9,1525245
20,2020-02-21,44.79,45.02,43.625,44.9,1259942
21,2020-02-20,45.76,46.37,45.115,45.47,915620
22,2020-02-19,45.46,45.59,44.69,45.46,1195964
23,2020-02-18,44.72,45.31,44.15,45.07,1219534
24,2020-02-14,45.55,45.68,44.68,45.31,1902150
25,2020-02-13,45.17,45.71,44.57,45.4,1857357
26,2020-02-12,45.08,45.48,44.43,45.19,1420183
27,2020-02-11,44.34,44.4,43.72,44.08,1179004
28,2020-02-10,42.3,43.75,41.8717,43.57,1453111
29,2020-02-07,41.52,42.85,40.95,42.65,2166844
30,2020-02-06,43.95,44.27,42.97,43.8,2177288
31,2020-02-05,42.43,44.4,42.43,43.85,1744876
32,2020-02-04,42.46,43.78,41.4,41.67,2633211
33,2020-02-03,40.36,40.92,40.0497,40.75,3396390
34,2020-01-31,40.4,40.94,39.28,40.55,17800135
35,2020-01-30,39.05,40.61,39.0,40.57,2188582
36,2020-01-29,41.09,41.345,39.56,39.6,1762491
37,2020-01-28,40.85,41.34,40.41,40.64,2067589
38,2020-01-27,41.23,41.45,40.27,40.41,2053573
39,2020-01-24,42.38,42.6,41.94,42.23,1567960
40,2020-01-23,42.11,42.91,41.6,42.68,2054905
41,2020-01-22,43.73,43.84,42.83,42.96,1776723
42,2020-01-21,44.72,45.02,43.92,43.97,1937595
43,2020-01-17,45.4,45.79,45.08,45.13,1200703
44,2020-01-16,46.47,46.78,45.13,45.25,1665018
45,2020-01-15,45.9,46.55,45.59,46.06,1237168
46,2020-01-14,45.98,46.7099,45.79,46.51,1805257
47,2020-01-13,46.26,46.59,45.69,46.25,1376522
48,2020-01-10,45.99,46.63,45.16,46.52,1325200
49,2020-01-09,45.44,46.41,44.73,46.1,1791080
50,2020-01-08,46.19,46.49,44.79,45.58,1944734
51,2020-01-07,46.88,46.88,45.53,46.54,1110832
52,2020-01-06,46.2,47.325,45.99,47.15,2034720
53,2020-01-03,46.25,46.69,45.08,45.85,1293406
54,2020-01-02,45.86,45.88,44.36,45.27,1852424
55,2019-12-31,44.99,45.52,44.24,45.43,1996250
56,2019-12-30,44.78,46.17,44.78,45.54,1706231
57,2019-12-27,45.42,45.42,44.34,44.43,1070119
58,2019-12-26,45.06,45.49,44.82,45.17,864999
59,2019-12-24,45.35,46.16,44.67,44.84,638516
60,2019-12-23,44.06,45.51,44.06,45.43,1250181
61,2019-12-20,43.7,44.22,43.18,44.2,2575730
62,2019-12-19,43.11,43.79,43.1001,43.39,1444243
63,2019-12-18,42.63,43.5,42.58,43.25,1410380
64,2019-12-17,42.56,43.26,42.5544,42.93,1518464
65,2019-12-16,42.57,43.21,42.39,42.41,1166212
66,2019-12-13,42.48,42.96,41.9,42.09,1260940
67,2019-12-12,41.69,42.9872,41.45,42.61,1697870
68,2019-12-11,40.8,41.795,40.63,41.59,1387533
69,2019-12-10,40.62,41.22,40.27,40.77,1457460
70,2019-12-09,40.3,41.22,40.21,40.73,1168095
71,2019-12-06,38.5,40.875,38.5,40.68,1569642
72,2019-12-05,39.6,39.91,38.52,38.64,1236680
73,2019-12-04,38.99,40.11,38.84,39.32,1692605
74,2019-12-03,38.97,39.4,38.09,38.39,2012261
75,2019-12-02,39.83,40.42,39.49,39.8,1884889
76,2019-11-29,39.91,40.06,38.5041,39.53,1490909
77,2019-11-27,38.3,40.57,38.08,40.46,2641029
78,2019-11-26,39.88,40.06,37.96,37.97,9050674
79,2019-11-25,38.84,40.06,38.7,39.92,2297159
80,2019-11-22,38.95,39.49,38.75,39.0,2138713
81,2019-11-21,38.78,39.27,38.36,38.89,2428224
82,2019-11-20,38.04,39.3118,37.3,38.39,2063652
83,2019-11-19,38.11,38.64,37.4,38.41,1366611
84,2019-11-18,40.03,40.2095,38.23,38.84,1812378
85,2019-11-15,40.32,41.85,39.775,40.56,3253406
86,2019-11-14,39.39,40.02,39.29,39.32,1623450
87,2019-11-13,39.75,39.95,39.0711,39.22,1255024
88,2019-11-12,41.28,41.35,39.94,40.19,1595330
89,2019-11-11,39.85,41.28,39.76,41.18,1035347
90,2019-11-08,40.23,40.88,39.88,40.75,1648932
91,2019-11-07,40.61,41.15,40.32,40.79,1471617
92,2019-11-06,41.38,41.97,40.25,40.5,1970971
93,2019-11-05,42.04,42.16,41.05,41.49,1783775
94,2019-11-04,41.0,41.995,40.78,41.88,1833362
95,2019-11-01,37.98,40.31,37.79,40.18,1362963
96,2019-10-31,37.95,38.23,37.03,37.5,1795587
97,2019-10-30,40.01,40.37,37.8681,38.1,1713954
98,2019-10-29,39.26,39.96,39.0,39.82,1578094
99,2019-10-28,40.56,40.78,39.38,39.64,1496704
100,2019-10-25,39.41,40.2811,39.23,40.25,1428909
101,2019-10-24,39.32,39.47,38.3,39.33,1238090
102,2019-10-23,38.91,39.95,38.2,39.22,1256806
