,timestamp,open,high,low,close,volume
0,2020-03-20,91.7935,99.73,89.5674,91.67,2987842
1,2020-03-19,88.83,104.83,82.0,90.62,3712016
2,2020-03-18,100.44,100.99,81.79,89.88,4695580
3,2020-03-17,104.09,110.54,101.05,107.69,3699856
4,2020-03-16,99.16,106.25,94.2,102.36,5128914
5,2020-03-13,119.79,120.6,111.08,118.71,2244627
6,2020-03-12,116.72,117.36,110.35,113.01,2910971
7,2020-03-11,126.63,128.24,123.26,125.42,2112994
8,2020-03-10,128.18,131.14,122.77,130.82,2721815
9,2020-03-09,129.46,131.14,122.97,124.0,2760829
10,2020-03-06,136.3,138.3,131.39,136.05,2110569
11,2020-03-05,143.84,144.775,136.51,138.21,2214990
12,2020-03-04,144.86,148.445,144.5,147.89,1228700
13,2020-03-03,147.44,150.25,139.53,141.36,1557197
14,2020-03-02,140.73,147.23,139.31,147.08,2504941
15,2020-02-28,138.91,141.24,136.23,139.49,3112235
16,2020-02-27,147.19,148.74,142.63,142.74,3406937
17,2020-02-26,151.37,154.37,148.94,149.39,1667780
18,2020-02-25,158.93,159.1,149.5,150.06,2918784
19,2020-02-24,159.42,160.265,156.63,158.08,1313101
20,2020-02-21,163.48,164.35,161.575,163.43,967908
21,2020-02-20,163.5,164.3264,162.17,164.14,1574310
22,2020-02-19,166.28,166.28,164.125,164.39,1070708
23,2020-02-18,164.91,165.74,162.61,165.42,1436201
24,2020-02-14,165.3,165.5,162.17,164.32,2967361
25,2020-02-13,164.8,166.03,162.64,165.79,1439956
26,2020-02-12,164.85,169.14,160.0,166.11,2302381
27,2020-02-11,160.99,163.515,160.21,161.7,1582595
28,2020-02-10,157.0,160.14,156.52,159.93,1303778
29,2020-02-07,160.31,160.61,156.98,157.0,1193042
30,2020-02-06,160.64,161.25,159.79,160.53,976618
31,2020-02-05,159.06,161.55,158.38,159.76,1373281
32,2020-02-04,157.12,157.59,155.62,157.04,3384339
33,2020-02-03,156.6,157.2181,154.94,155.25,1786059
34,2020-01-31,156.63,157.19,154.45,155.25,1143230
35,2020-01-30,157.14,158.14,155.62,157.0,1594972
36,2020-01-29,158.85,160.325,158.405,158.5,821091
37,2020-01-28,157.86,159.5691,156.74,158.67,854554
38,2020-01-27,156.14,158.18,155.84,157.16,754916
39,2020-01-24,161.62,162.14,157.78,158.1,821432
40,2020-01-23,160.32,161.03,159.285,160.91,811664
41,2020-01-22,161.07,162.14,160.44,160.5,733812
42,2020-01-21,161.09,161.86,160.26,160.85,979908
43,2020-01-17,161.45,161.69,159.39,161.51,777413
44,2020-01-16,160.45,161.1,159.8,160.97,750744
45,2020-01-15,158.86,160.59,158.29,159.37,950008
46,2020-01-14,157.49,159.09,156.76,158.93,1089547
47,2020-01-13,159.63,159.63,157.575,158.15,1885061
48,2020-01-10,160.2,160.86,158.97,159.3,876403
49,2020-01-09,158.29,159.84,158.08,159.5,850441
50,2020-01-08,157.07,159.25,156.825,157.6,1182144
51,2020-01-07,155.78,157.9,155.38,156.8,1052869
52,2020-01-06,153.12,155.09,152.17,155.0,1539150
53,2020-01-03,153.97,154.95,153.73,154.19,1047163
54,2020-01-02,155.23,156.73,153.57,156.41,1925893
55,2019-12-31,153.31,154.68,153.06,154.51,760894
56,2019-12-30,154.47,154.5019,152.21,153.45,897936
57,2019-12-27,154.65,155.18,154.25,154.44,873921
58,2019-12-26,155.0,155.0,153.45,154.14,1307260
59,2019-12-24,155.03,155.12,154.04,154.7,483369
60,2019-12-23,156.0,156.43,153.24,154.87,2124739
61,2019-12-20,150.86,156.08,150.0,155.95,3610166
62,2019-12-19,147.09,149.81,146.48,149.69,1638095
63,2019-12-18,148.05,148.32,145.8,147.16,2005418
64,2019-12-17,147.05,148.09,144.9,147.99,1482485
65,2019-12-16,145.94,147.14,145.12,146.53,1289530
66,2019-12-13,145.26,146.78,144.42,144.85,1162883
67,2019-12-12,143.47,146.04,143.05,145.29,1121464
68,2019-12-11,146.29,146.29,143.4306,143.84,1304091
69,2019-12-10,146.7,146.98,145.02,146.12,1609474
70,2019-12-09,148.23,148.94,146.28,146.4,1412409
71,2019-12-06,146.32,148.8999,145.965,148.49,1107832
72,2019-12-05,145.29,145.88,143.32,145.35,1290281
73,2019-12-04,143.9,146.16,143.8,145.14,696952
74,2019-12-03,143.74,144.77,142.69,143.34,1336916
75,2019-12-02,145.98,146.255,143.78,143.94,1175545
76,2019-11-29,147.14,147.4,145.8,145.98,715690
77,2019-11-27,148.07,148.94,146.83,147.52,1594954
78,2019-11-26,146.06,148.37,145.71,147.96,1622326
79,2019-11-25,144.43,146.51,143.535,146.49,1631305
80,2019-11-22,144.1,144.69,143.11,143.74,1122376
81,2019-11-21,142.51,144.36,141.81,143.48,1072186
82,2019-11-20,142.41,143.5445,141.78,142.36,1905790
83,2019-11-19,142.32,143.75,142.0,142.86,802460
84,2019-11-18,146.24,146.24,141.7,142.12,1533916
85,2019-11-15,145.53,146.595,144.64,146.5,907498
86,2019-11-14,143.75,145.91,142.94,145.7,766841
87,2019-11-13,142.28,144.06,142.175,143.57,930833
88,2019-11-12,139.9,143.39,139.9,142.94,1340507
89,2019-11-11,136.73,140.52,136.73,140.52,1739242
90,2019-11-08,137.38,138.99,136.87,137.59,1451326
91,2019-11-07,138.58,139.27,137.14,137.84,1643056
92,2019-11-06,139.68,140.54,136.28,138.04,2474841
93,2019-11-05,146.26,146.7,139.78,139.89,1684856
94,2019-11-04,147.76,147.76,145.64,146.5,937454
95,2019-11-01,145.76,147.58,145.1,146.74,985657
96,2019-10-31,145.72,148.035,143.43,144.42,1091004
97,2019-10-30,147.89,147.89,139.02,145.74,3386542
98,2019-10-29,146.73,150.27,146.73,150.09,2091206
99,2019-10-28,147.45,148.8,147.37,147.75,1070544
100,2019-10-25,144.87,148.57,143.95,147.51,1179865
101,2019-10-24,143.7,146.7495,143.54,145.17,1212055
102,2019-10-23,143.14,144.09,142.7,143.48,1198036
103,2019-10-22,143.51,145.42,142.78,142.86,1075554
104,2019-10-21,144.65,144.91,142.04,143.14,1052910
105,2019-10-18,144.0,145.05,143.0,143.49,1517785
106,2019-10-17,145.65,146.075,142.99,143.35,1108730
107,2019-10-16,145.64,147.47,144.31,144.83,1335681
108,2019-10-15,147.21,148.69,146.23,146.56,928236
109,2019-10-14,146.28,147.93,145.855,146.36,720703
110,2019-10-11,146.73,148.97,145.9,145.98,755256
111,2019-10-10,145.5,146.8,144.47,144.89,778565
112,2019-10-09,145.95,146.63,144.88,145.58,757585
113,2019-10-08,147.0,147.0,143.47,144.53,867535
114,2019-10-07,148.41,150.12,147.725,148.7,956440
115,2019-10-04,147.79,149.91,147.6475,149.3,961395
116,2019-10-03,143.21,147.57,141.7,147.52,1890611
117,2019-10-02,143.79,144.325,140.56,143.24,1850390
118,2019-10-01,149.87,151.09,143.92,145.03,1704339
119,2019-09-30,148.1,150.25,147.16,149.38,1042840
120,2019-09-27,152.47,154.43,146.66,148.25,1666492
121,2019-09-26,155.07,155.07,151.5,151.84,1182571
122,2019-09-25,154.93,155.16,151.085,154.65,1663430
123,2019-09-24,157.81,158.25,154.71,155.42,1617915
124,2019-09-23,155.13,157.73,154.26,157.34,1763096
125,2019-09-20,154.77,157.32,154.6,155.6,5382869
126,2019-09-19,153.3,155.285,153.14,153.92,1124442
127,2019-09-18,152.54,153.73,151.39,153.44,1463189
128,2019-09-17,151.1,153.47,149.94,152.94,1909348
129,2019-09-16,150.66,152.84,149.755,150.84,1773042
130,2019-09-13,149.72,152.51,147.31,151.35,1467163
